context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Blackwood Scout [T4],blackwood_scout,blackwood_scout,confirmed_id,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
field,2,Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
field,3,Riverlands Pikeman [T5],riverlands_pikeman,river_pikeman,confirmed_id,1,1,0,3,1,0,0,3.000000,1.000000,1.000000,,,insufficient_evidence
field,4,Riverlands Swordsman [T3],riverlands_swordsman,river_swordsman,confirmed_id,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
field,5,Guardian of the Rock [T6],guardian_of_the_rock,casterly_guardian,confirmed_id,1,2,2,5,0,0,0,2.500000,0.000000,0.000000,,,insufficient_evidence
field,6,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,15,1089,962,2538,25,102,0,2.330579,0.022957,0.116621,1.745924,3.081162,reliable
field,7,Riverlands Swordmaster [T5],riverlands_swordmaster,river_swordmaster,confirmed_id,4,8,2,17,4,2,0,2.125000,0.500000,0.750000,,,insufficient_evidence
field,8,Northern Soldier [T2],northern_soldier,,unresolved,1,2,0,4,0,2,0,2.000000,0.000000,1.000000,,,insufficient_evidence
field,9,Lannister Knight [T5],lannister_knight,lannister_knight,confirmed_id,1,1,1,2,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,10,Westerlands Scout [T4],westerlands_scout,,unresolved,2,5,3,9,0,2,0,1.800000,0.000000,0.400000,,,insufficient_evidence
field,11,Riverlands Horseman [T4],riverlands_horseman,river_horseman,confirmed_id,2,8,5,13,0,3,0,1.625000,0.000000,0.375000,,,insufficient_evidence
field,12,Westerlands Swordsman [T4],westerlands_swordsman,,unresolved,1,6,1,9,1,4,0,1.500000,0.166667,0.833333,,,insufficient_evidence
field,13,Riverrun Captain [T6],riverrun_captain,riverrun_captain,confirmed_id,3,4,4,6,0,0,0,1.500000,0.000000,0.000000,,,insufficient_evidence
field,14,Northern Hero [T4],northern_hero,,unresolved,1,2,2,3,0,0,0,1.500000,0.000000,0.000000,,,insufficient_evidence
field,15,Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,7,97,88,139,1,8,0,1.432990,0.010309,0.092784,1.186441,1.592233,reliable
field,16,Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,3,15,14,21,0,1,0,1.400000,0.000000,0.066667,,,insufficient_evidence
field,17,Northern Mounted Warlord [T6],northern_mounted_warlord,,unresolved,3,15,14,21,0,1,0,1.400000,0.000000,0.066667,,,insufficient_evidence
field,18,Blackwood Levy [T2],blackwood_levy,blackwood_levy,confirmed_id,1,3,1,4,1,1,0,1.333333,0.333333,0.666667,,,insufficient_evidence
field,19,Riverlands Soldier [T3],riverlands_soldier,river_soldier,confirmed_id,1,3,3,4,0,0,0,1.333333,0.000000,0.000000,,,insufficient_evidence
field,20,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,7,52,28,68,4,20,0,1.307692,0.076923,0.461538,0.500000,2.142857,reliable
field,21,Northern Colonel [T5],northern_colonel,,unresolved,4,20,14,26,3,3,0,1.300000,0.150000,0.300000,,,insufficient_evidence
field,22,Riverlands Footman [T2],riverlands_footman,river_footman,confirmed_id,2,7,5,9,0,2,0,1.285714,0.000000,0.285714,,,insufficient_evidence
field,23,Riverlands Elite Swordsman [T4],riverlands_elite_swordsman,river_elite_swordsman,confirmed_id,2,8,2,10,2,4,0,1.250000,0.250000,0.750000,,,insufficient_evidence
field,24,Westerlands Sharpshooter [T5],westerlands_sharpshooter,,unresolved,3,12,8,12,0,4,0,1.000000,0.000000,0.333333,,,insufficient_evidence
field,25,Riverlands House Guard [T5],riverlands_house_guard,river_houseguard,confirmed_id,2,5,5,5,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,26,Westerlands Militia Spearman [T2],westerlands_militia_spearman,,unresolved,1,3,3,3,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,27,Riverlands Elite Archer [T4],riverlands_elite_archer,river_elite_archer,confirmed_id,1,2,2,2,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,28,Riverlord's Son [T2],riverlord_s_son,river_noble_recruit,confirmed_id,1,2,2,2,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,29,Tully House Guard [T5],tully_house_guard,tully_houseguard,confirmed_id,2,2,1,2,0,1,0,1.000000,0.000000,0.500000,,,insufficient_evidence
field,30,Westerlands Noble Youth [T2],westerlands_noble_youth,,unresolved,1,2,2,2,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,31,Lannister Longbowman [T5],lannister_longbowman,lannister_longbowman,confirmed_id,1,1,1,1,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,32,Northern Sergeant [T4],northern_sergeant,,unresolved,1,1,1,1,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,33,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,9,204,189,196,3,12,0,0.960784,0.014706,0.073529,0.393258,1.436275,reliable
field,34,Blackwood Horseman [T5],blackwood_horseman,blackwood_horseman,confirmed_id,4,21,18,20,1,2,0,0.952381,0.047619,0.142857,,,insufficient_evidence
field,35,Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,4,64,60,58,1,3,0,0.906250,0.015625,0.062500,,,insufficient_evidence
field,36,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,5,46,27,41,4,15,0,0.891304,0.086957,0.413043,0.372093,1.511628,reliable
field,37,Blackwood Archer [T4],blackwood_archer,blackwood_archer,confirmed_id,5,104,99,91,0,5,0,0.875000,0.000000,0.048077,0.704225,0.990654,reliable
field,38,Westerlands Horseman [T5],westerlands_horseman,,unresolved,2,8,4,7,4,0,0,0.875000,0.500000,0.500000,,,insufficient_evidence
field,39,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,10,63,48,54,2,13,0,0.857143,0.031746,0.238095,0.428571,1.313433,reliable
field,40,Riverlands Recruit [T1],riverlands_recruit,river_recruit,confirmed_id,1,6,1,5,0,5,0,0.833333,0.000000,0.833333,,,insufficient_evidence
