observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
ravens_ext_20260811_0026,battle_20260811_232314_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_23_14.png,d9092b7161f1abbe045fbca28ddaaafd59576c61a26e1fe010b0a89797a9e98c,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0026; review_queue.csv; source SHA-256 d9092b7161f1abbe045fbca28ddaaafd59576c61a26e1fe010b0a89797a9e98c
ravens_ext_20260811_0047,battle_20260811_233036_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_30_36.png,627314eaa8cb9ddd6271f2cc4da3a189ff3b3b3e51cdcd65a0fd0bec91298d49,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0047; review_queue.csv; source SHA-256 627314eaa8cb9ddd6271f2cc4da3a189ff3b3b3e51cdcd65a0fd0bec91298d49
ravens_ext_20260811_0051,battle_20260811_233036_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_30_36.png,627314eaa8cb9ddd6271f2cc4da3a189ff3b3b3e51cdcd65a0fd0bec91298d49,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0051; review_queue.csv; source SHA-256 627314eaa8cb9ddd6271f2cc4da3a189ff3b3b3e51cdcd65a0fd0bec91298d49
ravens_ext_20260811_0059,battle_20260811_233731_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_37_31.png,a47a02848bce810ff2e4efb86ae2611e48e251ae4d2b29c66cbf9fb2ff69493e,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0059; review_queue.csv; source SHA-256 a47a02848bce810ff2e4efb86ae2611e48e251ae4d2b29c66cbf9fb2ff69493e
ravens_ext_20260811_0087,battle_20260811_233731_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_37_31.png,a47a02848bce810ff2e4efb86ae2611e48e251ae4d2b29c66cbf9fb2ff69493e,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0087; review_queue.csv; source SHA-256 a47a02848bce810ff2e4efb86ae2611e48e251ae4d2b29c66cbf9fb2ff69493e
ravens_ext_20260811_0109,battle_20260811_234333_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_43_33.png,4965ceb069cc7f07a3458d6ba2e8105fa5f8dd6300086cdaa70ef7c385371d43,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0109; review_queue.csv; source SHA-256 4965ceb069cc7f07a3458d6ba2e8105fa5f8dd6300086cdaa70ef7c385371d43
ravens_ext_20260811_0112,battle_20260811_234333_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_43_33.png,4965ceb069cc7f07a3458d6ba2e8105fa5f8dd6300086cdaa70ef7c385371d43,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0112; review_queue.csv; source SHA-256 4965ceb069cc7f07a3458d6ba2e8105fa5f8dd6300086cdaa70ef7c385371d43
ravens_ext_20260811_0124,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0124; review_queue.csv; source SHA-256 99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f
ravens_ext_20260811_0125,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0125; review_queue.csv; source SHA-256 99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f
ravens_ext_20260811_0128,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0128; review_queue.csv; source SHA-256 99851f4de12b18b0ca4a81ad33ec329e240337103225fd321eba04fc7b24122f
ravens_ext_20260811_0199,battle_20260812_000125_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 00_01_25.png,fe51b983a3bada459270202eae176e821d3668987d257d56a035ca3d6a60821a,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; no numeric count is inferred,Phase 2 local review,normalized occurrence ravens_ext_20260811_0199; review_queue.csv; source SHA-256 fe51b983a3bada459270202eae176e821d3668987d257d56a035ca3d6a60821a
