observation_id,battle_id,source_image_file,display_name_raw,row_type,uncertain_fields,notes
ravens_ext_20260811_0026,battle_20260811_232314_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_23_14.png,Brynden Blackwood,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0047,battle_20260811_233036_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_30_36.png,Gina Blackwood,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0051,battle_20260811_233036_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_30_36.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0059,battle_20260811_233731_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_37_31.png,Gawen Westerling,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0087,battle_20260811_233731_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_37_31.png,Brynden Blackwood,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0109,battle_20260811_234333_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_43_33.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0112,battle_20260811_234333_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_43_33.png,Brynden Blackwood,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0124,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,Gina Blackwood,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0125,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0128,battle_20260811_234915_ravens_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 11_08_2026 23_49_15.png,Gendry,hero,upgrade_ready,white level-up icon; no numeric count is inferred
ravens_ext_20260811_0199,battle_20260812_000125_ravens_field,Mount and Blade II Bannerlord - Singleplayer PID_ 15960 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 00_01_25.png,Gendry,hero,upgrade_ready,white level-up icon; no numeric count is inferred
