context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
siege_attack,1,Bracken Pikemaster [T6],bracken_pikemaster,bracken_master_pikeman,confirmed_id,1,1,1,6,0,0,0,6.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,3,Moon Brother Woodsman [T3],moon_brother_woodsman,,unresolved,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,4,Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,1,9,7,20,0,2,0,2.222222,0.000000,0.222222,,,insufficient_evidence
siege_attack,5,Marauder [T5],marauder,steppe_bandits_raider,confirmed_id,1,4,1,8,2,1,0,2.000000,0.500000,0.750000,,,insufficient_evidence
siege_attack,6,Guardian of the Rock [T6],guardian_of_the_rock,casterly_guardian,confirmed_id,1,2,2,4,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,7,Highwayman [T4],highwayman,mountain_bandits_chief,confirmed_id,1,2,1,4,1,0,0,2.000000,0.500000,0.500000,,,insufficient_evidence
siege_attack,8,Westerlands Sharpshooter [T5],westerlands_sharpshooter,,unresolved,1,1,1,2,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,9,Riverlands Elite Swordsman [T4],riverlands_elite_swordsman,river_elite_swordsman,confirmed_id,2,10,2,19,5,3,0,1.900000,0.500000,0.800000,,,insufficient_evidence
siege_attack,10,Riverlands Swordmaster [T5],riverlands_swordmaster,river_swordmaster,confirmed_id,1,2,0,3,0,2,0,1.500000,0.000000,1.000000,,,insufficient_evidence
siege_attack,11,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,3,6,4,8,1,1,0,1.333333,0.166667,0.333333,,,insufficient_evidence
siege_attack,12,Gold Cloak Elite Archer [T4],gold_cloak_elite_archer,goldcloak_elite_archer,confirmed_id,1,3,0,4,0,3,0,1.333333,0.000000,1.000000,,,insufficient_evidence
siege_attack,13,Northern Noble Warrior [T3],northern_noble_warrior,,unresolved,1,4,0,5,0,4,0,1.250000,0.000000,1.000000,,,insufficient_evidence
