context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,9,404,388,1274,3,13,0,3.153465,0.007426,0.039604,1.825342,4.365079,reliable
field,2,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,5,38,21,67,5,12,0,1.763158,0.131579,0.447368,1.047619,2.793103,reliable
field,3,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,8,71,39,116,5,27,0,1.633803,0.070423,0.450704,0.796875,2.531646,reliable
field,4,Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,7,97,88,139,1,8,0,1.432990,0.010309,0.092784,1.173077,1.587719,reliable
field,5,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,7,185,179,216,1,5,0,1.167568,0.005405,0.032432,0.584158,1.830986,reliable
field,6,Riverlands Cavalry [T5],riverlands_cavalry,river_calvary,confirmed_id,6,29,21,32,2,6,0,1.103448,0.068966,0.275862,0.800000,1.375000,reliable
field,7,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,8,340,321,362,8,11,0,1.064706,0.023529,0.055882,0.561404,1.481707,reliable
field,8,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,8,177,139,165,6,32,0,0.932203,0.033898,0.214689,0.577143,1.324074,reliable
field,9,Blackwood Archer [T4],blackwood_archer,blackwood_archer,confirmed_id,5,104,99,91,0,5,0,0.875000,0.000000,0.048077,0.704225,0.985401,reliable
field,10,Westerlands Banner Knight [T6],westerlands_banner_knight,,unresolved,5,33,30,27,1,2,0,0.818182,0.030303,0.090909,0.433333,1.086957,reliable
field,11,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,10,218,209,136,2,7,0,0.623853,0.009174,0.041284,0.416667,0.784946,reliable
