context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Riverlands Archer [T3],riverlands_archer,river_archer,confirmed_id,1,1,1,5,0,0,0,5.000000,0.000000,0.000000,,,insufficient_evidence
field,2,Tully Longbowman [T5],tully_longbowman,tully_longbowman,confirmed_id,1,4,3,15,1,0,0,3.750000,0.250000,0.250000,,,insufficient_evidence
field,3,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,2,10,3,31,2,5,0,3.100000,0.200000,0.700000,,,insufficient_evidence
field,4,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,1,10,9,30,0,1,0,3.000000,0.000000,0.100000,,,insufficient_evidence
field,5,Riverlands House Guard [T5],riverlands_house_guard,river_houseguard,confirmed_id,2,2,2,5,0,0,0,2.500000,0.000000,0.000000,,,insufficient_evidence
field,6,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,2,21,13,49,1,7,0,2.333333,0.047619,0.380952,,,insufficient_evidence
field,7,Gold Cloak Halberdier [T5],gold_cloak_halberdier,kingsguard,confirmed_id,1,3,3,7,0,0,0,2.333333,0.000000,0.000000,,,insufficient_evidence
field,8,Gold Cloak Sniper [T5],gold_cloak_sniper,goldcloak_master_archer,confirmed_id,1,3,2,7,1,0,0,2.333333,0.333333,0.333333,,,insufficient_evidence
field,9,Vale Master Archer [T5],vale_master_archer,vale_master_archer,confirmed_id,1,2,2,4,0,0,0,2.000000,0.000000,0.000000,,,insufficient_evidence
field,10,Riverlands Elite Archer [T4],riverlands_elite_archer,river_elite_archer,confirmed_id,1,3,3,5,0,0,0,1.666667,0.000000,0.000000,,,insufficient_evidence
field,11,Riverlands Cavalry [T5],riverlands_cavalry,river_calvary,confirmed_id,2,12,8,18,1,3,0,1.500000,0.083333,0.333333,,,insufficient_evidence
field,12,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,4,205,189,289,6,10,0,1.409756,0.029268,0.078049,,,insufficient_evidence
field,13,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,4,124,94,125,5,25,0,1.008065,0.040323,0.241935,,,insufficient_evidence
field,14,Broken Man [T1],broken_man,,unresolved,1,2,2,2,0,0,0,1.000000,0.000000,0.000000,,,insufficient_evidence
field,15,Arryn Winged Knight [T6],arryn_winged_knight,arryn_moonknight,confirmed_id,2,13,9,12,1,3,0,0.923077,0.076923,0.307692,,,insufficient_evidence
field,16,Mallister Archer [T4],mallister_archer,mallister_archer,confirmed_id,2,35,35,29,0,0,0,0.828571,0.000000,0.000000,,,insufficient_evidence
field,17,Riverlands Man at Arms [T4],riverlands_man_at_arms,river_man_at_arms,confirmed_id,1,5,4,4,0,1,0,0.800000,0.000000,0.200000,,,insufficient_evidence
field,18,Brigand [T3],brigand,,ambiguous_exact_name,1,4,4,3,0,0,0,0.750000,0.000000,0.000000,,,insufficient_evidence
field,19,Mallister Man at Arms [T4],mallister_man_at_arms,mallister_man_at_arms,confirmed_id,2,28,27,20,0,1,0,0.714286,0.000000,0.035714,,,insufficient_evidence
field,20,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,4,101,100,72,0,1,0,0.712871,0.000000,0.009901,,,insufficient_evidence
field,21,Robber Knight [T4],robber_knight,robber_knight,confirmed_id,1,2,2,1,0,0,0,0.500000,0.000000,0.000000,,,insufficient_evidence
field,22,Mallister Knight [T5],mallister_knight,mallister_horseman,confirmed_id,2,69,63,26,1,5,0,0.376812,0.014493,0.086957,,,insufficient_evidence
field,23,Mallister Footman [T3],mallister_footman,mallister_footman,confirmed_id,2,23,23,8,0,0,0,0.347826,0.000000,0.000000,,,insufficient_evidence
field,24,Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,2,50,33,15,4,13,0,0.300000,0.080000,0.340000,,,insufficient_evidence
field,25,Vale Recruit [T1],vale_recruit,vale_recruit,confirmed_id,2,34,32,10,0,2,0,0.294118,0.000000,0.058824,,,insufficient_evidence
field,26,Westerlands Recruit [T1],westerlands_recruit,,unresolved,1,25,11,3,1,13,0,0.120000,0.040000,0.560000,,,insufficient_evidence
field,27,Robber Knight Boss [T5],robber_knight_boss,robber_boss,confirmed_id,1,1,1,0,0,0,0,0.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,1,Moon Brother Woodsman [T3],moon_brother_woodsman,,unresolved,1,1,1,3,0,0,0,3.000000,0.000000,0.000000,,,insufficient_evidence
siege_attack,2,Riverlands Elite Swordsman [T4],riverlands_elite_swordsman,river_elite_swordsman,confirmed_id,1,6,1,13,3,2,0,2.166667,0.500000,0.833333,,,insufficient_evidence
siege_attack,3,Riverlands Elite Archer [T4],riverlands_elite_archer,river_elite_archer,confirmed_id,1,3,0,6,1,2,0,2.000000,0.333333,1.000000,,,insufficient_evidence
siege_attack,4,Highwayman [T4],highwayman,mountain_bandits_chief,confirmed_id,1,2,1,4,1,0,0,2.000000,0.500000,0.500000,,,insufficient_evidence
siege_attack,5,Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,2,56,32,92,5,19,0,1.642857,0.089286,0.428571,,,insufficient_evidence
siege_attack,6,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,2,158,49,230,32,77,0,1.455696,0.202532,0.689873,,,insufficient_evidence
siege_attack,7,Riverlands Ranger [T5],riverlands_ranger,river_ranger,confirmed_id,2,6,1,8,1,4,0,1.333333,0.166667,0.833333,,,insufficient_evidence
siege_attack,8,Gold Cloak Elite Archer [T4],gold_cloak_elite_archer,goldcloak_elite_archer,confirmed_id,1,3,0,4,0,3,0,1.333333,0.000000,1.000000,,,insufficient_evidence
siege_attack,9,Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,1,3,1,4,1,1,0,1.333333,0.333333,0.666667,,,insufficient_evidence
siege_attack,10,Riverlands Archer [T3],riverlands_archer,river_archer,confirmed_id,1,7,2,9,0,5,0,1.285714,0.000000,0.714286,,,insufficient_evidence
siege_attack,11,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,2,69,36,86,5,28,0,1.246377,0.072464,0.478261,,,insufficient_evidence
siege_attack,12,Mallister Knight [T5],mallister_knight,mallister_horseman,confirmed_id,2,54,30,63,3,21,0,1.166667,0.055556,0.444444,,,insufficient_evidence
siege_attack,13,Mallister Man at Arms [T4],mallister_man_at_arms,mallister_man_at_arms,confirmed_id,2,9,6,9,1,2,0,1.000000,0.111111,0.333333,,,insufficient_evidence
siege_attack,14,Arryn Winged Knight [T6],arryn_winged_knight,arryn_moonknight,confirmed_id,1,6,2,6,1,3,0,1.000000,0.166667,0.666667,,,insufficient_evidence
siege_attack,15,Vale Archer [T3],vale_archer,vale_archer,confirmed_id,1,4,0,4,0,4,0,1.000000,0.000000,1.000000,,,insufficient_evidence
siege_attack,16,Riverlands Soldier [T3],riverlands_soldier,river_soldier,confirmed_id,2,8,4,7,0,4,0,0.875000,0.000000,0.500000,,,insufficient_evidence
siege_attack,17,Mallister Archer [T4],mallister_archer,mallister_archer,confirmed_id,1,6,4,5,0,2,0,0.833333,0.000000,0.333333,,,insufficient_evidence
siege_attack,18,Riverlands Cavalry [T5],riverlands_cavalry,river_calvary,confirmed_id,1,6,4,5,1,1,0,0.833333,0.166667,0.333333,,,insufficient_evidence
siege_attack,19,Hillman [T2],hillman,mountain_bandits_bandit,confirmed_id,1,6,5,4,0,1,0,0.666667,0.000000,0.166667,,,insufficient_evidence
siege_attack,20,Mallister Footman [T3],mallister_footman,mallister_footman,confirmed_id,1,7,4,3,1,2,0,0.428571,0.142857,0.428571,,,insufficient_evidence
siege_attack,21,Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,1,14,7,2,3,4,0,0.142857,0.214286,0.500000,,,insufficient_evidence
