observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
mallister_20260812_0013,battle_20260812_105603_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 10_56_03.png,bb0b27918079ed884822c745d91256bcfaf2eac06be875d6e47a89691a4161aa,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0013; review_queue.csv; source SHA-256 bb0b27918079ed884822c745d91256bcfaf2eac06be875d6e47a89691a4161aa
mallister_20260812_0021,battle_20260812_105603_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 10_56_03.png,bb0b27918079ed884822c745d91256bcfaf2eac06be875d6e47a89691a4161aa,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0021; review_queue.csv; source SHA-256 bb0b27918079ed884822c745d91256bcfaf2eac06be875d6e47a89691a4161aa
mallister_20260812_0047,battle_20260812_110101_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_01_01.png,792f9e49de51666323f8b43458de75bf83eb37b9f60114443d60cdee717d82e4,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0047; review_queue.csv; source SHA-256 792f9e49de51666323f8b43458de75bf83eb37b9f60114443d60cdee717d82e4
mallister_20260812_0084,battle_20260812_111049_bloody_gate_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_10_49.png,70af8d24e1c75879a8d5f2c7dc084329bebd8bf9954b16f386fa2ae39522aeab,wounded,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; wounded cell remains unresolved,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0084; review_queue.csv; source SHA-256 70af8d24e1c75879a8d5f2c7dc084329bebd8bf9954b16f386fa2ae39522aeab
mallister_20260812_0108,battle_20260812_114124_stoney_sept_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_41_24.png,f200cdd6bc162ccbd1f51aa9f998869e92927fd0eed9636f5c6846382a6b43b8,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0108; review_queue.csv; source SHA-256 f200cdd6bc162ccbd1f51aa9f998869e92927fd0eed9636f5c6846382a6b43b8
mallister_20260812_0143,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0143; review_queue.csv; source SHA-256 c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d
mallister_20260812_0144,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0144; review_queue.csv; source SHA-256 c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d
mallister_20260812_0149,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0149; review_queue.csv; source SHA-256 c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d
mallister_20260812_0151,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d,wounded,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: bottom row is clipped; wounded cell remains unresolved,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0151; review_queue.csv; source SHA-256 c9170306fc4c0fda0ab0379a111021956f011792eb6dd2603be6c4c114d4d60d
mallister_20260812_0181,battle_20260812_151802_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 15_18_02.png,f35e4a0c256577e4bbb21df66a490ff5253d1c7dc9ae60e5419b46e7163a41a9,upgrade_ready,,,unresolved_no_raw_image_review,The raw screenshot is not retained for visual re-review; the normalized value remains unresolved and no replacement is inferred. Queue note: white level-up icon; numeric upgrade count is not inferred,Codex local analysis agent (GPT-5),normalized occurrence mallister_20260812_0181; review_queue.csv; source SHA-256 f35e4a0c256577e4bbb21df66a490ff5253d1c7dc9ae60e5419b46e7163a41a9
