observation_id,battle_id,source_image_file,display_name_raw,row_type,uncertain_fields,notes
mallister_20260812_0013,battle_20260812_105603_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 10_56_03.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0021,battle_20260812_105603_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 10_56_03.png,Saffron,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0047,battle_20260812_110101_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_01_01.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0084,battle_20260812_111049_bloody_gate_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_10_49.png,Tully Archer [T4],troop,wounded,bottom row is clipped; wounded cell remains unresolved
mallister_20260812_0108,battle_20260812_114124_stoney_sept_siege,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 11_41_24.png,Jokin the Easterling,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0143,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,Gendry,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0144,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,Jokin the Easterling,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0149,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,Ronnet Storm,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0151,battle_20260812_132934_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 13_29_34.png,Highwayman [T4],troop,wounded,bottom row is clipped; wounded cell remains unresolved
mallister_20260812_0181,battle_20260812_151802_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 15_18_02.png,Gendry,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
mallister_20260812_0187,battle_20260812_151802_mallister_field,Mount and Blade II Bannerlord - Singleplayer PID_ 10540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_08_2026 15_18_02.png,Samwell Tarly,hero,upgrade_ready|deaths|wounded,bottom row is clipped and shows a white level-up icon; numeric upgrade and casualty cells remain unresolved
