provisional_slug,display_name,observed_track,canonical_troop_id,match_status,resolution_method,evidence_kind,evidence_paths,candidate_count,candidate_troop_ids,blocking_reason
dornish_footman,Dornish Footman [T3],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
dornish_levy,Dornish Levy [T2],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
dornish_recruit,Dornish Recruit [T1],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
dornish_spearmaster,Dornish Spearmaster [T5],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
goldenheart_warrior,Goldenheart Warrior [T6],realm_of_thrones,summer_master_longbowman,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,summer_master_longbowman,
lyseni_axe_apprentice,Lyseni Axe Apprentice [T3],realm_of_thrones,lyseni_axe_apprentice,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lyseni_axe_apprentice,
lyseni_axeman,Lyseni Axeman [T4],realm_of_thrones,lyseni_axeman,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lyseni_axeman,
lyseni_soldier,Lyseni Soldier [T3],realm_of_thrones,lyseni_soldier,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lyseni_soldier,
lyseni_warrior,Lyseni Warrior [T4],realm_of_thrones,lyseni_warrior,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lyseni_warrior,
rhoynar_convoy_guard,Rhoynar Convoy Guard [T4],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
