cohort,source_path,battle_id,context_scope,player_relationship,result,counts_available_per_battle,included_in_direct_rate_extension
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_005,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_006,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_007,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_008,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_009,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_014,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_015,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_016,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
frozen_baseline,data/rot_reference/empirical/20260703_contextual_control_status.csv,rot_empirical_20260703_018,clean_player_party_context_subtype_not_preserved,player_party,not_preserved,False,True
current_field,data/combat_observations/2026-08-13-goldenheart-field/bundle/goldenheart_field_2026-08-13.tar.xz.base64.part-00,battle_20260813_014759_goldenheart_field,field,player_party,Victory,True,True
current_field,data/combat_observations/2026-08-13-goldenheart-field/bundle/goldenheart_field_2026-08-13.tar.xz.base64.part-00,battle_20260813_181502_goldenheart_field,field,player_party,Victory,True,True
