provisional_slug,display_name,observed_track,canonical_troop_id,match_status,resolution_method,evidence_kind,evidence_paths,candidate_count,candidate_troop_ids,blocking_reason
andal_veteran_caravan_guard,Andal Veteran Caravan Guard [T5],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
andal_veteran_convoy_guard,Andal Veteran Convoy Guard [T5],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
braavosi_footman,Braavosi Footman [T2],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
captain_of_the_kingsguard,Captain of the Kingsguard [T6],realm_of_thrones,mounted_kingsguard,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,mounted_kingsguard,
casterly_rock_master_crossbowman,Casterly Rock Master Crossbowman [T5],realm_of_thrones,casterly_master_crossbowman,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,casterly_master_crossbowman,
frey_assassin,Frey Assassin [T6],realm_of_thrones,frey_assassin,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,frey_assassin,
gold_cloak_archer,Gold Cloak Archer [T3],realm_of_thrones,goldcloak_archer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,goldcloak_archer,
gold_cloak_elite_archer,Gold Cloak Elite Archer [T4],realm_of_thrones,goldcloak_elite_archer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,goldcloak_elite_archer,
gold_cloak_petty_officer,Gold Cloak Petty Officer [T4],realm_of_thrones,goldcloak_officer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,goldcloak_officer,
gold_cloak_sniper,Gold Cloak Sniper [T5],realm_of_thrones,goldcloak_master_archer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,goldcloak_master_archer,
kingsguard,Kingsguard [T5],realm_of_thrones,kingsguard_captain,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,kingsguard_captain,
kingsguard_initiate,Kingsguard Initiate [T4],realm_of_thrones,kingsguard_initiate,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,kingsguard_initiate,
kingsguard_s_squire,Kingsguard's Squire [T3],realm_of_thrones,kingsguard_squire,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,kingsguard_squire,
kingswood_bandit,Kingswood Bandit [T3],realm_of_thrones,kingswood_bandit,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,kingswood_bandit,
kingswood_brigand,Kingswood Brigand [T4],realm_of_thrones,kingswood_chief,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,kingswood_chief,
lannister_archer,Lannister Archer [T4],realm_of_thrones,lannister_archer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lannister_archer,
lannister_officer,Lannister Officer [T5],realm_of_thrones,lannister_officer,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,lannister_officer,
mormont_bowmaiden,Mormont Bowmaiden [T6],realm_of_thrones,mormont_bowmaiden,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,mormont_bowmaiden,
northern_mounted_warlord,Northern Mounted Warlord [T6],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
queen_s_man,Queen's Man [T6],realm_of_thrones,dragonstone_steel_curtain,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,dragonstone_steel_curtain,
realm_hedge_knight,Realm Hedge Knight [T4],realm_of_thrones,realm_hedge_knight,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,realm_hedge_knight,
realm_master_sellsword,Realm Master Sellsword [T6],realm_of_thrones,ROT_mercenary5,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,ROT_mercenary5,
reaver,Reaver [T4],realm_of_thrones,,unresolved,,,,0,,No exact name-to-ID match in versioned Realm of Thrones references
riverlands_admiral,Riverlands Admiral [T6],realm_of_thrones,river_admiral,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,river_admiral,
riverlands_axeman,Riverlands Axeman [T5],realm_of_thrones,river_axeman,confirmed_id,exact_normalized_display_name_in_versioned_track_reference,versioned_track_reference,data/realm_of_thrones/audit/realm_of_thrones_roster_audit_summary.csv|data/realm_of_thrones/audit/realm_of_thrones_tree_tiers.csv|data/realm_of_thrones/audit/realm_of_thrones_troop_equipment_audit.csv|data/realm_of_thrones/audit/realm_of_thrones_troops.csv,1,river_axeman,
