canonical_troop_id,troop_name,level,default_group,OneHanded,TwoHanded,Polearm,Bow,Throwing,Riding,Athletics,armor_total,shield_hp_max,horse_speed_max,horse_charge_max,horse_harness_armor_max,crafted_templates,crafted_weapon_stat_status,descriptive_distance_from_captain
mounted_kingsguard,Captain of the Kingsguard,31.0,Cavalry,270.0,270.0,270.0,30.0,220.0,250.0,270.0,211.0,370.0,64.0,32.0,80.0,OneHandedSword|TwoHandedPolearm|TwoHandedSword,not_reconstructed,
goldcloak_master_archer,Gold Cloak Sniper,26.0,Ranged,110.0,10.0,30.0,140.0,10.0,5.0,120.0,141.0,0.0,0.0,0.0,0.0,OneHandedSword,not_reconstructed,
arryn_moonknight,Arryn Winged Knight,31.0,Cavalry,230.0,220.0,250.0,5.0,10.0,250.0,220.0,221.0,370.0,61.0,28.0,75.0,OneHandedSword|TwoHandedPolearm,not_reconstructed,5.250000
mallister_knight,Mallister Eagle Knight,31.0,Cavalry,230.0,230.0,240.0,5.0,10.0,240.0,230.0,208.0,400.0,58.0,30.0,75.0,OneHandedSword|TwoHandedPolearm,not_reconstructed,5.925000
lannister_prideknight,Lannister Prideknight,31.0,Cavalry,230.0,220.0,240.0,15.0,200.0,240.0,230.0,178.0,400.0,64.0,32.0,75.0,OneHandedSword|TwoHandedPolearm,not_reconstructed,6.175000
whiteharbor_knight_commander,White Harbor Knight Commander,31.0,Cavalry,230.0,200.0,250.0,15.0,200.0,240.0,230.0,191.0,400.0,62.0,23.0,75.0,OneHandedSword|TwoHandedPolearm,not_reconstructed,6.650000
ROT_mercenary5,Realm Master Sellsword,31.0,Cavalry,240.0,220.0,230.0,130.0,80.0,240.0,230.0,188.0,500.0,58.0,30.0,72.0,OneHandedSword|TwoHandedPolearm,not_reconstructed,7.775000
realm_paladin,Realm Paladin,31.0,Cavalry,230.0,230.0,230.0,150.0,230.0,230.0,230.0,194.0,370.0,58.0,30.0,72.0,Javelin|OneHandedSword|TwoHandedPolearm,not_reconstructed,8.125000
dayne_starfall_knights,Knights of Starfall,31.0,Cavalry,230.0,220.0,240.0,100.0,230.0,230.0,230.0,197.0,400.0,60.0,18.0,75.0,Javelin|OneHandedSword|TwoHandedPolearm,not_reconstructed,8.550000
dondarion_boltknight,Dondarrion Boltknight,31.0,Cavalry,240.0,220.0,230.0,5.0,220.0,230.0,220.0,195.0,300.0,62.0,27.0,75.0,Mace|TwoHandedPolearm,not_reconstructed,8.800000
