file,sha256,size_bytes
README.md,cb4986504f47bd875c4bfe90ccfad11b4f6e191ce27d31dc4b3ac5ab05361ecf,857
battles.jsonl,c415864b36afb382236a1a603169dd4dff15180255f1e8e8f8a9561c0c8a34b9,8597
normalization_summary.json,c27c6ab06c0b26d445420c46bb8920c602be6985efaee30b55623e4d7b9a1b85,1110
primary_troop_occurrences.jsonl,523045c7a897b1078ece471082e5f8467cf3119fd4da9bb6071aeb77a609c818,146627
review_queue.csv,f73670371c9361ef1f9f5fad8028791f8f8ed8c62be6521d029db8eff1daeba0,3924
screenshots_manifest.csv,3d6b3b5db05bb0ee95700a71244edf9241ce958059858d6f0f83db36297aea26,3517
source_inventory.csv,ce98ad786b00b232e7232404c4a672e6e558db8f99c1364788e31700b25b29cb,6256
troop_battle_consolidated.jsonl,8e39f199844c5e6e6a5d01d0a2f9374b7f5d135d6e626744c1dde5988a578b6d,43496
troop_occurrences.jsonl,979d44a8792707dc52b9e7cbc26392f15d79cc341e2d429386b323c154b936ce,419546
validation_report.json,178da33dfd817e3bdfd213c546f5dbeb8baf1dcc452d59317ef2b2b54d5a2b6d,1919
