observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
captain_20260815_16_0025,battle_20260815_002744_captain_field,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_27_44.png,26089da19f684989ec9259ad790d47724018785922ae99fc1df275f1faa1b470,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0025; review_queue.csv; source SHA-256 26089da19f684989ec9259ad790d47724018785922ae99fc1df275f1faa1b470
captain_20260815_16_0041,battle_20260815_003923_captain_field,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_39_23.png,b0d69892b502f39c35af82822c96fe4828e7744d2b8a7adb52ad0a915b087ca4,kills,,,unresolved_visual_occlusion,"Exact retained screenshot was re-reviewed; the selection cursor still covers the numeric cell, so no replacement is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0041; review_queue.csv; source SHA-256 b0d69892b502f39c35af82822c96fe4828e7744d2b8a7adb52ad0a915b087ca4
captain_20260815_16_0073,battle_20260815_101255_captain_field,Armoury Crate SE 15_08_2026 10_12_55.png,329c2451ddf245bb7287d1ba1af499eaedbd8a88f606429fbc38ebe22231bbde,deaths,,,unresolved_visual_occlusion,"Exact retained screenshot was re-reviewed; the selection cursor still covers the numeric cell, so no replacement is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0073; review_queue.csv; source SHA-256 329c2451ddf245bb7287d1ba1af499eaedbd8a88f606429fbc38ebe22231bbde
captain_20260815_16_0122,battle_20260815_142829_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 14_28_29.png,055573e8de7040f2ce70616ba1d29761d09f1b5dae357dab47b799e31d8b4373,kills,,,unresolved_visual_occlusion,"Exact retained screenshot was re-reviewed; the selection cursor still covers the numeric cell, so no replacement is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0122; review_queue.csv; source SHA-256 055573e8de7040f2ce70616ba1d29761d09f1b5dae357dab47b799e31d8b4373
captain_20260815_16_0150,battle_20260815_230207_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0150; review_queue.csv; source SHA-256 0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0
captain_20260815_16_0156,battle_20260815_230207_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0156; review_queue.csv; source SHA-256 0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0
captain_20260815_16_0174,battle_20260816_004856_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0174; review_queue.csv; source SHA-256 2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6
captain_20260815_16_0183,battle_20260816_004856_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0183; review_queue.csv; source SHA-256 2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6
captain_20260815_16_0212,battle_20260816_010212_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 01_02_12.png,ff3b5d614a65b197b2f6d235a63b839626fcd729a5e922679a29199b3d1470f7,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0212; review_queue.csv; source SHA-256 ff3b5d614a65b197b2f6d235a63b839626fcd729a5e922679a29199b3d1470f7
captain_20260815_16_0277,battle_20260816_182033_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_33.png,bcf6c8249e75be6d0c9f6d98b3a40fd0e941392b972780511ff05185747aafaf,upgrade_ready,,icon_present_non_numeric,resolved_visual_non_numeric_indicator,"Exact retained screenshot visually confirms the white upgrade-ready icon; the icon is non-numeric, so no integer count is inferred and the queued row remains excluded from primary rankings.",Phase 2 local evidence review,normalized occurrence captain_20260815_16_0277; review_queue.csv; source SHA-256 bcf6c8249e75be6d0c9f6d98b3a40fd0e941392b972780511ff05185747aafaf
