observation_id,battle_id,source_image_file,display_name_raw,row_type,uncertain_fields,notes
captain_20260815_16_0025,battle_20260815_002744_captain_field,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_27_44.png,Boros Blount,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0041,battle_20260815_003923_captain_field,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_39_23.png,Stevron Frey,hero,kills,selection cursor obscures the kills cell; no value is inferred
captain_20260815_16_0073,battle_20260815_101255_captain_field,Armoury Crate SE 15_08_2026 10_12_55.png,Tully Rider [T4],troop,deaths,selection cursor obscures the deaths cell; no value is inferred
captain_20260815_16_0122,battle_20260815_142829_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 14_28_29.png,Andal Caravan Guard [T4],troop,kills,selection cursor obscures the kills cell; no value is inferred
captain_20260815_16_0150,battle_20260815_230207_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0156,battle_20260815_230207_captain_siege_defense,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,Boros Blount,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0174,battle_20260816_004856_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,Gendry,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0183,battle_20260816_004856_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,Sara Cox,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0212,battle_20260816_010212_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 01_02_12.png,Gendry,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0277,battle_20260816_182033_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_33.png,Gendry,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
captain_20260815_16_0281,battle_20260816_182033_captain_siege_attack,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_33.png,Samwell Tarly,hero,upgrade_ready,white level-up icon; numeric upgrade count is not inferred
