source_id,image_file,image_sha256,size_bytes,library_file_id,captured_at,battle_or_batch_id,screen_status,included_in_primary,canonical_stamp,selection_reason
source_01,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_27_44.png,26089da19f684989ec9259ad790d47724018785922ae99fc1df275f1faa1b470,1913997,libfile_428c238c4e0c819183347e283d5b2769,2026-08-15T00:27:44-03:00,battle_20260815_002744_captain_field,final_result,True,,
source_02,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_27_48.png,46b6b118f9f333d34c71e0c9c0a7133c65d250b6e0ae90ee7f862954c3762022,1948471,libfile_b17b437bc7e08191ae595600f289c786,2026-08-15T00:27:48-03:00,battle_20260815_002744_captain_field,duplicate_final_result,False,00_27_44,"same 05m40s totals, parties, and visible rows; transient scene pixels differ"
source_03,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 00_39_23.png,b0d69892b502f39c35af82822c96fe4828e7744d2b8a7adb52ad0a915b087ca4,2367773,libfile_4b48f11be71c8191b0608dac1b555ef5,2026-08-15T00:39:23-03:00,battle_20260815_003923_captain_field,final_result,True,,
source_04,Armoury Crate SE 15_08_2026 10_12_55.png,329c2451ddf245bb7287d1ba1af499eaedbd8a88f606429fbc38ebe22231bbde,2488250,libfile_c6a88167bfa48191858ecda797bc2aae,2026-08-15T10:12:55-03:00,battle_20260815_101255_captain_field,final_result,True,,
source_05,Mount and Blade II Bannerlord - Singleplayer PID_ 840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 14_08_22.png,8a048a2ae2ea7391b394d262eb079bc594dcd590020360cb30e8dc620fb10811,1877185,libfile_1ece4e2b79d8819180cdcb5a7cfb9a11,2026-08-15T14:08:22-03:00,battle_20260815_142829_captain_siege_defense,in_progress_superseded,False,14_28_29,Surrender screen at 01h39m03s; same Roose/Joffrey battle finalized at 02h30m34s
source_06,Mount and Blade II Bannerlord - Singleplayer PID_ 840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 14_28_29.png,055573e8de7040f2ce70616ba1d29761d09f1b5dae357dab47b799e31d8b4373,2202998,libfile_dcf4af32c9348191ada319e2ec453813,2026-08-15T14:28:29-03:00,battle_20260815_142829_captain_siege_defense,final_result,True,,
source_07,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_08_2026 23_02_07.png,0391006e94d27a887fcc9dfbdc45246546a4b842c1ae6728d8420158fc09cbb0,2139240,libfile_0d269d76bd2c81919b85aa3668783ec8,2026-08-15T23:02:07-03:00,battle_20260815_230207_captain_siege_defense,final_result,True,,
source_08,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 00_48_56.png,2d59c673979b7fcd020716a0eff17368a47bf43638a3a94535e09cd6f4e1cdd6,2071177,libfile_8b36ffbc1d80819195143fed80502711,2026-08-16T00:48:56-03:00,battle_20260816_004856_captain_siege_attack,final_result,True,,
source_09,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 01_02_12.png,ff3b5d614a65b197b2f6d235a63b839626fcd729a5e922679a29199b3d1470f7,2412753,libfile_5711134b8ef48191a889ed993160d65e,2026-08-16T01:02:12-03:00,battle_20260816_010212_captain_siege_attack,final_result,True,,
source_10,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_04_48.png,e38a3014d5f150439d9739e91fe47a22186df9906e70054606103ae558920f7a,2505389,libfile_8165471ea0188191b477b61b3fd08a86,2026-08-16T18:04:48-03:00,battle_20260816_180448_captain_siege_attack,final_result,True,,
source_11,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_32.png,db73a717dc6d5239a7cbdc05778c05faa2a152f778cbcbcdd924393fd4e9ce6a,2238465,libfile_4c1059da3eac81918e060cba960b9106,2026-08-16T18:20:32-03:00,battle_20260816_182033_captain_siege_attack,duplicate_final_result,False,18_20_33,"same 08m33s totals, parties, and visible rows; transient cursor/background pixels differ"
source_12,Mount and Blade II Bannerlord - Singleplayer PID_ 5832 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_08_2026 18_20_33.png,bcf6c8249e75be6d0c9f6d98b3a40fd0e941392b972780511ff05185747aafaf,2237969,libfile_1e0da5ee34fc8191966e148ed83c3708,2026-08-16T18:20:33-03:00,battle_20260816_182033_captain_siege_attack,final_result,True,,
source_13,Mount and Blade II Bannerlord PID_ 16024 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_08_2026 01_47_59(1).png,eac0531ffcc1cbcc009216074d123c9833c14cb588c573f4f887d270f21d0ce4,2151489,libfile_7137d8e1e3c881919217660de84e64ed,2026-08-13T01:47:59-03:00,combat_2026-08-13_goldenheart_field,previously_published,False,,exact SHA-256 already preserved and analyzed in merged PR #69
source_14,Mount and Blade II Bannerlord PID_ 16024 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_08_2026 18_15_02(1).png,207b192d701af9fc183c46115a90ff0fbc1e0748620ba84248b1f3e0b7af9955,2538851,libfile_db644fc4780c8191a4c18c72d595bbae,2026-08-13T18:15:02-03:00,combat_2026-08-13_goldenheart_field,previously_published,False,,exact SHA-256 already preserved and analyzed in merged PR #69
