context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,White Harbor Pike Knight [T5],white_harbor_pike_knight,whiteharbor_elite_pikeman,confirmed_id,1,1,0,8,1,0,0,8.000000,9,677,0.011817,0.094535,1,True,complete,battle_metadata_and_side_total,1.000000,1.000000,,,insufficient_evidence
field,2,Northern Colonel [T5],northern_colonel,,unresolved,2,3,2,18,1,0,0,6.000000,7,954,0.018868,0.113208,2,True,complete,battle_metadata_and_side_total,0.333333,0.333333,,,insufficient_evidence
field,3,Northern Man at Arms [T4],northern_man_at_arms,,unresolved,1,1,1,4,0,0,0,4.000000,15,267,0.014981,0.059925,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,4,Westerlands Master Longbowman [T5],westerlands_master_longbowman,,unresolved,1,1,1,4,0,0,0,4.000000,27,500,0.008000,0.032000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,5,Westerlands Skirmisher [T5],westerlands_skirmisher,,unresolved,2,6,0,19,2,4,0,3.166667,18,1177,0.016143,0.051119,2,True,complete,battle_metadata_and_side_total,0.333333,1.000000,,,insufficient_evidence
field,6,Forest Bandit [T4],forest_bandit,forest_bandits_chief,confirmed_id,1,3,0,9,1,2,0,3.000000,23,677,0.013294,0.039882,1,True,complete,battle_metadata_and_side_total,0.333333,1.000000,,,insufficient_evidence
field,7,Northern Sergeant [T4],northern_sergeant,,unresolved,1,1,1,3,0,0,0,3.000000,19,181,0.016575,0.049724,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,8,Tully Longbowman [T5],tully_longbowman,tully_longbowman,confirmed_id,1,1,1,3,0,0,0,3.000000,33,500,0.006000,0.018000,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,10,Northern Bowman [T3],northern_bowman,,unresolved,1,8,8,18,0,0,0,2.250000,16,687,0.026201,0.058952,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence
field,11,Reaver [T4],reaver,,unresolved,1,5,0,11,0,5,0,2.200000,26,677,0.016248,0.035746,1,True,complete,battle_metadata_and_side_total,0.000000,1.000000,,,insufficient_evidence
