context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status
field,1,Riverlands Axeman [T5],riverlands_axeman,river_axeman,confirmed_id,1,3,0,9,1,2,0,3.000000,10,378,0.023810,0.071429,1,True,complete,battle_metadata_and_side_total,0.333333,1.000000,,,insufficient_evidence
field,2,Westerlands Sharpshooter [T5],westerlands_sharpshooter,,unresolved,1,1,0,3,0,1,0,3.000000,18,361,0.008310,0.024931,1,True,complete,battle_metadata_and_side_total,0.000000,1.000000,,,insufficient_evidence
field,3,Gold Cloak Halberdier [T5],gold_cloak_halberdier,kingsguard,confirmed_id,2,30,6,84,6,18,0,2.800000,4,969,0.086687,0.242724,2,True,complete,battle_metadata_and_side_total,0.200000,0.800000,,,insufficient_evidence
field,4,Westerlands Infantry [T3],westerlands_infantry,,unresolved,1,2,0,5,0,2,0,2.500000,13,378,0.013228,0.033069,1,True,complete,battle_metadata_and_side_total,0.000000,1.000000,,,insufficient_evidence
field,5,Hired Crossbow [T4],hired_crossbow,,ambiguous_exact_name,1,3,2,6,0,1,0,2.000000,21,591,0.010152,0.020305,1,True,complete,battle_metadata_and_side_total,0.000000,0.333333,,,insufficient_evidence
field,6,Riverlands Footman [T2],riverlands_footman,river_footman,confirmed_id,1,2,0,4,2,0,0,2.000000,20,378,0.010582,0.021164,1,True,complete,battle_metadata_and_side_total,1.000000,1.000000,,,insufficient_evidence
field,8,Gold Cloak Petty Officer [T4],gold_cloak_petty_officer,goldcloak_officer,confirmed_id,2,8,1,15,3,4,0,1.875000,16,969,0.015480,0.029025,2,True,complete,battle_metadata_and_side_total,0.375000,0.875000,,,insufficient_evidence
field,9,Northern Colonel [T5],northern_colonel,,unresolved,4,111,56,207,8,47,0,1.864865,5,1595,0.129781,0.242023,4,True,complete,battle_metadata_and_side_total,0.072072,0.495495,,,insufficient_evidence
field,10,Riverlands Man at Arms [T4],riverlands_man_at_arms,river_man_at_arms,confirmed_id,2,11,0,18,1,10,0,1.636364,15,969,0.018576,0.030397,2,True,complete,battle_metadata_and_side_total,0.090909,1.000000,,,insufficient_evidence
field,11,Riverlands Elite Archer [T4],riverlands_elite_archer,river_elite_archer,confirmed_id,2,8,6,13,1,1,0,1.625000,22,1077,0.012071,0.019615,2,True,complete,battle_metadata_and_side_total,0.125000,0.250000,,,insufficient_evidence
