observation_id,battle_id,source_image_file,display_name_raw,row_type,uncertain_fields,notes
stark_sworn_20260821_0013,battle_20260821_003114_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 00_31_14.png,Northern Soldier [T2],troop,kills,selection cursor obscures the kills cell; no value is inferred
stark_sworn_20260821_0015,battle_20260821_003114_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 00_31_14.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0049,battle_20260821_004935_stark_sworn_siege_attack_rosby,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 00_49_35.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0070,battle_20260821_011522_stark_sworn_siege_attack_stoney_sept_interrupted,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_15_22.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0073,battle_20260821_011522_stark_sworn_siege_attack_stoney_sept_interrupted,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_15_22.png,Samwell Tarly,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0075,battle_20260821_011522_stark_sworn_siege_attack_stoney_sept_interrupted,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_15_22.png,Hallis Mollen,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0093,battle_20260821_013121_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_31_21.png,Tyrion Lannister,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0096,battle_20260821_013121_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_31_21.png,Samwell Tarly,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0097,battle_20260821_013121_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_31_21.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0100,battle_20260821_013121_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 01_31_21.png,Hallis Mollen,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0102,battle_20260821_023142_stark_sworn_siege_attack_silverhill,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 02_31_42.png,Attacker Side,side_total,deaths,Upgrades tooltip obscures the attacker-side deaths cell; the exact player-party row below supplies the battle total.
stark_sworn_20260821_0142,battle_20260821_023743_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 02_37_43.png,Hallis Mollen,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0143,battle_20260821_023743_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 02_37_43.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0164,battle_20260821_094651_stark_sworn_siege_attack_banefort_interrupted,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 09_46_51.png,Samwell Tarly,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0178,battle_20260821_113327_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 11_33_27.png,Gendry,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0179,battle_20260821_113327_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 11_33_27.png,Hallis Mollen,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
stark_sworn_20260821_0182,battle_20260821_113327_stark_sworn_field,Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 11_33_27.png,Samwell Tarly,hero,upgrade_ready,white upgrade-ready icon is non-numeric; no integer value is inferred
