display_name_raw,provisional_slug,canonical_troop_id,identity_status,game_track,game_version,evidence_source,resolution_reason
Blackwood Archer [T4],blackwood_archer,blackwood_archer,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Blackwood Bowman [T3],blackwood_bowman,blackwood_bowman,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Blackwood Levy [T2],blackwood_levy,blackwood_levy,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Frey Crossbowman [T3],frey_crossbowman,,unresolved,realm_of_thrones,1.4.x,current screenshot label plus versioned audit lookup,no conservative exact canonical ID match confirmed; provisional slug retained only
Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Frey Veteran Crossbowman [T4],frey_veteran_crossbowman,frey_veteran_crossbowman,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Knight of the Vale [T6],knight_of_the_vale,,unresolved,realm_of_thrones,1.4.x,current screenshot label plus versioned audit lookup,no conservative exact canonical ID match confirmed; provisional slug retained only
Mallister Eagle Knight [T6],mallister_eagle_knight,mallister_knight,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister Footman [T3],mallister_footman,mallister_footman,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister Horseman [T4],mallister_horseman,mallister_rider,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister Knight [T5],mallister_knight,mallister_horseman,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Mallister Levy [T2],mallister_levy,,unresolved,realm_of_thrones,1.4.x,current screenshot label plus versioned audit lookup,no conservative exact canonical ID match confirmed; provisional slug retained only
Mallister Man at Arms [T4],mallister_man_at_arms,mallister_man_at_arms,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Riverlands Admiral [T6],riverlands_admiral,river_admiral,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Riverrun Captain [T6],riverrun_captain,riverrun_captain,confirmed_id,realm_of_thrones,1.4.x,versioned Realm of Thrones identity audit from PR #68 / merged 2026-08-12 Mallister batch,exact display-name audit match retained from committed versioned evidence
Westerlands Levy Crossbowman [T2],westerlands_levy_crossbowman,,unresolved,realm_of_thrones,1.4.x,current screenshot label plus versioned audit lookup,no conservative exact canonical ID match confirmed; provisional slug retained only
Westerlands Recruit [T1],westerlands_recruit,,unresolved,realm_of_thrones,1.4.x,current screenshot label plus versioned audit lookup,no conservative exact canonical ID match confirmed; provisional slug retained only
