context,rank,display_name,provisional_slug,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,historical_kills_per_deployed,current_batch_kills_per_deployed,kills_per_deployed,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,kill_share_coverage_battles,kill_share_coverage_complete,kill_share_status,kill_share_denominator_provenance,death_rate,casualty_rate,ci95_low,ci95_high,reliability_status,more_battles_needed,more_deployed_needed
field,1,Ravens' Teeth [T6],ravens_teeth,ravens_teeth,confirmed_id,5,170,167,281,0,3,0,,1.652941,1.652941,1,1029,0.273081,0.451386,5,True,complete,battle_metadata_and_side_total,0.000000,0.017647,1.169725,3.221053,reliable,0,0
field,2,Mallister Man at Arms [T4],mallister_man_at_arms,mallister_man_at_arms,confirmed_id,4,36,31,55,1,4,0,,1.527778,1.527778,4,927,0.059331,0.090645,4,True,complete,battle_metadata_and_side_total,0.027778,0.138889,,,insufficient_evidence,1,0
field,3,Blackwood Longbowman [T5],blackwood_longbowman,blackwood_longbowman,confirmed_id,4,21,21,30,0,0,0,,1.428571,1.428571,9,905,0.033149,0.047356,4,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,1,0
field,4,Frey Veteran Crossbowman [T4],frey_veteran_crossbowman,frey_veteran_crossbowman,confirmed_id,1,11,11,14,0,0,0,,1.272727,1.272727,8,307,0.045603,0.058040,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,9
field,5,Frey Sharpshooter [T5],frey_sharpshooter,frey_sharpshooter,confirmed_id,2,16,16,20,0,0,0,,1.250000,1.250000,7,409,0.048900,0.061125,2,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,3,4
field,6,Mallister Elite Archer [T5],mallister_elite_archer,mallister_elite_archer,confirmed_id,1,52,52,61,0,0,0,,1.173077,1.173077,2,211,0.289100,0.339136,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,0
field,7,Mallister House Guard [T5],mallister_house_guard,mallister_houseguard,confirmed_id,5,153,143,179,3,7,0,,1.169935,1.169935,3,1029,0.173955,0.203516,5,True,complete,battle_metadata_and_side_total,0.019608,0.065359,0.502732,2.110236,reliable,0,0
field,8,Blackwood Archer [T4],blackwood_archer,blackwood_archer,confirmed_id,4,15,15,17,0,0,0,,1.133333,1.133333,12,744,0.022849,0.025896,4,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,1,5
field,9,Frey Assassin [T6],frey_assassin,frey_assassin,confirmed_id,3,17,17,19,0,0,0,,1.117647,1.117647,10,716,0.026536,0.029658,3,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,2,3
field,10,Knight of the Vale [T6],knight_of_the_vale,,unresolved,1,1,1,1,0,0,0,,1.000000,1.000000,17,124,0.008065,0.008065,1,True,complete,battle_metadata_and_side_total,0.000000,0.000000,,,insufficient_evidence,4,19
field,11,Mallister Footman [T3],mallister_footman,mallister_footman,confirmed_id,4,87,64,75,6,17,0,,0.862069,0.862069,5,927,0.080906,0.069747,4,True,complete,battle_metadata_and_side_total,0.068966,0.264368,,,insufficient_evidence,1,0
