candidate_image,candidate_sha256,captured_at,decision,same_battle_status,representative_or_prior_batch,prior_screenshot_id,visual_reason
Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 09_46_51.png,0c90bcb9b671698df4528ce7e1ba9420a78152898fc358d62b6e10215ad4713f,2026-08-21T09:46:51-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-stark-sworn-mixed,screen_20260821T0946510300_active,same recorder filename and capture timestamp; scoreboard matches the previously normalized active Banefort siege
Mount and Blade II Bannerlord - Singleplayer PID_ 23396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 11_33_27.png,60d0161e770d1beb03689426285e84f44736ed021a2a4871bb2ebcfbc53f5939,2026-08-21T11:33:27-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-stark-sworn-mixed,screen_20260821T1133270300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Robb Stark field defeat
Mount and Blade II Bannerlord PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 13_42_03.png,57f9ab83ff193b4aecd6e638acb839eec9ed08a9710562831867a458deffa598,2026-08-21T13:42:03-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1342030300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 13_52_49.png,90d951ea2ddde5aff4ea1519be8eb46a7c79f16b730c81d7d549f5848f5fe9f7,2026-08-21T13:52:49-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1352490300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 14_05_16.png,b09afd8dabc40b02fddb38dc91f81475dbec1601ba746ad29af73c871a7bdefe,2026-08-21T14:05:16-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1405160300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord - Singleplayer PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 17_24_01.png,aae0d291e5407cdb85818db377e17a53b574bdba9c3d9410141dce1991245d63,2026-08-21T17:24:01-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1724010300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord - Singleplayer PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 18_53_06.png,bf588ee130fc4cdb60d4c8a4b1167c9d0fdc41dc8494539073becafec7a08be3,2026-08-21T18:53:06-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1853060300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord - Singleplayer PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 19_09_00.png,8044bd39ba12c700f6e2380e3d23cd1cc37c6384a14f8112dd8adf0100964f5c,2026-08-21T19:09:00-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1909000300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord - Singleplayer PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 19_15_16.png,127dfcae8349d3fa9bc987f9916ea8578c24a5f9df2f7a48cb04a971faf85bb7,2026-08-21T19:15:16-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1915160300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
Mount and Blade II Bannerlord - Singleplayer PID_ 11160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 21_08_2026 19_22_10.png,240092372f58283931507bb654f72f22fe5bb407b68cf92b16234f0010ced5ef,2026-08-21T19:22:10-03:00,historical_duplicate,same_as_prior_normalized_capture,data/combat_observations/2026-08-21-lannister-prideknight-mixed,screen_20260821T1922100300,same recorder filename and capture timestamp; scoreboard matches the previously normalized Lannister Prideknight batch
