display_name,observed_canonical_troop_id,observed_identity_status,canonical_troop_id,resolution_status,default_group,level,exact_match_count,resolution_method,audit_source
Braavosi Footman [T2],braavosi_footman,provisional,,unresolved,,,0,no unique exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Broken Man [T1],,unresolved,,unresolved,,,0,no unique exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Dornish Archer [T3],dornish_archer,provisional,,unresolved,,,0,no unique exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Dornish Bowman [T2],dornish_bowman,provisional,,unresolved,,,0,no unique exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Lannister Longbowman [T5],lannister_longbowman,confirmed_id,lannister_longbowman,confirmed_id,Ranged,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Lannister Officer [T5],lannister_officer,provisional,lannister_officer,confirmed_id,Infantry,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Archer [T4],mallister_archer,confirmed_id,mallister_archer,confirmed_id,Ranged,21.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Eagle Knight [T6],mallister_knight,confirmed_id,mallister_knight,confirmed_id,Cavalry,31.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Elite Archer [T5],mallister_elite_archer,confirmed_id,mallister_elite_archer,confirmed_id,Ranged,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Footman [T3],mallister_footman,confirmed_id,mallister_footman,confirmed_id,Infantry,16.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Horseman [T4],mallister_rider,confirmed_id,mallister_rider,confirmed_id,Cavalry,21.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister House Guard [T5],mallister_houseguard,confirmed_id,mallister_houseguard,confirmed_id,Infantry,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Knight [T5],mallister_horseman,confirmed_id,mallister_horseman,confirmed_id,Cavalry,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Levy [T2],mallister_levy,provisional,mallister_levy,confirmed_id,Infantry,11.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Mallister Man at Arms [T4],mallister_man_at_arms,confirmed_id,mallister_man_at_arms,confirmed_id,Infantry,21.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Archer [T3],river_archer,confirmed_id,river_archer,confirmed_id,Ranged,16.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Bowman [T2],river_bowman,provisional,river_bowman,confirmed_id,Ranged,11.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Cavalry [T5],river_calvary,confirmed_id,river_calvary,confirmed_id,Cavalry,26.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Elite Archer [T4],river_elite_archer,confirmed_id,river_elite_archer,confirmed_id,Ranged,21.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Man at Arms [T4],river_man_at_arms,confirmed_id,river_man_at_arms,confirmed_id,Infantry,21.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
Riverlands Soldier [T3],river_soldier,confirmed_id,river_soldier,confirmed_id,Infantry,16.0,1,exact display-name match in versioned Realm of Thrones troop audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv
