context,rank,display_name,canonical_troop_id,identity_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,retention_rate,impact_rank,verified_player_side_total_kills,player_side_kill_share,share_adjusted_impact,death_rate,casualty_rate,reliability_status,more_battles_needed,more_deployed_needed
field,1,Riverlands Soldier [T3],river_soldier,confirmed_id,1,1,1,3,0,0,0,3.000000,1.000000,6,244,0.012295,0.036885,0.000000,0.000000,insufficient_evidence,4,19
field,2,Lannister Longbowman [T5],lannister_longbowman,confirmed_id,5,5,2,14,0,3,0,2.800000,0.400000,9,1568,0.008929,0.025000,0.000000,0.600000,insufficient_evidence,0,15
field,3,Lannister Officer [T5],lannister_officer,confirmed_id,5,5,2,12,0,3,0,2.400000,0.400000,10,1377,0.008715,0.020915,0.000000,0.600000,insufficient_evidence,0,15
field,4,Riverlands Elite Archer [T4],river_elite_archer,confirmed_id,2,4,2,9,0,2,0,2.250000,0.500000,7,578,0.015571,0.035035,0.000000,0.500000,insufficient_evidence,3,16
field,5,Riverlands Man at Arms [T4],river_man_at_arms,confirmed_id,2,2,1,4,0,1,0,2.000000,0.500000,12,578,0.006920,0.013841,0.000000,0.500000,insufficient_evidence,3,18
field,6,Mallister Elite Archer [T5],mallister_elite_archer,confirmed_id,9,530,261,978,52,217,0,1.845283,0.492453,1,2709,0.361019,0.666182,0.098113,0.507547,reliable,0,0
field,7,Riverlands Cavalry [T5],river_calvary,confirmed_id,2,2,1,3,1,0,0,1.500000,0.500000,15,578,0.005190,0.007785,0.500000,0.500000,insufficient_evidence,3,18
field,8,Mallister House Guard [T5],mallister_houseguard,confirmed_id,10,563,171,749,70,322,0,1.330373,0.303730,2,3019,0.248095,0.330059,0.124334,0.696270,reliable,0,0
field,9,Dornish Bowman [T2],,unresolved,2,4,2,5,0,2,0,1.250000,0.500000,14,578,0.008651,0.010813,0.000000,0.500000,insufficient_evidence,3,16
field,10,Mallister Eagle Knight [T6],mallister_knight,confirmed_id,10,559,240,684,66,253,0,1.223614,0.429338,3,3019,0.226565,0.277228,0.118068,0.570662,reliable,0,0
field,11,Mallister Man at Arms [T4],mallister_man_at_arms,confirmed_id,6,31,14,35,3,14,0,1.129032,0.451613,11,1909,0.018334,0.020700,0.096774,0.548387,reliable,0,0
field,12,Mallister Archer [T4],mallister_archer,confirmed_id,6,76,60,85,3,13,0,1.118421,0.789474,5,1887,0.045045,0.050379,0.039474,0.210526,reliable,0,0
field,13,Riverlands Archer [T3],river_archer,confirmed_id,4,28,8,30,6,14,0,1.071429,0.285714,8,1132,0.026502,0.028395,0.214286,0.714286,insufficient_evidence,1,0
field,14,Riverlands Bowman [T2],river_bowman,confirmed_id,3,41,14,43,6,21,0,1.048780,0.341463,4,785,0.054777,0.057449,0.146341,0.658537,insufficient_evidence,2,0
field,15,Braavosi Footman [T2],,unresolved,1,1,0,1,0,1,0,1.000000,0.000000,19,231,0.004329,0.004329,0.000000,1.000000,insufficient_evidence,4,19
field,16,Broken Man [T1],,unresolved,1,1,0,1,0,1,0,1.000000,0.000000,21,244,0.004098,0.004098,0.000000,1.000000,insufficient_evidence,4,19
field,17,Dornish Archer [T3],,unresolved,1,1,0,1,0,1,0,1.000000,0.000000,20,231,0.004329,0.004329,0.000000,1.000000,insufficient_evidence,4,19
field,18,Mallister Knight [T5],mallister_horseman,confirmed_id,2,6,2,5,1,3,0,0.833333,0.333333,16,554,0.009025,0.007521,0.166667,0.666667,insufficient_evidence,3,14
field,19,Mallister Levy [T2],mallister_levy,confirmed_id,5,10,5,8,0,5,0,0.800000,0.500000,18,1421,0.005630,0.004504,0.000000,0.500000,insufficient_evidence,0,10
field,20,Mallister Footman [T3],mallister_footman,confirmed_id,7,80,43,44,12,25,0,0.550000,0.537500,13,2166,0.020314,0.011173,0.150000,0.462500,reliable,0,0
field,21,Mallister Horseman [T4],mallister_rider,confirmed_id,6,41,6,21,13,22,0,0.512195,0.146341,17,2025,0.010370,0.005312,0.317073,0.853659,reliable,0,0
