battle_id,captured_at,result,display_name,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,pressure_margin
battle_20260823_020338_mallister_raven_free_field_extension,2026-08-23T02:03:38-03:00,Defeat,Mallister Elite Archer [T5],65,0,229,10,55,3.523077,0.000000,-0.238596
battle_20260823_021000_mallister_raven_free_field_extension,2026-08-23T02:10:00-03:00,Defeat,Mallister Elite Archer [T5],65,0,46,19,46,0.707692,0.000000,-0.670085
battle_20260823_021754_mallister_raven_free_field_extension,2026-08-23T02:17:54-03:00,Victory,Mallister Elite Archer [T5],65,62,70,0,3,1.076923,0.953846,0.586364
battle_20260823_022439_mallister_raven_free_field_extension,2026-08-23T02:24:39-03:00,Victory,Mallister Elite Archer [T5],66,66,79,0,0,1.196970,1.000000,0.889503
battle_20260823_023305_mallister_raven_free_field_extension,2026-08-23T02:33:05-03:00,Defeat,Mallister Elite Archer [T5],70,0,129,9,61,1.842857,0.000000,-0.586022
battle_20260823_023849_mallister_raven_free_field_extension,2026-08-23T02:38:49-03:00,Victory,Mallister Elite Archer [T5],70,70,123,0,0,1.757143,1.000000,0.705165
battle_20260823_020338_mallister_raven_free_field_extension,2026-08-23T02:03:38-03:00,Defeat,Mallister House Guard [T5],64,0,97,10,54,1.515625,0.000000,-0.238596
battle_20260823_021000_mallister_raven_free_field_extension,2026-08-23T02:10:00-03:00,Defeat,Mallister House Guard [T5],64,0,76,8,56,1.187500,0.000000,-0.670085
battle_20260823_021754_mallister_raven_free_field_extension,2026-08-23T02:17:54-03:00,Victory,Mallister House Guard [T5],64,26,157,10,28,2.453125,0.406250,0.586364
battle_20260823_022439_mallister_raven_free_field_extension,2026-08-23T02:24:39-03:00,Victory,Mallister House Guard [T5],34,22,43,6,6,1.264706,0.647059,0.889503
battle_20260823_023305_mallister_raven_free_field_extension,2026-08-23T02:33:05-03:00,Defeat,Mallister House Guard [T5],52,0,18,14,38,0.346154,0.000000,-0.586022
battle_20260823_023849_mallister_raven_free_field_extension,2026-08-23T02:38:49-03:00,Victory,Mallister House Guard [T5],52,27,83,4,21,1.596154,0.519231,0.705165
battle_20260823_020338_mallister_raven_free_field_extension,2026-08-23T02:03:38-03:00,Defeat,Mallister Eagle Knight [T6],58,0,42,11,47,0.724138,0.000000,-0.238596
battle_20260823_021000_mallister_raven_free_field_extension,2026-08-23T02:10:00-03:00,Defeat,Mallister Eagle Knight [T6],58,0,42,14,44,0.724138,0.000000,-0.670085
battle_20260823_021754_mallister_raven_free_field_extension,2026-08-23T02:17:54-03:00,Victory,Mallister Eagle Knight [T6],58,25,88,11,22,1.517241,0.431034,0.586364
battle_20260823_022439_mallister_raven_free_field_extension,2026-08-23T02:24:39-03:00,Victory,Mallister Eagle Knight [T6],49,48,84,0,1,1.714286,0.979592,0.889503
battle_20260823_023305_mallister_raven_free_field_extension,2026-08-23T02:33:05-03:00,Defeat,Mallister Eagle Knight [T6],51,0,31,8,43,0.607843,0.000000,-0.586022
battle_20260823_023849_mallister_raven_free_field_extension,2026-08-23T02:38:49-03:00,Victory,Mallister Eagle Knight [T6],51,36,95,3,12,1.862745,0.705882,0.705165
