display_name,cohort,raven_present,independent_battles,deployed,kills,kills_per_deployed,retention_rate,reliability_status
Mallister Elite Archer [T5],raven_present_reference,true,1,52,61,1.173077,1.000000,insufficient_evidence
Mallister Elite Archer [T5],raven_free_2026-08-22,false,3,129,302,2.341085,0.488372,insufficient_evidence
Mallister Elite Archer [T5],raven_free_extension_2026-08-23,false,6,401,676,1.685786,0.493766,reliable
Mallister Elite Archer [T5],raven_free_combined_projection,false,9,530,978,1.845283,0.492453,reliable
Mallister House Guard [T5],raven_present_reference,true,5,153,179,1.169935,0.934641,reliable
Mallister House Guard [T5],raven_free_2026-08-22,false,4,233,275,1.180258,0.412017,insufficient_evidence
Mallister House Guard [T5],raven_free_extension_2026-08-23,false,6,330,474,1.436364,0.227273,reliable
Mallister House Guard [T5],raven_free_combined_projection,false,10,563,749,1.330373,0.303730,reliable
Mallister Eagle Knight [T6],raven_present_reference,true,5,159,102,0.641509,0.823899,reliable
Mallister Eagle Knight [T6],raven_free_2026-08-22,false,4,234,302,1.290598,0.559829,insufficient_evidence
Mallister Eagle Knight [T6],raven_free_extension_2026-08-23,false,6,325,382,1.175385,0.335385,reliable
Mallister Eagle Knight [T6],raven_free_combined_projection,false,10,559,684,1.223614,0.429338,reliable
