display_name,canonical_troop_id,result,independent_battles,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,verified_player_side_total_kills,player_side_kill_share
Braavosi Footman [T2],,Defeat,1,1,0,1,0,1,1.000000,0.000000,231,0.004329
Broken Man [T1],,Victory,1,1,0,1,0,1,1.000000,0.000000,244,0.004098
Dornish Archer [T3],,Defeat,1,1,0,1,0,1,1.000000,0.000000,231,0.004329
Dornish Bowman [T2],,Victory,1,2,2,2,0,0,1.000000,1.000000,347,0.005764
Dornish Bowman [T2],,Defeat,1,2,0,3,0,2,1.500000,0.000000,231,0.012987
Lannister Longbowman [T5],lannister_longbowman,Victory,1,1,1,5,0,0,5.000000,1.000000,347,0.014409
Lannister Longbowman [T5],lannister_longbowman,Defeat,2,2,0,5,0,2,2.500000,0.000000,627,0.007974
Lannister Officer [T5],lannister_officer,Victory,2,2,1,6,0,1,3.000000,0.500000,622,0.009646
Lannister Officer [T5],lannister_officer,Defeat,2,2,0,6,0,2,3.000000,0.000000,627,0.009569
Mallister Archer [T4],mallister_archer,Victory,1,5,5,9,0,0,1.800000,1.000000,378,0.023810
Mallister Archer [T4],mallister_archer,Defeat,2,10,0,13,3,7,1.300000,0.000000,627,0.020734
Mallister Eagle Knight [T6],mallister_knight,Victory,3,158,109,267,14,35,1.689873,0.689873,969,0.275542
Mallister Eagle Knight [T6],mallister_knight,Defeat,3,167,0,115,33,134,0.688623,0.000000,858,0.134033
Mallister Elite Archer [T5],mallister_elite_archer,Victory,3,201,198,272,0,3,1.353234,0.985075,969,0.280702
Mallister Elite Archer [T5],mallister_elite_archer,Defeat,3,200,0,404,38,162,2.020000,0.000000,858,0.470862
Mallister Footman [T3],mallister_footman,Victory,1,2,1,1,0,1,0.500000,0.500000,347,0.002882
Mallister Footman [T3],mallister_footman,Defeat,2,8,0,2,3,5,0.250000,0.000000,627,0.003190
Mallister Horseman [T4],mallister_rider,Victory,2,10,4,9,3,3,0.900000,0.400000,622,0.014469
Mallister Horseman [T4],mallister_rider,Defeat,2,16,0,3,6,10,0.187500,0.000000,627,0.004785
Mallister House Guard [T5],mallister_houseguard,Victory,3,150,75,283,20,55,1.886667,0.500000,969,0.292054
Mallister House Guard [T5],mallister_houseguard,Defeat,3,180,0,191,32,148,1.061111,0.000000,858,0.222611
Mallister Knight [T5],mallister_horseman,Victory,1,2,2,2,0,0,1.000000,1.000000,244,0.008197
Mallister Levy [T2],mallister_levy,Victory,1,1,0,0,0,1,0.000000,0.000000,378,0.000000
Mallister Levy [T2],mallister_levy,Defeat,2,2,0,2,0,2,1.000000,0.000000,627,0.003190
Mallister Man at Arms [T4],mallister_man_at_arms,Victory,1,4,1,10,1,2,2.500000,0.250000,378,0.026455
Mallister Man at Arms [T4],mallister_man_at_arms,Defeat,2,8,0,12,1,7,1.500000,0.000000,627,0.019139
Riverlands Archer [T3],river_archer,Victory,2,4,4,7,0,0,1.750000,1.000000,591,0.011844
Riverlands Archer [T3],river_archer,Defeat,1,3,0,5,2,1,1.666667,0.000000,231,0.021645
Riverlands Bowman [T2],river_bowman,Victory,1,4,4,7,0,0,1.750000,1.000000,244,0.028689
Riverlands Bowman [T2],river_bowman,Defeat,1,1,0,1,0,1,1.000000,0.000000,231,0.004329
Riverlands Cavalry [T5],river_calvary,Victory,1,1,1,2,0,0,2.000000,1.000000,347,0.005764
Riverlands Cavalry [T5],river_calvary,Defeat,1,1,0,1,1,0,1.000000,0.000000,231,0.004329
Riverlands Elite Archer [T4],river_elite_archer,Victory,1,2,2,1,0,0,0.500000,1.000000,347,0.002882
Riverlands Elite Archer [T4],river_elite_archer,Defeat,1,2,0,8,0,2,4.000000,0.000000,231,0.034632
Riverlands Man at Arms [T4],river_man_at_arms,Victory,1,1,1,1,0,0,1.000000,1.000000,347,0.002882
Riverlands Man at Arms [T4],river_man_at_arms,Defeat,1,1,0,3,0,1,3.000000,0.000000,231,0.012987
Riverlands Soldier [T3],river_soldier,Victory,1,1,1,3,0,0,3.000000,1.000000,244,0.012295
