battle_id,captured_at,cohort,context,result,observation_censoring,player_deployed,player_remaining,allied_retention,opponent_deployed,opponent_remaining,enemy_retention,pressure_margin,metric_status,included_in_final_pressure_summary,source_image_sha256
battle_20260824_165021_field,2026-08-24T16:50:21-03:00,trego_myrish_pentoshi,field,victory,none,277,250,0.902527,408,0,0.000000,0.902527,final,True,246f13e337260cfd5e127e22e7ddccc60d863d6ffa04aa6e81270b0b7d60ad9f
battle_20260824_184901_field,2026-08-24T18:49:01-03:00,trego_myrish_pentoshi,field,victory,none,311,206,0.662379,508,0,0.000000,0.662379,final,True,4fb65b9ab0802c5dbf896258f4651191548eb8fa167dda9ebd4367a8d8b1d4a1
battle_20260824_190713_siege,2026-08-24T19:07:13-03:00,trego_myrish_pentoshi,siege_attack,victory,none,293,196,0.668942,244,0,0.000000,0.668942,final,True,f6d60f724fe08abb21f7efbff3a84dba04a6b92d6f22c617d4c2dcd3ac8b9498
battle_20260824_223126_field,2026-08-24T22:31:26-03:00,trego_myrish_pentoshi,field,victory,none,287,263,0.916376,318,0,0.000000,0.916376,final,True,7dda400a6ca19a11934b8c952564489832e3a9e8ade4d92105d5f9bf9b70ce11
battle_20260824_235901_field,2026-08-24T23:59:01-03:00,trego_myrish_pentoshi,field,victory,none,369,290,0.785908,496,0,0.000000,0.785908,final,True,9aa8fef9e7b05cbba26bda6b8f9ebe73c6d6226b98dbd0a7a205bf05fdd8e919
battle_20260825_000936_siege,2026-08-25T00:09:36-03:00,trego_myrish_pentoshi,siege_attack,victory,none,372,234,0.629032,288,0,0.000000,0.629032,final,True,996b11b8b77f2924f6e2edb6ea1f250784e382d5485130da4a55cf2423de6369
battle_20260825_001915_field,2026-08-25T00:19:15-03:00,trego_myrish_pentoshi,field,victory,none,196,193,0.984694,89,0,0.000000,0.984694,final,True,ee14986267a871c1744b7ad79d3ee0502bc047a486c4aa1970a8dcc032301598
battle_20260825_025228_siege,2026-08-25T02:52:28-03:00,trego_myrish_pentoshi,siege_attack,defeat,none,249,10,0.040161,883,433,0.490374,-0.450213,final,True,ddc99c2eaed8fc59e39889b238d487c19327a44c4b757ac68356791c0913ce9c
battle_20260825_162956_siege,2026-08-25T16:29:56-03:00,trego_myrish_pentoshi,siege_attack,defeat,none,251,0,0.000000,886,433,0.488713,-0.488713,final,True,7b087bf1b13468707736f75e56b7211ab1c6901fb7b47a909f31b4d70ff0ab23
battle_20260825_163450_siege,2026-08-25T16:34:50-03:00,trego_myrish_pentoshi,siege_attack,active,last readable active scoreboard before the fight was stopped; later re-engagements remain separate battles,250,248,0.992000,750,489,0.652000,0.340000,diagnostic_censored_snapshot,False,c3075e797a1e3d3fc85712a253ee965dac4f3ebda6371ca4ae3f9a9f7edf7268
battle_20260825_163914_siege,2026-08-25T16:39:14-03:00,trego_myrish_pentoshi,siege_attack,victory,none,251,83,0.330677,766,0,0.000000,0.330677,final,True,a2f5c7617676406ff040360c48ea5c8abed6e8e307ee4fe6b9028ecf454cde4e
battle_20260825_193711_field,2026-08-25T19:37:11-03:00,trego_myrish_pentoshi,field,victory,none,263,254,0.965779,130,0,0.000000,0.965779,final,True,a46b12b6b636c17ad587e31d7126a31ea1adba3ee578ce07cf27ac033a02ba7e
battle_20260825_195703_field,2026-08-25T19:57:03-03:00,trego_myrish_pentoshi,field,victory,none,233,224,0.961373,175,0,0.000000,0.961373,final,True,ac12b283fd3f4b5e098e092e9d47924135813da76f93aab42ac0259467e9a35f
battle_20260826_193340_field,2026-08-26T19:33:40-03:00,edric_reach_dornish,field,victory,none,493,278,0.563895,940,260,0.276596,0.287299,final,True,45827a49ce16cf5a6da65196411e8783f2b3ab3795dabe85714d8445b912c0d6
battle_20260826_194615_field,2026-08-26T19:46:15-03:00,edric_reach_dornish,field,victory,none,234,232,0.991453,102,0,0.000000,0.991453,final,True,9937c6fcbc60e1c8de29fd6a9aea57cd06b1e77e3e6c49b15d2b8c9dfe1d706c
battle_20260826_195802_field,2026-08-26T19:58:02-03:00,edric_reach_dornish,field,defeat,none,233,0,0.000000,523,172,0.328872,-0.328872,final,True,fe85be94aa144f060e72bb428653b8e91cd6ae2ec3534036b6d5b6936d2f233a
battle_20260826_201649_field,2026-08-26T20:16:49-03:00,edric_reach_dornish,field,defeat,none,233,0,0.000000,523,55,0.105163,-0.105163,final,True,49a2b2ea19bab1f16560571fef670d89b51cfc7d7f6a70f93c02972b3d1e62e6
