battle_id,captured_at,cohort,context,result,player_kills,player_deployed,kill_total_direct_positive,deployment_total_direct_positive,provenance,source_image_sha256
battle_20260824_165021_field,2026-08-24T16:50:21-03:00,trego_myrish_pentoshi,field,victory,408,277,True,True,battle_metadata_and_visible_side_total_exact_match,246f13e337260cfd5e127e22e7ddccc60d863d6ffa04aa6e81270b0b7d60ad9f
battle_20260824_184901_field,2026-08-24T18:49:01-03:00,trego_myrish_pentoshi,field,victory,508,311,True,True,battle_metadata_and_visible_side_total_exact_match,4fb65b9ab0802c5dbf896258f4651191548eb8fa167dda9ebd4367a8d8b1d4a1
battle_20260824_190713_siege,2026-08-24T19:07:13-03:00,trego_myrish_pentoshi,siege_attack,victory,244,293,True,True,battle_metadata_and_visible_side_total_exact_match,f6d60f724fe08abb21f7efbff3a84dba04a6b92d6f22c617d4c2dcd3ac8b9498
battle_20260824_223126_field,2026-08-24T22:31:26-03:00,trego_myrish_pentoshi,field,victory,318,287,True,True,battle_metadata_and_visible_side_total_exact_match,7dda400a6ca19a11934b8c952564489832e3a9e8ade4d92105d5f9bf9b70ce11
battle_20260824_235901_field,2026-08-24T23:59:01-03:00,trego_myrish_pentoshi,field,victory,496,369,True,True,battle_metadata_and_visible_side_total_exact_match,9aa8fef9e7b05cbba26bda6b8f9ebe73c6d6226b98dbd0a7a205bf05fdd8e919
battle_20260825_000936_siege,2026-08-25T00:09:36-03:00,trego_myrish_pentoshi,siege_attack,victory,288,372,True,True,battle_metadata_and_visible_side_total_exact_match,996b11b8b77f2924f6e2edb6ea1f250784e382d5485130da4a55cf2423de6369
battle_20260825_001915_field,2026-08-25T00:19:15-03:00,trego_myrish_pentoshi,field,victory,89,196,True,True,battle_metadata_and_visible_side_total_exact_match,ee14986267a871c1744b7ad79d3ee0502bc047a486c4aa1970a8dcc032301598
battle_20260825_025228_siege,2026-08-25T02:52:28-03:00,trego_myrish_pentoshi,siege_attack,defeat,449,249,True,True,battle_metadata_and_visible_side_total_exact_match,ddc99c2eaed8fc59e39889b238d487c19327a44c4b757ac68356791c0913ce9c
battle_20260825_162956_siege,2026-08-25T16:29:56-03:00,trego_myrish_pentoshi,siege_attack,defeat,450,251,True,True,battle_metadata_and_visible_side_total_exact_match,7b087bf1b13468707736f75e56b7211ab1c6901fb7b47a909f31b4d70ff0ab23
battle_20260825_163450_siege,2026-08-25T16:34:50-03:00,trego_myrish_pentoshi,siege_attack,active,261,250,True,True,battle_metadata_and_visible_side_total_exact_match,c3075e797a1e3d3fc85712a253ee965dac4f3ebda6371ca4ae3f9a9f7edf7268
battle_20260825_163914_siege,2026-08-25T16:39:14-03:00,trego_myrish_pentoshi,siege_attack,victory,769,251,True,True,battle_metadata_and_visible_side_total_exact_match,a2f5c7617676406ff040360c48ea5c8abed6e8e307ee4fe6b9028ecf454cde4e
battle_20260825_193711_field,2026-08-25T19:37:11-03:00,trego_myrish_pentoshi,field,victory,130,263,True,True,battle_metadata_and_visible_side_total_exact_match,a46b12b6b636c17ad587e31d7126a31ea1adba3ee578ce07cf27ac033a02ba7e
battle_20260825_195703_field,2026-08-25T19:57:03-03:00,trego_myrish_pentoshi,field,victory,175,233,True,True,battle_metadata_and_visible_side_total_exact_match,ac12b283fd3f4b5e098e092e9d47924135813da76f93aab42ac0259467e9a35f
battle_20260826_193340_field,2026-08-26T19:33:40-03:00,edric_reach_dornish,field,victory,681,493,True,True,battle_metadata_and_visible_side_total_exact_match,45827a49ce16cf5a6da65196411e8783f2b3ab3795dabe85714d8445b912c0d6
battle_20260826_194615_field,2026-08-26T19:46:15-03:00,edric_reach_dornish,field,victory,102,234,True,True,battle_metadata_and_visible_side_total_exact_match,9937c6fcbc60e1c8de29fd6a9aea57cd06b1e77e3e6c49b15d2b8c9dfe1d706c
battle_20260826_195802_field,2026-08-26T19:58:02-03:00,edric_reach_dornish,field,defeat,351,233,True,True,battle_metadata_and_visible_side_total_exact_match,fe85be94aa144f060e72bb428653b8e91cd6ae2ec3534036b6d5b6936d2f233a
battle_20260826_201649_field,2026-08-26T20:16:49-03:00,edric_reach_dornish,field,defeat,468,233,True,True,battle_metadata_and_visible_side_total_exact_match,49a2b2ea19bab1f16560571fef670d89b51cfc7d7f6a70f93c02972b3d1e62e6
battle_20260826_203353_field,2026-08-26T20:33:53-03:00,edric_reach_dornish,field,victory,432,233,True,True,battle_metadata_and_visible_side_total_exact_match,32419ce47d64ddf1bb7721fe2dbced7faf8fa526dde5a0b5258008bdc0ba618d
battle_20260826_205607_field,2026-08-26T20:56:07-03:00,edric_reach_dornish,field,victory,127,118,True,True,battle_metadata_and_visible_side_total_exact_match,2a02710c9776fe93d4bdc96cd1053b20682bc57cd220ecf361dbed9046e2524e
battle_20260826_205839_field,2026-08-26T20:58:39-03:00,edric_reach_dornish,field,victory,68,115,True,True,battle_metadata_and_visible_side_total_exact_match,513e72b325f0fd720a916086a067f250090b86259ff213cbc28600b7e1b2dbff
battle_20260826_210019_field,2026-08-26T21:00:19-03:00,edric_reach_dornish,field,victory,54,117,True,True,battle_metadata_and_visible_side_total_exact_match,fe1632827bc5c671079fd5498a827cdf1d369ec21055323afc46d957bfb6ca1a
battle_20260826_214746_field,2026-08-26T21:47:46-03:00,edric_reach_dornish,field,victory,148,213,True,True,battle_metadata_and_visible_side_total_exact_match,1b9c8465aed605e20e68b0b1147dec2abadbb2873d649197819e2530ffc525e6
battle_20260826_215609_field,2026-08-26T21:56:09-03:00,edric_reach_dornish,field,victory,274,235,True,True,battle_metadata_and_visible_side_total_exact_match,ddde5d632b0ea5ce3ab48eb5186d2cc2e87f56158c0b4a8ada41ecac9c6adf6f
battle_20260826_220429_field,2026-08-26T22:04:29-03:00,edric_reach_dornish,field,victory,212,198,True,True,battle_metadata_and_visible_side_total_exact_match,2eebde195e3e3e0f67dc8d6143ac15896a2ad96cb192346f9ca52c62c504fe17
battle_20260826_221116_field,2026-08-26T22:11:16-03:00,edric_reach_dornish,field,victory,270,256,True,True,battle_metadata_and_visible_side_total_exact_match,6bf4cff3378b868e04a680ae392a27debb1350ef9defcd659fa75eef7f99c67e
battle_20260826_222527_field,2026-08-26T22:25:27-03:00,edric_reach_dornish,field,victory,410,260,True,True,battle_metadata_and_visible_side_total_exact_match,a7e99bdc00ef30f65aa7191b9f2381689c42500caf9354d1a6965ecce4b04dc0
battle_20260826_230153_field,2026-08-26T23:01:53-03:00,edric_reach_dornish,field,victory,775,299,True,True,battle_metadata_and_visible_side_total_exact_match,f5c972493c259965d15cd70333b61dd0fa0fdeba0a14d441b97529c60ef3b5ce
battle_20260826_230935_field,2026-08-26T23:09:35-03:00,edric_reach_dornish,field,victory,128,129,True,True,battle_metadata_and_visible_side_total_exact_match,a52027c0527e930fd273549833f3a05dc27ad09844e60c779fe7a7db8279c44f
battle_20260827_235142_field,2026-08-27T23:51:42-03:00,edric_reach_dornish,field,active,520,250,True,True,battle_metadata_and_visible_side_total_exact_match,2247c52dcfc293b12415c93b41a52fcaf8139468b812ca35cc9837c9d1caaa6f
