display_name,canonical_troop_id,battle_id,captured_at,cohort,context,result,censoring_status,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,player_side_kills,player_side_deployed
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260824_190713_siege,2026-08-24T19:07:13-03:00,trego_myrish_pentoshi,siege_attack,victory,final,13,6,13,0,7,1.000000,0.461538,244,293
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260824_235901_field,2026-08-24T23:59:01-03:00,trego_myrish_pentoshi,field,victory,final,7,5,6,0,2,0.857143,0.714286,496,369
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_000936_siege,2026-08-25T00:09:36-03:00,trego_myrish_pentoshi,siege_attack,victory,final,17,13,12,2,2,0.705882,0.764706,288,372
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_001915_field,2026-08-25T00:19:15-03:00,trego_myrish_pentoshi,field,victory,final,32,31,6,1,0,0.187500,0.968750,89,196
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_025228_siege,2026-08-25T02:52:28-03:00,trego_myrish_pentoshi,siege_attack,defeat,final,26,0,21,5,21,0.807692,0.000000,449,249
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_162956_siege,2026-08-25T16:29:56-03:00,trego_myrish_pentoshi,siege_attack,defeat,final,26,0,9,8,18,0.346154,0.000000,450,251
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_163450_siege,2026-08-25T16:34:50-03:00,trego_myrish_pentoshi,siege_attack,active,censored_diagnostic,26,26,4,0,0,0.153846,1.000000,261,250
Pentoshi Soldier [T3],pentoshi_soldier,battle_20260825_163914_siege,2026-08-25T16:39:14-03:00,trego_myrish_pentoshi,siege_attack,victory,final,26,8,74,5,13,2.846154,0.307692,769,251
Myrish Artisan of War [T6],myrish_artisan,battle_20260824_165021_field,2026-08-24T16:50:21-03:00,trego_myrish_pentoshi,field,victory,final,25,25,72,0,0,2.880000,1.000000,408,277
Myrish Artisan of War [T6],myrish_artisan,battle_20260824_184901_field,2026-08-24T18:49:01-03:00,trego_myrish_pentoshi,field,victory,final,37,30,99,2,5,2.675676,0.810811,508,311
Myrish Artisan of War [T6],myrish_artisan,battle_20260824_190713_siege,2026-08-24T19:07:13-03:00,trego_myrish_pentoshi,siege_attack,victory,final,52,41,35,0,11,0.673077,0.788462,244,293
Myrish Artisan of War [T6],myrish_artisan,battle_20260824_223126_field,2026-08-24T22:31:26-03:00,trego_myrish_pentoshi,field,victory,final,36,34,73,0,2,2.027778,0.944444,318,287
