track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,1,5,Martell House Guard [T5],martell_houseguard,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,3,3,13,0,0,0,4.333333,,,520,1,True,0.025000,0.108333,250,1,True,0.012000,2.083333,0.013000,1.000000,0.000000,0.000000,0,0,1,insufficient_evidence,4,17
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,2,7,Martell Bowman [T3],martell_bowman,confirmed_id,Ranged,ranged,2,not_published_current_methodology_keeps_offense_and_defense_independent,1,4,3,15,0,1,0,3.750000,,,775,1,True,0.019355,0.072581,299,1,True,0.013378,1.446774,0.005977,0.750000,0.000000,0.250000,1,0,0,insufficient_evidence,4,16
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,3,19,Tyrell Elite Longbowman [T5],tyrell_longbowman,confirmed_id,Ranged,ranged,2,not_published_current_methodology_keeps_offense_and_defense_independent,2,2,2,7,0,0,0,3.500000,,,648,2,True,0.010802,0.037809,379,2,True,0.005277,2.047068,0.005525,1.000000,0.000000,0.000000,1,0,1,insufficient_evidence,3,18
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,4,13,Reach Axeman [T5],reach_axeman,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,4,7,5,21,0,2,0,3.000000,,,1271,4,True,0.016522,0.049567,958,4,True,0.007307,2.261212,0.009216,0.714286,0.000000,0.285714,3,1,0,insufficient_evidence,1,13
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,5,30,Reach Man at Arms [T4],reach_hacker,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,3,0,0,0,3.000000,,,432,1,True,0.006944,0.020833,233,1,True,0.004292,1.618056,0.002653,1.000000,0.000000,0.000000,1,0,0,insufficient_evidence,4,19
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,6,33,Tarly Vanguard [T6],tarly_vanguard,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,0,5,0,2,0,2.500000,,,775,1,True,0.006452,0.016129,299,1,True,0.006689,0.964516,-0.000237,0.000000,0.000000,1.000000,1,0,0,insufficient_evidence,4,18
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,7,2,Dayne Veteran Archer [T5],dayne_veteran_archer,confirmed_id,Ranged,ranged,2,not_published_current_methodology_keeps_offense_and_defense_independent,4,95,35,226,17,43,0,2.378947,,,1353,4,True,0.167036,0.397370,933,4,True,0.101822,1.640471,0.065214,0.368421,0.178947,0.631579,2,2,0,insufficient_evidence,1,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,8,21,Dornish Elite Spearman [T4],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,3,8,3,19,0,5,0,2.375000,,,1261,3,True,0.015067,0.035785,732,3,True,0.010929,1.378668,0.004138,0.375000,0.000000,0.625000,3,0,0,insufficient_evidence,2,12
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,9,26,Martell Footman [T3],martell_footman,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,4,0,9,0,4,0,2.250000,,,775,1,True,0.011613,0.026129,299,1,True,0.013378,0.868065,-0.001765,0.000000,0.000000,1.000000,1,0,0,insufficient_evidence,4,16
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,10,22,Reach Elite Archer [T4],reach_elite_archer,confirmed_id,Ranged,ranged,2,not_published_current_methodology_keeps_offense_and_defense_independent,4,13,3,29,2,8,0,2.230769,,,1932,4,True,0.015010,0.033485,1192,4,True,0.010906,1.376334,0.004104,0.230769,0.153846,0.769231,2,2,0,insufficient_evidence,1,7
