track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,1,9,Reach Flower Knight [T6],reach_flower_knight,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,11,33,14,72,7,12,0,2.181818,1.718750,2.612903,3578,11,True,0.020123,0.043905,2359,11,True,0.013989,1.438488,0.006134,0.424242,0.212121,0.575758,8,2,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,2,1,Dornish Master Archer [T5],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,14,453,423,971,8,22,0,2.143488,1.143631,3.081466,4237,14,True,0.229172,0.491227,2889,14,True,0.156802,1.461538,0.072370,0.933775,0.017660,0.066225,11,2,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,3,4,Dornish Elite Archer [T4],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,12,61,54,125,1,6,0,2.049180,1.309091,2.893617,3654,12,True,0.034209,0.070101,2532,12,True,0.024092,1.419957,0.010117,0.885246,0.016393,0.114754,9,2,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,4,11,Reach Archer [T3],reach_archer,confirmed_id,Ranged,ranged,2,not_published_current_methodology_keeps_offense_and_defense_independent,5,20,10,34,0,10,0,1.700000,1.294118,2.142857,2059,5,True,0.016513,0.028072,1310,5,True,0.015267,1.081593,0.001246,0.500000,0.000000,0.500000,3,2,0,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,5,2,Knights of Starfall [T6],dayne_starfall_knights,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,16,664,471,1116,27,166,0,1.680723,1.268336,2.279732,5020,16,True,0.222311,0.373643,3616,16,True,0.183628,1.210656,0.038682,0.709337,0.040663,0.290663,13,2,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,6,8,Dornish Viper [T6],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,6,46,31,72,2,13,0,1.565217,0.655172,2.583333,2335,6,True,0.030835,0.048264,1476,6,True,0.031165,0.989405,-0.000330,0.673913,0.043478,0.326087,5,0,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,7,3,Dornish Sidewinder [T5],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,6,81,59,118,4,18,0,1.456790,1.018182,1.766990,2315,6,True,0.050972,0.074255,1392,6,True,0.058190,0.875962,-0.007218,0.728395,0.049383,0.271605,5,0,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,8,10,Dayne Knight [T5],dayne_knight,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,10,86,33,100,14,39,0,1.162791,0.614458,1.683333,2705,10,True,0.036969,0.042987,2224,10,True,0.038669,0.956025,-0.001700,0.383721,0.162791,0.616279,8,2,0,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,9,5,Dayne Pikeman [T5],dayne_veteran_pikeman,confirmed_id,Infantry,frontline_infantry,3,not_published_current_methodology_keeps_offense_and_defense_independent,10,152,123,172,5,24,0,1.131579,0.556701,1.786164,2858,10,True,0.060182,0.068101,2061,10,True,0.073751,0.816020,-0.013569,0.809211,0.032895,0.190789,9,0,1,reliable,0,0
realm_of_thrones,1.4.x,edric_reach_dornish,field,player_party,Edric Dayne's Party,10,6,Reaver [T4],,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,10,179,131,181,10,38,0,1.011173,0.608696,1.565000,2858,10,True,0.063331,0.064039,2061,10,True,0.086851,0.729191,-0.023520,0.731844,0.055866,0.268156,9,0,1,reliable,0,0
