cohort,context,participant_scope,parent_group,display_name,canonical_troop_id,result,censoring_status,independent_battles,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,verified_player_side_total_kills,player_side_kill_share,verified_player_side_total_deployed,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap
edric_reach_dornish,field,player_party,Edric Dayne's Party,Braavosi Footman [T2],,victory,final,1,5,5,2,0,0,0.400000,1.000000,270,0.007407,256,0.019531,0.379259,-0.012124
edric_reach_dornish,field,player_party,Edric Dayne's Party,Broken Archer [T1],,victory,final,1,4,4,3,0,0,0.750000,1.000000,128,0.023438,129,0.031008,0.755859,-0.007570
edric_reach_dornish,field,player_party,Edric Dayne's Party,Broken Man [T1],,victory,final,2,12,8,5,2,2,0.416667,0.666667,398,0.012563,385,0.031169,0.403057,-0.018606
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Archer [T4],dayne_archer,victory,final,2,38,37,36,0,1,0.947368,0.973684,783,0.045977,727,0.052270,0.879613,-0.006293
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Archer [T4],dayne_archer,defeat,final,2,72,0,178,21,51,2.472222,0.000000,819,0.217338,466,0.154506,1.406661,0.062832
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Footman [T3],dayne_man_at_arms,victory,final,4,194,147,127,11,36,0.654639,0.757732,1363,0.093177,1173,0.165388,0.563384,-0.072211
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Footman [T3],dayne_man_at_arms,defeat,final,2,94,0,55,26,68,0.585106,0.000000,819,0.067155,466,0.201717,0.332918,-0.134562
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Horseman [T4],dayne_horseman,victory,final,5,72,41,43,9,22,0.597222,0.569444,1410,0.030496,1193,0.060352,0.505309,-0.029856
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Horseman [T4],dayne_horseman,defeat,final,2,26,0,26,7,19,1.000000,0.000000,819,0.031746,466,0.055794,0.568987,-0.024048
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Knight [T5],dayne_knight,victory,final,8,60,33,64,4,23,1.066667,0.550000,1886,0.033934,1758,0.034130,0.994274,-0.000195
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Knight [T5],dayne_knight,defeat,final,2,26,0,36,10,16,1.384615,0.000000,819,0.043956,466,0.055794,0.787828,-0.011838
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Levy [T2],dayne_levy,victory,final,3,77,73,24,2,2,0.311688,0.948052,1215,0.019753,960,0.080208,0.246272,-0.060455
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Levy [T2],dayne_levy,defeat,final,2,42,0,24,7,35,0.571429,0.000000,819,0.029304,466,0.090129,0.325135,-0.060825
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Man at Arms [T4],dayne_pikeman,victory,final,7,16,16,24,0,0,1.500000,1.000000,985,0.024365,1230,0.013008,1.873096,0.011357
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Pikeman [T5],dayne_veteran_pikeman,victory,final,9,144,116,141,5,23,0.979167,0.805556,2338,0.060308,1811,0.079514,0.758456,-0.019206
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Pikeman [T5],dayne_veteran_pikeman,active,censored_diagnostic,1,8,7,31,0,1,3.875000,0.875000,520,0.059615,250,0.032000,1.862981,0.027615
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Veteran Archer [T5],dayne_veteran_archer,victory,final,2,41,35,77,2,4,1.878049,0.853659,534,0.144195,467,0.087794,1.642413,0.056400
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dayne Veteran Archer [T5],dayne_veteran_archer,defeat,final,2,54,0,149,15,39,2.759259,0.000000,819,0.181929,466,0.115880,1.569981,0.066049
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Archer [T3],,victory,final,4,14,13,15,1,0,1.071429,0.928571,1693,0.008860,965,0.014508,0.610708,-0.005648
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Bowman [T2],,victory,final,1,1,1,0,0,0,0.000000,1.000000,68,0.000000,115,0.008696,0.000000,-0.008696
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Elite Archer [T4],,victory,final,9,47,46,86,0,1,1.829787,0.978723,2315,0.037149,1816,0.025881,1.435375,0.011268
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Elite Archer [T4],,defeat,final,2,6,0,22,1,5,3.666667,0.000000,819,0.026862,466,0.012876,2.086284,0.013986
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Elite Archer [T4],,active,censored_diagnostic,1,8,8,17,0,0,2.125000,1.000000,520,0.032692,250,0.032000,1.021635,0.000692
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Elite Spearman [T4],,victory,final,3,8,3,19,0,5,2.375000,0.375000,1261,0.015067,732,0.010929,1.378668,0.004138
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Horse Archer [T4],,victory,final,2,9,9,7,0,0,0.777778,1.000000,398,0.017588,385,0.023377,0.752373,-0.005789
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Horse Archer [T4],,defeat,final,1,2,0,5,1,1,2.500000,0.000000,351,0.014245,233,0.008584,1.659544,0.005661
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Horse Archer [T4],,active,censored_diagnostic,1,6,5,7,0,1,1.166667,0.833333,520,0.013462,250,0.024000,0.560897,-0.010538
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Horseman [T4],,victory,final,2,4,3,4,0,1,1.000000,0.750000,482,0.008299,454,0.008811,0.941909,-0.000512
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Master Archer [T5],,victory,final,11,372,348,742,4,20,1.994624,0.935484,2898,0.256039,2173,0.171192,1.495624,0.084847
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Master Archer [T5],,defeat,final,2,6,0,25,4,2,4.166667,0.000000,819,0.030525,466,0.012876,2.370777,0.017649
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Master Archer [T5],,active,censored_diagnostic,1,75,75,204,0,0,2.720000,1.000000,520,0.392308,250,0.300000,1.307692,0.092308
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Sidewinder [T5],,victory,final,5,65,43,97,4,18,1.492308,0.661538,1795,0.054039,1142,0.056918,0.949424,-0.002879
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Sidewinder [T5],,active,censored_diagnostic,1,16,16,21,0,0,1.312500,1.000000,520,0.040385,250,0.064000,0.631010,-0.023615
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Spearmaster [T5],,victory,final,4,14,14,25,0,0,1.785714,1.000000,884,0.028281,818,0.017115,1.652392,0.011166
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Viper [T6],,victory,final,5,43,28,64,2,13,1.488372,0.651163,1815,0.035262,1226,0.035073,1.005369,0.000188
edric_reach_dornish,field,player_party,Edric Dayne's Party,Dornish Viper [T6],,active,censored_diagnostic,1,3,3,8,0,0,2.666667,1.000000,520,0.015385,250,0.012000,1.282051,0.003385
edric_reach_dornish,field,player_party,Edric Dayne's Party,Hightower Crossbowman [T4],hightower_crossbowman,victory,final,1,2,2,2,0,0,1.000000,1.000000,274,0.007299,235,0.008511,0.857664,-0.001211
edric_reach_dornish,field,player_party,Edric Dayne's Party,Hightower Marksmen [T5],hightower_marksman,victory,final,3,15,10,32,1,4,2.133333,0.666667,1459,0.021933,794,0.018892,1.160978,0.003041
edric_reach_dornish,field,player_party,Edric Dayne's Party,Hightower Marksmen [T5],hightower_marksman,active,censored_diagnostic,1,7,7,5,0,0,0.714286,1.000000,520,0.009615,250,0.028000,0.343407,-0.018385
