source_filename,source_sha256,size,extension,supported_image,width,height,capture_identity,exact_duplicate_of,visual_duplicate_candidate_of,historical_duplicate_of,historical_candidate_of,historical_match_type,deduplication_status,source_timestamp
Armoury Crate SE 24_08_2026 23_59_01.png,9aa8fef9e7b05cbba26bda6b8f9ebe73c6d6226b98dbd0a7a205bf05fdd8e919,2242705,.png,True,1280,720,2026-08-24T23:59:01,,,,,,pending,2026-08-24T23:59:00
Mount and Blade II Bannerlord - Singleplayer PID_ 11032 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 00_09_36.png,996b11b8b77f2924f6e2edb6ea1f250784e382d5485130da4a55cf2423de6369,1783173,.png,True,1280,720,2026-08-25T00:09:36,,,,,,pending,2026-08-25T00:09:36
Mount and Blade II Bannerlord - Singleplayer PID_ 11032 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 00_19_15.png,ee14986267a871c1744b7ad79d3ee0502bc047a486c4aa1970a8dcc032301598,1871502,.png,True,1280,720,2026-08-25T00:19:15,,,,,,pending,2026-08-25T00:19:14
Mount and Blade II Bannerlord - Singleplayer PID_ 11040 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 18_49_01.png,4fb65b9ab0802c5dbf896258f4651191548eb8fa167dda9ebd4367a8d8b1d4a1,1482939,.png,True,1280,720,2026-08-24T18:49:01,,,,,,pending,2026-08-24T18:49:02
Mount and Blade II Bannerlord - Singleplayer PID_ 11040 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 19_07_13.png,f6d60f724fe08abb21f7efbff3a84dba04a6b92d6f22c617d4c2dcd3ac8b9498,1798982,.png,True,1280,720,2026-08-24T19:07:13,,,,,,pending,2026-08-24T19:07:12
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 02_52_28.png,ddc99c2eaed8fc59e39889b238d487c19327a44c4b757ac68356791c0913ce9c,2456602,.png,True,1280,720,2026-08-25T02:52:28,,,,,,pending,2026-08-25T02:52:28
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_29_56.png,7b087bf1b13468707736f75e56b7211ab1c6901fb7b47a909f31b4d70ff0ab23,2323440,.png,True,1280,720,2026-08-25T16:29:56,,,,,,pending,2026-08-25T16:29:56
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_34_50.png,c3075e797a1e3d3fc85712a253ee965dac4f3ebda6371ca4ae3f9a9f7edf7268,2252076,.png,True,1280,720,2026-08-25T16:34:50,,,,,,pending,2026-08-25T16:34:50
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_39_14.png,a2f5c7617676406ff040360c48ea5c8abed6e8e307ee4fe6b9028ecf454cde4e,2076060,.png,True,1280,720,2026-08-25T16:39:14,,,,,,pending,2026-08-25T16:39:14
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 19_33_40.png,45827a49ce16cf5a6da65196411e8783f2b3ab3795dabe85714d8445b912c0d6,2536719,.png,True,1280,720,2026-08-26T19:33:40,,,,,,pending,2026-08-26T19:33:40
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 19_46_15.png,9937c6fcbc60e1c8de29fd6a9aea57cd06b1e77e3e6c49b15d2b8c9dfe1d706c,2294330,.png,True,1280,720,2026-08-26T19:46:15,,,,,,pending,2026-08-26T19:46:14
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 19_58_02.png,fe85be94aa144f060e72bb428653b8e91cd6ae2ec3534036b6d5b6936d2f233a,2056566,.png,True,1280,720,2026-08-26T19:58:02,,,,,,pending,2026-08-26T19:58:02
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 20_16_49.png,49a2b2ea19bab1f16560571fef670d89b51cfc7d7f6a70f93c02972b3d1e62e6,1984836,.png,True,1280,720,2026-08-26T20:16:49,,,,,,pending,2026-08-26T20:16:48
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 20_33_53.png,32419ce47d64ddf1bb7721fe2dbced7faf8fa526dde5a0b5258008bdc0ba618d,2082379,.png,True,1280,720,2026-08-26T20:33:53,,,,,,pending,2026-08-26T20:33:52
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 20_56_07.png,2a02710c9776fe93d4bdc96cd1053b20682bc57cd220ecf361dbed9046e2524e,2011047,.png,True,1280,720,2026-08-26T20:56:07,,,,,,pending,2026-08-26T20:56:06
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 20_58_39.png,513e72b325f0fd720a916086a067f250090b86259ff213cbc28600b7e1b2dbff,2052080,.png,True,1280,720,2026-08-26T20:58:39,,,,,,pending,2026-08-26T20:58:40
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 21_00_19.png,fe1632827bc5c671079fd5498a827cdf1d369ec21055323afc46d957bfb6ca1a,2259666,.png,True,1280,720,2026-08-26T21:00:19,,,,,,pending,2026-08-26T21:00:18
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 21_47_46.png,1b9c8465aed605e20e68b0b1147dec2abadbb2873d649197819e2530ffc525e6,1596485,.png,True,1280,720,2026-08-26T21:47:46,,,,,,pending,2026-08-26T21:47:46
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 21_56_09.png,ddde5d632b0ea5ce3ab48eb5186d2cc2e87f56158c0b4a8ada41ecac9c6adf6f,1704475,.png,True,1280,720,2026-08-26T21:56:09,,,,,,pending,2026-08-26T21:56:08
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 22_04_29.png,2eebde195e3e3e0f67dc8d6143ac15896a2ad96cb192346f9ca52c62c504fe17,1619557,.png,True,1280,720,2026-08-26T22:04:29,,,,,,pending,2026-08-26T22:04:28
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 22_11_16.png,6bf4cff3378b868e04a680ae392a27debb1350ef9defcd659fa75eef7f99c67e,1595000,.png,True,1280,720,2026-08-26T22:11:16,,,,,,pending,2026-08-26T22:11:16
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 22_25_27.png,a7e99bdc00ef30f65aa7191b9f2381689c42500caf9354d1a6965ecce4b04dc0,1638570,.png,True,1280,720,2026-08-26T22:25:27,,,,,,pending,2026-08-26T22:25:26
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 23_01_53.png,f5c972493c259965d15cd70333b61dd0fa0fdeba0a14d441b97529c60ef3b5ce,2321643,.png,True,1280,720,2026-08-26T23:01:53,,,,,,pending,2026-08-26T23:01:52
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 23_09_35.png,a52027c0527e930fd273549833f3a05dc27ad09844e60c779fe7a7db8279c44f,2276373,.png,True,1280,720,2026-08-26T23:09:35,,,,,,pending,2026-08-26T23:09:34
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 27_08_2026 23_51_42.png,2247c52dcfc293b12415c93b41a52fcaf8139468b812ca35cc9837c9d1caaa6f,1637200,.png,True,1280,720,2026-08-27T23:51:42,,,,,,pending,2026-08-27T23:51:42
Mount and Blade II Bannerlord - Singleplayer PID_ 2540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 16_50_21.png,246f13e337260cfd5e127e22e7ddccc60d863d6ffa04aa6e81270b0b7d60ad9f,1712446,.png,True,1280,720,2026-08-24T16:50:21,,,,,,pending,2026-08-24T16:50:20
Mount and Blade II Bannerlord - Singleplayer PID_ 28728 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 22_31_26.png,7dda400a6ca19a11934b8c952564489832e3a9e8ade4d92105d5f9bf9b70ce11,2443308,.png,True,1280,720,2026-08-24T22:31:26,,,,,,pending,2026-08-24T22:31:26
Mount and Blade II Bannerlord - Singleplayer PID_ 4540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 19_37_11.png,a46b12b6b636c17ad587e31d7126a31ea1adba3ee578ce07cf27ac033a02ba7e,1592080,.png,True,1280,720,2026-08-25T19:37:11,,,,,,pending,2026-08-25T19:37:10
Mount and Blade II Bannerlord - Singleplayer PID_ 4540 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 19_57_03.png,ac12b283fd3f4b5e098e092e9d47924135813da76f93aab42ac0259467e9a35f,2080175,.png,True,1280,720,2026-08-25T19:57:03,,,,,,pending,2026-08-25T19:57:02
