candidate_image,candidate_sha256,representative_or_prior_batch,decision,same_battle_status,battle_id,visual_reason
Armoury Crate SE 24_08_2026 23_59_01.png,9aa8fef9e7b05cbba26bda6b8f9ebe73c6d6226b98dbd0a7a205bf05fdd8e919,,accepted_new,independent,battle_20260824_235901_field,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 11032 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 00_09_36.png,996b11b8b77f2924f6e2edb6ea1f250784e382d5485130da4a55cf2423de6369,,accepted_new,independent,battle_20260825_000936_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 11032 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 00_19_15.png,ee14986267a871c1744b7ad79d3ee0502bc047a486c4aa1970a8dcc032301598,,accepted_new,independent,battle_20260825_001915_field,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 11040 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 18_49_01.png,4fb65b9ab0802c5dbf896258f4651191548eb8fa167dda9ebd4367a8d8b1d4a1,,accepted_new,independent,battle_20260824_184901_field,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 11040 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 24_08_2026 19_07_13.png,f6d60f724fe08abb21f7efbff3a84dba04a6b92d6f22c617d4c2dcd3ac8b9498,,accepted_new,independent,battle_20260824_190713_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 02_52_28.png,ddc99c2eaed8fc59e39889b238d487c19327a44c4b757ac68356791c0913ce9c,,accepted_new,independent,battle_20260825_025228_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_29_56.png,7b087bf1b13468707736f75e56b7211ab1c6901fb7b47a909f31b4d70ff0ab23,,accepted_new,independent,battle_20260825_162956_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_34_50.png,c3075e797a1e3d3fc85712a253ee965dac4f3ebda6371ca4ae3f9a9f7edf7268,,accepted_new,independent,battle_20260825_163450_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 17004 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 25_08_2026 16_39_14.png,a2f5c7617676406ff040360c48ea5c8abed6e8e307ee4fe6b9028ecf454cde4e,,accepted_new,independent,battle_20260825_163914_siege,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
Mount and Blade II Bannerlord - Singleplayer PID_ 2160 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 26_08_2026 19_33_40.png,45827a49ce16cf5a6da65196411e8783f2b3ab3795dabe85714d8445b912c0d6,,accepted_new,independent,battle_20260826_193340_field,"distinct scoreboard totals, parties, timer, and capture identity; no committed exact-hash or capture-identity match"
