display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256,audit_commit
Braavosi Footman [T2],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Braavosi Soldier [T3],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Broken Archer [T1],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Broken Man [T1],,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact tier-stripped display-name match in versioned audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Archer [T4],,dayne_archer,confirmed_id,Ranged,ranged,21.0,1,dayne_archer,exact tier-stripped display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Footman [T3],,dayne_man_at_arms,confirmed_id,Infantry,frontline_infantry,16.0,1,dayne_man_at_arms,exact tier-stripped display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Horseman [T4],,dayne_horseman,confirmed_id,Cavalry,melee_cavalry,21.0,1,dayne_horseman,exact tier-stripped display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Knight [T5],,dayne_knight,confirmed_id,Cavalry,melee_cavalry,26.0,1,dayne_knight,exact tier-stripped display-name match,,10,10,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Levy [T2],,dayne_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,dayne_levy,exact tier-stripped display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Man at Arms [T4],,dayne_pikeman,confirmed_id,Infantry,frontline_infantry,21.0,1,dayne_pikeman,exact tier-stripped display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
Dayne Pikeman [T5],,dayne_veteran_pikeman,confirmed_id,Infantry,frontline_infantry,26.0,1,dayne_veteran_pikeman,exact tier-stripped display-name match,,10,10,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810,fb8cf889330f9fe570189c081e5dd23fe078837b
