battle_id,captured_at,cohort,context,result,battle_state,player_deployed,player_remaining,allied_retention,opponent_deployed,opponent_remaining,enemy_retention,pressure_margin,metric_status,included_in_final_pressure_summary,source_image_sha256
battle_wh01,2026-08-29T01:55:59,white_harbor,field,victory,final,156,148,0.948718,144,0,0.000000,0.948718,final,True,cd56c0ef4fe2471d70be23e7b89f0775cff8c16628765fa50981b2e180a560e7
battle_wh02,2026-08-29T02:08:07,white_harbor,field,victory,final,158,136,0.860759,127,0,0.000000,0.860759,final,True,e661b4c0663af768a86176969dcc7280f578a7876e6a0c33bbab4b6e9e9e2247
battle_wh03,2026-08-30T01:51:02,white_harbor,field,victory,final,192,192,1.000000,104,0,0.000000,1.000000,final,True,4e291ef0a0a3ee69a53474bbfaacdf0141a783ce0971e7ddef368e588b9e1bcb
battle_wh04,2026-08-30T01:56:55,white_harbor,field,victory,final,193,169,0.875648,168,0,0.000000,0.875648,final,True,ba83ca526a1394d4d2de494ee76e22b545614df3090fca324ccd284869d0f40c
battle_wh05,2026-08-30T02:05:38,white_harbor,field,victory,final,236,223,0.944915,182,1,0.005495,0.939421,final,True,3a33e13e543e8f5b17c0eeb0d910a11b420cd96ddb85c0a060571f5861b4ce2c
battle_wh06,2026-08-30T02:13:17,white_harbor,field,victory,final,255,101,0.396078,,0,,,diagnostic_censored_or_missing_denominator,False,f3485a47dd5b222bd615f06c93318f9527d3172d63c3adddd587a12cfa989ab5
battle_wh07,2026-08-30T02:18:00,white_harbor,field,victory,final,240,134,0.558333,282,0,0.000000,0.558333,final,True,0ff3d0648f38d526c4cd10449f2e05227e407b03d90aa78ca554805bf7398b4b
battle_wh08,2026-08-30T02:26:08,white_harbor,field,defeat,final,256,0,0.000000,767,571,0.744459,-0.744459,final,True,59eda95eb25e13a466ddfb149f9a9405ae2341ae878110c28a01957e145defd7
battle_j01,2026-09-02T16:21:20,joffrey,field,victory,final,182,169,0.928571,107,0,0.000000,0.928571,final,True,3c488fe1c82af4370851b889b41764ba7f67a6844e2a1686d1f4720ab2ca0c11
battle_j02,2026-09-02T17:05:00,joffrey,siege_defense,defeat,final,990,1,0.001010,1205,591,0.490456,-0.489446,final,True,5aacc3bf7759908636db8a757f6d060d689efd52329f324c05bfd8c8f372e0da
battle_j03,2026-09-03T22:51:45,joffrey,field,active,active_last_readable,372,242,0.650538,,,,,diagnostic_censored_or_missing_denominator,False,d7887c9b2dd061ee5e09dcfedc0aac33b4d2742896d29fb032b6e799320979f6
battle_j04,2026-09-03T23:03:15,joffrey,field,victory,final,211,84,0.398104,219,0,0.000000,0.398104,final,True,414f1e8cf328cba93b47cddc9c31534b428c61ad9e6b24cb2fd0f7ff865520d3
battle_j05,2026-09-04T22:30:05,joffrey,siege_attack,retreated_to_keep,phase_complete,621,388,0.624799,629,0,0.000000,0.624799,diagnostic_phase_complete,False,d88c4af062cf0deae3426d907a11841a8b5b520f25be5f79580194e145882cec
battle_j06,2026-09-04T22:37:23,joffrey,siege_attack,retreated_to_keep,phase_complete,611,360,0.589198,607,0,0.000000,0.589198,diagnostic_phase_complete,False,f73167cee4a6e6556c66633876f46483414a48570f0053e1d0d114579a17c657
battle_j07,2026-09-04T22:48:44,joffrey,field,victory,final,236,117,0.495763,263,0,0.000000,0.495763,final,True,ae2a1bbd8c3b3e8719377b1913d271756dc7eb204e72d92ebadf23f9456ddd67
battle_j08,2026-09-04T22:52:17,joffrey,field,victory,final,199,192,0.964824,101,0,0.000000,0.964824,final,True,84acf08acbea43f40c0e707947c339235436a6af78274a310d0d6ac2b4004119
battle_j09,2026-09-04T23:00:08,joffrey,field,victory,final,269,128,0.475836,431,14,0.032483,0.443354,final,True,7a932134233035691521f1a24c62586fb26dbc1e9cbe9e6569778038ecd200e1
battle_j10,2026-09-04T23:18:11,joffrey,siege_attack,victory,final,344,239,0.694767,207,0,0.000000,0.694767,final,True,a8e1affb6d50aecf55ee80969be09cdebd8030eb34d6871fd6abbfa7917e7b1e
battle_j11,2026-09-04T23:43:40,joffrey,field,victory,final,337,18,0.053412,945,0,0.000000,0.053412,final,True,b6f57c9f9f1e64642aa4d640bc0cc6cc6612f253a075d151fb2f6b28e3010e26
battle_j12,2026-09-05T11:14:52,joffrey,field,victory,final,346,318,0.919075,357,0,0.000000,0.919075,final,True,87d377be067b7d3109e277354e81ea090546549e16c7e900860cda595dfc43de
battle_j13,2026-09-05T11:27:00,joffrey,field,victory,final,324,253,0.780864,628,14,0.022293,0.758571,final,True,382667e1196cefd91fe0d4bddf245ba565e2cf05e3e4e5a3c2ed871001d0dfc9
battle_j14,2026-09-05T12:00:01,joffrey,field,victory,final,324,150,0.462963,833,94,0.112845,0.350118,final,True,dfda2475a8f007271376019b46159b3e9113e51ef39de7f98c5714e1c00b4e09
battle_j15,2026-09-05T12:15:09,joffrey,siege_attack,active,active_last_readable,,196,,514,1,0.001946,,diagnostic_censored_or_missing_denominator,False,9ed0d453646235842b6344166b0959ae6438f0a057fb21b0073ccc5b8c6046e8
battle_j16,2026-09-05T16:11:06,joffrey,field,victory,final,461,377,0.817787,1110,6,0.005405,0.812382,final,True,396b5f68cba17d03e41d1ea9267f24bacceca734cbf8b9b330aadd0bb3de5891
battle_j17,2026-09-05T17:47:59,joffrey,field,victory,final,274,252,0.919708,515,0,0.000000,0.919708,final,True,8f331131c5300289733437588205106b6eada684c578f1cf56eaca67ce6567e1
battle_j18,2026-09-05T17:55:28,joffrey,field,victory,final,308,252,0.818182,582,9,0.015464,0.802718,final,True,db4326524e58247fbb6d7bcc8a125c7db5c27399bf72a4312278778f653e1624
battle_j19,2026-09-05T18:48:50,joffrey,field,defeat,final,347,0,0.000000,1647,518,0.314511,-0.314511,final,True,955e026f068ab8b55a9b5f3840aaad94c3bc376f09bc7132f4a96ac82d4eaaf9
