battle_id,captured_at,cohort,context,result,player_kills,player_deployed,kill_total_direct_positive,deployment_total_direct_positive,provenance,source_image_sha256
battle_wh01,2026-08-29T01:55:59,white_harbor,field,victory,144,156,True,True,visible player_side_total,cd56c0ef4fe2471d70be23e7b89f0775cff8c16628765fa50981b2e180a560e7
battle_wh02,2026-08-29T02:08:07,white_harbor,field,victory,127,158,True,True,visible player_side_total,e661b4c0663af768a86176969dcc7280f578a7876e6a0c33bbab4b6e9e9e2247
battle_wh03,2026-08-30T01:51:02,white_harbor,field,victory,104,192,True,True,visible player_side_total,4e291ef0a0a3ee69a53474bbfaacdf0141a783ce0971e7ddef368e588b9e1bcb
battle_wh04,2026-08-30T01:56:55,white_harbor,field,victory,168,193,True,True,visible player_side_total,ba83ca526a1394d4d2de494ee76e22b545614df3090fca324ccd284869d0f40c
battle_wh05,2026-08-30T02:05:38,white_harbor,field,victory,180,236,True,True,visible player_side_total,3a33e13e543e8f5b17c0eeb0d910a11b420cd96ddb85c0a060571f5861b4ce2c
battle_wh06,2026-08-30T02:13:17,white_harbor,field,victory,376,255,True,True,visible player_side_total,f3485a47dd5b222bd615f06c93318f9527d3172d63c3adddd587a12cfa989ab5
battle_wh07,2026-08-30T02:18:00,white_harbor,field,victory,282,240,True,True,visible player_side_total,0ff3d0648f38d526c4cd10449f2e05227e407b03d90aa78ca554805bf7398b4b
battle_wh08,2026-08-30T02:26:08,white_harbor,field,defeat,196,256,True,True,visible player_side_total,59eda95eb25e13a466ddfb149f9a9405ae2341ae878110c28a01957e145defd7
battle_j01,2026-09-02T16:21:20,joffrey,field,victory,107,182,True,True,visible player_side_total,3c488fe1c82af4370851b889b41764ba7f67a6844e2a1686d1f4720ab2ca0c11
battle_j02,2026-09-02T17:05:00,joffrey,siege_defense,defeat,595,990,True,True,visible player_side_total,5aacc3bf7759908636db8a757f6d060d689efd52329f324c05bfd8c8f372e0da
battle_j03,2026-09-03T22:51:45,joffrey,field,active,177,372,True,True,visible player_side_total,d7887c9b2dd061ee5e09dcfedc0aac33b4d2742896d29fb032b6e799320979f6
battle_j04,2026-09-03T23:03:15,joffrey,field,victory,219,211,True,True,visible player_side_total,414f1e8cf328cba93b47cddc9c31534b428c61ad9e6b24cb2fd0f7ff865520d3
battle_j05,2026-09-04T22:30:05,joffrey,siege_attack,retreated_to_keep,638,621,True,True,visible player_side_total,d88c4af062cf0deae3426d907a11841a8b5b520f25be5f79580194e145882cec
battle_j06,2026-09-04T22:37:23,joffrey,siege_attack,retreated_to_keep,606,611,True,True,visible player_side_total,f73167cee4a6e6556c66633876f46483414a48570f0053e1d0d114579a17c657
battle_j07,2026-09-04T22:48:44,joffrey,field,victory,263,236,True,True,visible player_side_total,ae2a1bbd8c3b3e8719377b1913d271756dc7eb204e72d92ebadf23f9456ddd67
battle_j08,2026-09-04T22:52:17,joffrey,field,victory,101,199,True,True,visible player_side_total,84acf08acbea43f40c0e707947c339235436a6af78274a310d0d6ac2b4004119
battle_j09,2026-09-04T23:00:08,joffrey,field,victory,417,269,True,True,visible player_side_total,7a932134233035691521f1a24c62586fb26dbc1e9cbe9e6569778038ecd200e1
battle_j10,2026-09-04T23:18:11,joffrey,siege_attack,victory,206,344,True,True,visible player_side_total,a8e1affb6d50aecf55ee80969be09cdebd8030eb34d6871fd6abbfa7917e7b1e
battle_j11,2026-09-04T23:43:40,joffrey,field,victory,945,337,True,True,visible player_side_total,b6f57c9f9f1e64642aa4d640bc0cc6cc6612f253a075d151fb2f6b28e3010e26
battle_j12,2026-09-05T11:14:52,joffrey,field,victory,357,346,True,True,visible player_side_total,87d377be067b7d3109e277354e81ea090546549e16c7e900860cda595dfc43de
battle_j13,2026-09-05T11:27:00,joffrey,field,victory,614,324,True,True,visible player_side_total,382667e1196cefd91fe0d4bddf245ba565e2cf05e3e4e5a3c2ed871001d0dfc9
battle_j14,2026-09-05T12:00:01,joffrey,field,victory,739,324,True,True,visible player_side_total,dfda2475a8f007271376019b46159b3e9113e51ef39de7f98c5714e1c00b4e09
battle_j15,2026-09-05T12:15:09,joffrey,siege_attack,active,532,,True,False,visible player_side_total,9ed0d453646235842b6344166b0959ae6438f0a057fb21b0073ccc5b8c6046e8
battle_j16,2026-09-05T16:11:06,joffrey,field,victory,1104,461,True,True,visible player_side_total,396b5f68cba17d03e41d1ea9267f24bacceca734cbf8b9b330aadd0bb3de5891
battle_j17,2026-09-05T17:47:59,joffrey,field,victory,515,274,True,True,visible player_side_total,8f331131c5300289733437588205106b6eada684c578f1cf56eaca67ce6567e1
battle_j18,2026-09-05T17:55:28,joffrey,field,victory,572,308,True,True,visible player_side_total,db4326524e58247fbb6d7bcc8a125c7db5c27399bf72a4312278778f653e1624
battle_j19,2026-09-05T18:48:50,joffrey,field,defeat,1127,347,True,True,visible player_side_total,955e026f068ab8b55a9b5f3840aaad94c3bc376f09bc7132f4a96ac82d4eaaf9
