track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,retreated_to_keep_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,2,13,Riverrun Captain,riverrun_captain,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,6,0,0,0,6.000000,,,515,1,True,0.011650,0.069903,274,1,True,0.003650,3.192233,0.008001,1.000000,0.000000,0.000000,1,0,0,0,insufficient_evidence,4,19
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,3,20,Elite Hired Crossbow,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,0,11,1,1,0,5.500000,,,1127,1,True,0.009760,0.053682,347,1,True,0.005764,1.693434,0.003997,0.000000,0.500000,1.000000,0,1,0,0,insufficient_evidence,4,18
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,4,11,Mountain's Man,mountains_man,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,2,7,5,26,1,1,0,3.714286,,,1087,2,True,0.023919,0.088842,582,2,True,0.012027,1.988698,0.011892,0.714286,0.142857,0.285714,2,0,0,0,insufficient_evidence,3,13
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,5,26,Tully Longbowman,tully_longbowman,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,3,0,11,0,3,0,3.666667,,,1127,1,True,0.009760,0.035788,347,1,True,0.008646,1.128956,0.001115,0.000000,0.000000,1.000000,0,1,0,0,insufficient_evidence,4,17
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,6,22,Guardian of the Rock,casterly_guardian,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,2,7,0,0,0,3.500000,,,515,1,True,0.013592,0.047573,274,1,True,0.007299,1.862136,0.006293,1.000000,0.000000,0.000000,1,0,0,0,insufficient_evidence,4,18
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,7,25,Westerlands Skirmisher,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,2,2,7,0,0,0,3.500000,,,614,1,True,0.011401,0.039902,324,1,True,0.006173,1.846906,0.005228,1.000000,0.000000,0.000000,1,0,0,0,insufficient_evidence,4,18
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,9,5,Vale Master Archer,vale_master_archer,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,2,31,10,97,6,15,0,3.129032,,,1699,2,True,0.057092,0.178644,655,2,True,0.047328,1.206307,0.009764,0.322581,0.193548,0.677419,1,1,0,0,insufficient_evidence,3,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,12,31,Westerling Elite Archer,westerling_elite_archer,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,1,5,0,13,2,3,0,2.600000,,,1127,1,True,0.011535,0.029991,347,1,True,0.014409,0.800532,-0.002874,0.000000,0.400000,1.000000,0,1,0,0,insufficient_evidence,4,15
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,13,14,Stark Sworn Sword,stark_swornsword,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,3,22,17,55,2,3,0,2.500000,,,2191,3,True,0.025103,0.062757,1043,3,True,0.021093,1.190096,0.004010,0.772727,0.090909,0.227273,3,0,0,0,insufficient_evidence,2,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,14,30,Reaver,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,2,7,0,17,2,5,0,2.428571,,,1362,2,True,0.012482,0.030313,606,2,True,0.011551,1.080554,0.000930,0.000000,0.285714,1.000000,2,0,0,0,insufficient_evidence,3,13
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,15,7,Westerlands Sharpshooter,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,24,0,54,4,20,0,2.250000,,,945,1,True,0.057143,0.128571,337,1,True,0.071217,0.802381,-0.014074,0.000000,0.166667,1.000000,1,0,0,0,insufficient_evidence,4,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,16,32,Riverlands Admiral,river_admiral,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,3,10,5,22,2,3,0,2.200000,,,1826,3,True,0.012048,0.026506,906,3,True,0.011038,1.091566,0.001011,0.500000,0.200000,0.500000,3,0,0,0,insufficient_evidence,2,10
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,19,19,Blackwood Longbowman,blackwood_longbowman,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,2,13,13,27,0,0,0,2.076923,,,971,2,True,0.027806,0.057752,670,2,True,0.019403,1.433098,0.008403,1.000000,0.000000,0.000000,2,0,0,0,insufficient_evidence,3,7
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,20,28,Westerling House Guard,westerling_houseguard,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,3,15,12,31,0,3,0,2.066667,,,1826,3,True,0.016977,0.035086,906,3,True,0.016556,1.025411,0.000421,0.800000,0.000000,0.200000,3,0,0,0,insufficient_evidence,2,5
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,21,8,Riverlands Ranger,river_ranger,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,4,71,58,144,1,12,0,2.028169,,,2655,4,True,0.054237,0.110002,1331,4,True,0.053343,1.016758,0.000894,0.816901,0.014085,0.183099,4,0,0,0,insufficient_evidence,1,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,22,46,Northern Mounted Warlord,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,3,2,6,1,0,0,2.000000,,,1104,1,True,0.005435,0.010870,461,1,True,0.006508,0.835145,-0.001073,0.666667,0.333333,0.333333,1,0,0,0,insufficient_evidence,4,17
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,23,15,Westerlands Banner Knight,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,4,55,33,108,3,19,0,1.963636,,,3402,4,True,0.031746,0.062338,1446,4,True,0.038036,0.834632,-0.006290,0.600000,0.054545,0.400000,4,0,0,0,insufficient_evidence,1,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,24,24,Realm Hedge Knight,realm_hedge_knight,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,3,11,5,20,1,5,0,1.818182,,,899,3,True,0.022247,0.040449,716,3,True,0.015363,1.448074,0.006884,0.454545,0.090909,0.545455,3,0,0,0,insufficient_evidence,2,9
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,26,21,Vale House Guard,vale_houseguard,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,2,28,5,48,7,16,0,1.714286,,,1699,2,True,0.028252,0.048432,655,2,True,0.042748,0.660893,-0.014496,0.178571,0.250000,0.821429,1,1,0,0,insufficient_evidence,3,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,28,18,Lannister Longbowman,lannister_longbowman,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,4,82,46,127,8,28,0,1.548780,,,3318,4,True,0.038276,0.059281,1390,4,True,0.058993,0.648826,-0.020717,0.560976,0.097561,0.439024,3,1,0,0,insufficient_evidence,1,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,29,35,Riverlands Axeman,river_axeman,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,3,18,5,27,3,10,0,1.500000,,,1916,3,True,0.014092,0.021138,1007,3,True,0.017875,0.788361,-0.003783,0.277778,0.166667,0.722222,3,0,0,0,insufficient_evidence,2,2
