track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,retreated_to_keep_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,1,1,Ravens' Teeth,ravens_teeth,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,7,129,96,782,4,29,0,6.062016,4.240602,7.968750,5028,7,True,0.155529,0.942819,2384,7,True,0.054111,2.874273,0.101418,0.744186,0.031008,0.255814,6,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,2,4,Westerling Hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,5,73,33,233,6,34,0,3.191781,2.215190,5.140625,4057,5,True,0.057432,0.183309,1714,5,True,0.042590,1.348462,0.014841,0.452055,0.082192,0.547945,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,3,5,Realm Paladin,realm_paladin,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,11,122,74,330,8,40,0,2.704918,2.381818,2.965753,6754,11,True,0.048860,0.132162,3425,11,True,0.035620,1.371683,0.013239,0.606557,0.065574,0.393443,10,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,4,9,Frey Assassin,frey_assassin,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,7,43,35,115,2,6,0,2.674419,2.023810,3.318182,5028,7,True,0.022872,0.061169,2384,7,True,0.018037,1.268062,0.004835,0.813953,0.046512,0.186047,6,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,5,8,Realm Knight,realm_knight,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,7,62,26,133,5,31,0,2.145161,1.192308,3.115385,3392,7,True,0.039210,0.084112,2010,7,True,0.030846,1.271160,0.008364,0.419355,0.080645,0.580645,7,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,6,2,Captain of the Kingsguard,mounted_kingsguard,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,14,506,340,1076,30,136,0,2.126482,1.496842,2.800000,7257,14,True,0.148271,0.315295,4190,14,True,0.120764,1.227775,0.027507,0.671937,0.059289,0.328063,12,1,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,7,3,Kingsguard,kingsguard_captain,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,13,585,350,1020,34,201,0,1.743590,1.432188,2.010657,6153,13,True,0.165773,0.289040,3729,13,True,0.156879,1.056695,0.008894,0.598291,0.058120,0.401709,11,1,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,8,7,Gold Cloak Halberdier,kingsguard,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,9,140,51,221,15,74,0,1.578571,1.141176,2.085714,3676,9,True,0.060120,0.094903,2564,9,True,0.054602,1.101049,0.005518,0.364286,0.107143,0.635714,8,0,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,9,6,Gold Cloak Sniper,goldcloak_master_archer,confirmed_id,Ranged,ranged,3,not_published_current_methodology_keeps_offense_and_defense_independent,9,321,227,366,24,70,0,1.140187,0.794776,1.468031,3838,9,True,0.095362,0.108731,2601,9,True,0.123414,0.772701,-0.028052,0.707165,0.074766,0.292835,8,0,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,10,10,Kingsguard Initiate,kingsguard_initiate,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,8,107,45,104,14,48,0,0.971963,0.695652,1.294118,2255,8,True,0.046120,0.044827,2139,8,True,0.050023,0.921964,-0.003904,0.420561,0.130841,0.579439,7,0,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,11,12,Gold Cloak Captain,goldcloak_captain,confirmed_id,Cavalry,melee_cavalry,4,not_published_current_methodology_keeps_offense_and_defense_independent,10,93,52,83,11,30,0,0.892473,0.634615,1.307692,4686,10,True,0.017712,0.015808,2915,10,True,0.031904,0.555177,-0.014192,0.559140,0.118280,0.440860,9,0,0,1,reliable,0,0
realm_of_thrones,1.4.x,joffrey,field,player_party,Joffrey Baratheon's Party,12,11,Kingsguard's Squire,kingsguard_squire,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,7,154,45,92,29,80,0,0.597403,0.500000,0.721088,1641,7,True,0.056063,0.033492,1815,7,True,0.084848,0.660747,-0.028785,0.292208,0.188312,0.707792,6,0,0,1,reliable,0,0
