cohort,context,participant_scope,parent_group,display_name,canonical_troop_id,result,censoring_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,retention_rate,verified_player_side_total_kills,kill_total_coverage_complete,player_side_kill_share,verified_player_side_total_deployed,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap
joffrey,field,player_party,Joffrey Baratheon's Party,Andal Caravan Guard,,victory,final,2,13,4,17,2,7,0,1.307692,0.307692,1208,True,0.014073,573,True,0.022688,0.620288,-0.008615
joffrey,field,player_party,Joffrey Baratheon's Party,Blackwood Archer,blackwood_archer,victory,final,2,10,10,14,0,0,0,1.400000,1.000000,929,True,0.015070,654,True,0.015291,0.985576,-0.000221
joffrey,field,player_party,Joffrey Baratheon's Party,Blackwood Longbowman,blackwood_longbowman,victory,final,2,13,13,27,0,0,0,2.076923,1.000000,971,True,0.027806,670,True,0.019403,1.433098,0.008403
joffrey,field,player_party,Joffrey Baratheon's Party,Captain of the Kingsguard,mounted_kingsguard,victory,final,12,441,340,895,19,82,0,2.029478,0.770975,5953,True,0.150344,3471,True,0.127053,1.183323,0.023292
joffrey,field,player_party,Joffrey Baratheon's Party,Captain of the Kingsguard,mounted_kingsguard,defeat,final,1,52,0,159,10,42,0,3.057692,0.000000,1127,True,0.141083,347,True,0.149856,0.941455,-0.008773
joffrey,field,player_party,Joffrey Baratheon's Party,Captain of the Kingsguard,mounted_kingsguard,active,censored_diagnostic,1,13,0,22,1,12,0,1.692308,0.000000,177,True,0.124294,372,True,0.034946,3.556714,0.089348
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Bowman,crownlands_bowman,victory,final,2,22,20,10,0,2,0,0.454545,0.909091,518,True,0.019305,468,True,0.047009,0.410670,-0.027704
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Levy,crownlands_levy,victory,final,1,9,9,3,0,0,0,0.333333,1.000000,101,True,0.029703,199,True,0.045226,0.656766,-0.015523
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Noble's Son,crownlands_noble_recruit,victory,final,3,25,10,10,4,11,0,0.400000,0.400000,589,True,0.016978,629,True,0.039746,0.427165,-0.022768
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Noble's Son,crownlands_noble_recruit,active,censored_diagnostic,1,4,0,1,1,3,0,0.250000,0.000000,177,True,0.005650,372,True,0.010753,0.525424,-0.005103
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Recruit,crownlands_recruit,victory,final,1,10,8,4,0,2,0,0.400000,0.800000,101,True,0.039604,199,True,0.050251,0.788119,-0.010647
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Squire,crownlands_squire,victory,final,3,24,1,14,4,19,0,0.583333,0.041667,899,True,0.015573,716,True,0.033520,0.464590,-0.017947
joffrey,field,player_party,Joffrey Baratheon's Party,Crownlands Squire,crownlands_squire,active,censored_diagnostic,1,4,0,3,0,4,0,0.750000,0.000000,177,True,0.016949,372,True,0.010753,1.576271,0.006196
joffrey,field,player_party,Joffrey Baratheon's Party,Elite Hired Crossbow,,defeat,final,1,2,0,11,1,1,0,5.500000,0.000000,1127,True,0.009760,347,True,0.005764,1.693434,0.003997
joffrey,field,player_party,Joffrey Baratheon's Party,Frey Assassin,frey_assassin,victory,final,6,37,35,92,1,1,0,2.486486,0.945946,3901,True,0.023584,2037,True,0.018164,1.298378,0.005420
joffrey,field,player_party,Joffrey Baratheon's Party,Frey Assassin,frey_assassin,defeat,final,1,6,0,23,1,5,0,3.833333,0.000000,1127,True,0.020408,347,True,0.017291,1.180272,0.003117
joffrey,field,player_party,Joffrey Baratheon's Party,Gold Cloak Captain,goldcloak_captain,victory,final,9,79,52,76,8,19,0,0.962025,0.658228,4509,True,0.016855,2543,True,0.031066,0.542566,-0.014210
joffrey,field,player_party,Joffrey Baratheon's Party,Gold Cloak Captain,goldcloak_captain,active,censored_diagnostic,1,14,0,7,3,11,0,0.500000,0.000000,177,True,0.039548,372,True,0.037634,1.050847,0.001914
joffrey,field,player_party,Joffrey Baratheon's Party,Gold Cloak Elite Archer,goldcloak_elite_archer,victory,final,1,6,6,8,0,0,0,1.333333,1.000000,417,True,0.019185,269,True,0.022305,0.860112,-0.003120
