display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256
Andal Caravan Guard,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Archer,,blackwood_archer,confirmed_id,Ranged,ranged,21.0,1,blackwood_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Longbowman,,blackwood_longbowman,confirmed_id,Ranged,ranged,26.0,1,blackwood_longbowman,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bolton Footman,,bolton_scout,confirmed_id,Infantry,frontline_infantry,16.0,1,bolton_scout,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bolton Hunter,,bolton_master_archer,confirmed_id,Ranged,ranged,26.0,1,bolton_master_archer,exact display-name match,,8,8,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bracken Pikemaster,,bracken_master_pikeman,confirmed_id,Infantry,frontline_infantry,31.0,1,bracken_master_pikeman,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Captain of the Kingsguard,mounted_kingsguard,mounted_kingsguard,confirmed_id,Cavalry,melee_cavalry,31.0,1,mounted_kingsguard,exact display-name match,,19,19,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cerwyn Axeman,,cerwyn_axeman,confirmed_id,Infantry,frontline_infantry,21.0,1,cerwyn_axeman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cerwyn Marauder,,cerwyn_marauder,confirmed_id,Infantry,frontline_infantry,31.0,1,cerwyn_marauder,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cerwyn Veteran Archer,,cerwyn_veteran_archer,confirmed_id,Ranged,ranged,26.0,1,cerwyn_veteran_archer,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Crownlands Bowman,,crownlands_bowman,confirmed_id,Ranged,ranged,11.0,1,crownlands_bowman,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Crownlands Levy,,crownlands_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,crownlands_levy,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Crownlands Noble's Son,,crownlands_noble_recruit,confirmed_id,Infantry,frontline_infantry,11.0,1,crownlands_noble_recruit,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Crownlands Recruit,,crownlands_recruit,confirmed_id,Infantry,frontline_infantry,6.0,1,crownlands_recruit,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Crownlands Squire,,crownlands_squire,confirmed_id,Infantry,frontline_infantry,16.0,1,crownlands_squire,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dreadfort Blackguard,,dreadfort_blackguard,confirmed_id,Infantry,frontline_infantry,26.0,1,dreadfort_blackguard,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Elite Hired Crossbow,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Frey Assassin,,frey_assassin,confirmed_id,Ranged,ranged,31.0,1,frey_assassin,exact display-name match,,9,9,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Frey Man at Arms,,frey_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,frey_man_at_arms,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Glover Veteran Archer,,glover_veteran_archer,confirmed_id,Ranged,ranged,26.0,1,glover_veteran_archer,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Archer,goldcloak_archer,goldcloak_archer,confirmed_id,Ranged,ranged,16.0,1,goldcloak_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Captain,goldcloak_captain,goldcloak_captain,confirmed_id,Cavalry,melee_cavalry,26.0,1,goldcloak_captain,exact display-name match,,14,14,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Elite Archer,goldcloak_elite_archer,goldcloak_elite_archer,confirmed_id,Ranged,ranged,21.0,1,goldcloak_elite_archer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Halberdier,kingsguard,kingsguard,confirmed_id,Infantry,frontline_infantry,26.0,1,kingsguard,exact display-name match,,12,12,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Gold Cloak Petty Officer,goldcloak_officer,goldcloak_officer,confirmed_id,Infantry,frontline_infantry,21.0,1,goldcloak_officer,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
