battle_context,battle_id,battle_state,classification,duplicate_of,retained_source_file,source_file,source_sha256,visibility_scope_complete
field,battle_j03,active_last_readable,visual_duplicate,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_09_2026 22_51_45.png,Mount and Blade II Bannerlord - Singleplayer PID_ 15012 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 03_09_2026 22_51_45.png,Armoury Crate SE 03_09_2026 22_51_42.png,c11ac8b645b8fd3ba16fc6914da90759a92dffe5585c50752f2defca2539752f,
field,battle_j14,final,new_representative,,Armoury Crate SE 05_09_2026 12_00_01.png,Armoury Crate SE 05_09_2026 12_00_01.png,dfda2475a8f007271376019b46159b3e9113e51ef39de7f98c5714e1c00b4e09,False
field,battle_wh02,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_08_2026 02_08_07.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 29_08_2026 02_08_07.png,e661b4c0663af768a86176969dcc7280f578a7876e6a0c33bbab4b6e9e9e2247,False
field,battle_wh03,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 01_51_02.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 01_51_02.png,4e291ef0a0a3ee69a53474bbfaacdf0141a783ce0971e7ddef368e588b9e1bcb,False
field,battle_wh04,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 01_56_55.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 01_56_55.png,ba83ca526a1394d4d2de494ee76e22b545614df3090fca324ccd284869d0f40c,False
field,battle_wh05,final,visual_duplicate,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_05_38.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_05_38.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_05_36.png,6d93823ec02eb036ce91e7855b812d0b60b9b3bc4ab093a5569870126bb08e93,
field,battle_wh05,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_05_38.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_05_38.png,3a33e13e543e8f5b17c0eeb0d910a11b420cd96ddb85c0a060571f5861b4ce2c,False
field,battle_wh06,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_13_17.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_13_17.png,f3485a47dd5b222bd615f06c93318f9527d3172d63c3adddd587a12cfa989ab5,False
field,battle_wh07,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_18_00.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_18_00.png,0ff3d0648f38d526c4cd10449f2e05227e407b03d90aa78ca554805bf7398b4b,False
field,battle_wh08,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_26_08.png,Mount and Blade II Bannerlord - Singleplayer PID_ 12664 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 30_08_2026 02_26_08.png,59eda95eb25e13a466ddfb149f9a9405ae2341ae878110c28a01957e145defd7,False
