battle_id,captured_at,cohort,context,result,battle_state,player_deployed,player_remaining,allied_retention,opponent_deployed,opponent_remaining,enemy_retention,pressure_margin,metric_status,included_in_final_pressure_summary,source_image_sha256
battle_jf01,2026-09-05T19:55:03,joffrey,field,defeat,final,347,0,0.000000,1125,386,0.343111,-0.343111,final,True,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0
battle_jf02,2026-09-05T20:21:21,joffrey,field,victory,final,280,176,0.628571,906,0,0.000000,0.628571,final,True,1943bdff65e0d945d374cf4f65f33d421feb92fa337b54a7bab29d016a05624e
battle_jf03,2026-09-06T00:37:04,joffrey,field,defeat,final,342,0,0.000000,1125,550,0.488889,-0.488889,final,True,dfa3eeaf267e3939def8c80b745d4a88e07dea7d3472f65f46b72144011284db
battle_jf04,2026-09-06T00:51:10,joffrey,field,defeat,final,342,0,0.000000,1125,659,0.585778,-0.585778,final,True,0046671a08e055d474223e5b0679cd6b69eb1b1df0451ce58bf89fe217f9c6d4
battle_wf01,2026-09-06T01:43:13,westerling,field,victory,final,151,137,0.907285,73,0,0.000000,0.907285,final,True,3aac5b7d5d8cbd1945fd37ccb9d23afbd6f66d88ded39f2c50ba61479d3fed3a
battle_wf02,2026-09-06T01:57:22,westerling,field,victory,final,149,131,0.879195,130,0,0.000000,0.879195,final,True,a4e475da41147d136df49d75db1342e7e35fb8066082fd668397395276689d71
battle_wf03,2026-09-06T02:02:25,westerling,field,victory,final,147,129,0.877551,89,0,0.000000,0.877551,final,True,f4553c6eba26dae52b8476fc5f45848be562aa2d444ad62babc5774cdbe0ef05
battle_wf04,2026-09-06T02:11:38,westerling,field,victory,final,146,112,0.767123,255,0,0.000000,0.767123,final,True,f2dc35fe87fca09140bfc3f38b4767ecf3fc1664925e80a37fd669b3b6275f3e
battle_wf05,2026-09-06T22:23:08,westerling,field,victory,final,114,112,0.982456,104,0,0.000000,0.982456,final,True,403174313967f5aaf15b6d22c70c8190cfc5992fe8365383025ab5a850d4aba9
battle_wf06,2026-09-06T22:29:11,westerling,field,victory,final,127,122,0.960630,103,0,0.000000,0.960630,final,True,108d2643499bab825dd78b99fe0aa92a60b9ded86d24970dd8c3170f3b5bff91
battle_wf07,2026-09-06T22:34:56,westerling,field,victory,final,133,101,0.759398,162,0,0.000000,0.759398,final,True,f5820d69a5146a91f55e646131ff3016d1f7dcde8031255e03b5972aa35efb55
battle_wf08,2026-09-06T22:40:28,westerling,field,victory,final,119,95,0.798319,96,0,0.000000,0.798319,final,True,9d5fd12f241ed0fbd84591f90942b1f56363312dd77cddb162f12da81dece8f3
battle_wf09,2026-09-06T22:43:15,westerling,field,victory,final,97,87,0.896907,72,2,0.027778,0.869129,final,True,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
battle_wf10,2026-09-06T22:48:17,westerling,field,victory,final,114,107,0.938596,123,0,0.000000,0.938596,final,True,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
battle_wf11,2026-09-06T22:56:02,westerling,field,victory,final,127,77,0.606299,235,0,0.000000,0.606299,final,True,f48aea88ac6dbe43df075c452ce381684766512efc3c318e8c7c19b41f312485
battle_wf12,2026-09-06T23:10:06,westerling,field,victory,final,150,148,0.986667,150,0,0.000000,0.986667,final,True,9c8709dfa66f54217b24b850ae86b4efdeeaa9a9b805a4d0e29aff5c132e083d
battle_wf13,2026-09-06T23:20:57,westerling,field,defeat,final,164,0,0.000000,306,59,0.192810,-0.192810,final,True,89310eda3663536521ba014cbf6ce1f774651bce99a62c4e126e9fdc3445450a
battle_wf14,2026-09-06T23:30:14,westerling,field,victory,final,164,85,0.518293,307,0,0.000000,0.518293,final,True,263265cca8031363ea4c60b0bf8107937ea4dc5f9114345e1ae7bab9311b8e1b
battle_wf15,2026-09-06T23:39:02,westerling,field,victory,final,160,153,0.956250,179,0,0.000000,0.956250,final,True,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
battle_wf16,2026-09-06T23:53:50,westerling,field,defeat,final,174,0,0.000000,481,175,0.363825,-0.363825,final,True,f39b8c636c8379d909db6d534a847923d8085f7afba55064777aa5c3b473b180
