track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,retreated_to_keep_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,1,1,Westerling Hedgeknight,westerling_hedgeknight,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,16,437,274,808,40,123,0,1.848970,1.410920,2.257403,2625,16,True,0.307810,0.569131,2236,16,True,0.195438,1.574970,0.112371,0.627002,0.091533,0.372998,14,2,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,2,5,Northern Colonel,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,5,36,15,47,5,16,0,1.305556,0.818182,1.769231,1185,5,True,0.039662,0.051782,812,5,True,0.044335,0.894609,-0.004673,0.416667,0.138889,0.583333,3,2,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,3,4,Westerling House Guard,westerling_houseguard,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,10,57,50,67,1,6,0,1.175439,0.790323,1.621622,1317,10,True,0.050873,0.059798,1310,10,True,0.043511,1.169191,0.007362,0.877193,0.017544,0.122807,10,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,4,7,Northern Winter Champion,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,5,27,11,30,5,11,0,1.111111,0.720000,1.678571,1185,5,True,0.025316,0.028129,812,5,True,0.033251,0.761369,-0.007935,0.407407,0.185185,0.592593,3,2,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,5,3,Westerling Footman,westerling_footman,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,6,93,71,94,1,21,0,1.010753,0.818182,1.377778,779,6,True,0.120668,0.121965,823,6,True,0.113001,1.067843,0.007666,0.763441,0.010753,0.236559,6,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,6,2,Westerling Elite Archer,westerling_elite_archer,confirmed_id,Ranged,ranged,1,not_published_current_methodology_keeps_offense_and_defense_independent,16,807,665,742,31,111,0,0.919455,0.672928,1.176471,2625,16,True,0.282667,0.259899,2236,16,True,0.360912,0.783200,-0.078246,0.824040,0.038414,0.175960,14,2,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,7,6,Westerling Man at Arms,westerling_man_at_arms,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,8,60,46,54,2,12,0,0.900000,0.428571,1.463415,1039,8,True,0.051973,0.046776,1081,8,True,0.055504,0.936381,-0.003531,0.766667,0.033333,0.233333,8,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,8,8,Westerling Knight,westerling_horseman,confirmed_id,Cavalry,melee_cavalry,1,not_published_current_methodology_keeps_offense_and_defense_independent,14,86,49,68,8,29,0,0.790698,0.597826,1.000000,2144,14,True,0.031716,0.025078,1902,14,True,0.045216,0.701449,-0.013499,0.569767,0.093023,0.430233,13,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,9,10,Reaver,,unresolved,,,0,not_published_current_methodology_keeps_offense_and_defense_independent,7,24,14,16,2,8,0,0.666667,0.380952,0.937500,1083,7,True,0.014774,0.009849,904,7,True,0.026549,0.556479,-0.011775,0.583333,0.083333,0.416667,6,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,10,9,Westerling Levy,westerling_levy,confirmed_id,Infantry,frontline_infantry,5,not_published_current_methodology_keeps_offense_and_defense_independent,7,100,86,31,4,10,0,0.310000,0.222222,0.422222,916,7,True,0.033843,0.010491,967,7,True,0.103413,0.327260,-0.069570,0.860000,0.040000,0.140000,7,0,0,0,reliable,0,0
