cohort,context,participant_scope,parent_group,display_name,canonical_troop_id,result,censoring_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,retention_rate,verified_player_side_total_kills,kill_total_coverage_complete,player_side_kill_share,verified_player_side_total_deployed,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap
joffrey,field,player_party,Joffrey Baratheon's Party,Captain of the Kingsguard,mounted_kingsguard,victory,final,1,52,43,235,1,8,0,4.519231,0.826923,905,True,0.259669,280,True,0.185714,1.398215,0.073954
joffrey,field,player_party,Joffrey Baratheon's Party,Captain of the Kingsguard,mounted_kingsguard,defeat,final,3,156,0,244,23,133,0,1.564103,0.000000,1777,True,0.137310,1031,True,0.151309,0.907479,-0.013999
joffrey,field,player_party,Joffrey Baratheon's Party,Frey Assassin,frey_assassin,victory,final,1,6,5,11,0,1,0,1.833333,0.833333,905,True,0.012155,280,True,0.021429,0.567219,-0.009274
joffrey,field,player_party,Joffrey Baratheon's Party,Frey Assassin,frey_assassin,defeat,final,3,18,0,57,2,16,0,3.166667,0.000000,1777,True,0.032077,1031,True,0.017459,1.837273,0.014618
joffrey,field,player_party,Joffrey Baratheon's Party,Kingsguard,kingsguard_captain,victory,final,1,18,4,37,3,11,0,2.055556,0.222222,905,True,0.040884,280,True,0.064286,0.635973,-0.023402
joffrey,field,player_party,Joffrey Baratheon's Party,Kingsguard,kingsguard_captain,defeat,final,3,128,0,184,15,113,0,1.437500,0.000000,1777,True,0.103545,1031,True,0.124151,0.834025,-0.020606
joffrey,field,player_party,Joffrey Baratheon's Party,Knight of the Vale,vale_knight_of,victory,final,1,11,7,45,0,4,0,4.090909,0.636364,905,True,0.049724,280,True,0.039286,1.265696,0.010438
joffrey,field,player_party,Joffrey Baratheon's Party,Knight of the Vale,vale_knight_of,defeat,final,3,61,0,73,6,55,0,1.196721,0.000000,1777,True,0.041080,1031,True,0.059166,0.694327,-0.018085
joffrey,field,player_party,Joffrey Baratheon's Party,Lannister Longbowman,lannister_longbowman,victory,final,1,32,28,27,2,2,0,0.843750,0.875000,905,True,0.029834,280,True,0.114286,0.261050,-0.084451
joffrey,field,player_party,Joffrey Baratheon's Party,Lannister Longbowman,lannister_longbowman,defeat,final,3,92,0,127,16,76,0,1.380435,0.000000,1777,True,0.071469,1031,True,0.089234,0.800916,-0.017765
joffrey,field,player_party,Joffrey Baratheon's Party,Mallister Footman,mallister_footman,defeat,final,1,2,0,5,0,2,0,2.500000,0.000000,464,True,0.010776,342,True,0.005848,1.842672,0.004928
joffrey,field,player_party,Joffrey Baratheon's Party,Mountain's Man,mountains_man,defeat,final,2,7,0,14,2,5,0,2.000000,0.000000,1313,True,0.010663,689,True,0.010160,1.049505,0.000503
joffrey,field,player_party,Joffrey Baratheon's Party,Northern Mounted Warlord,,victory,final,1,2,2,15,0,0,0,7.500000,1.000000,905,True,0.016575,280,True,0.007143,2.320442,0.009432
joffrey,field,player_party,Joffrey Baratheon's Party,Ravens' Teeth,ravens_teeth,victory,final,1,27,20,124,1,6,0,4.592593,0.740741,905,True,0.137017,280,True,0.096429,1.420913,0.040588
joffrey,field,player_party,Joffrey Baratheon's Party,Ravens' Teeth,ravens_teeth,defeat,final,3,81,0,410,18,63,0,5.061728,0.000000,1777,True,0.230726,1031,True,0.078565,2.936771,0.152161
joffrey,field,player_party,Joffrey Baratheon's Party,Realm Paladin,realm_paladin,victory,final,1,18,13,90,1,4,0,5.000000,0.722222,905,True,0.099448,280,True,0.064286,1.546961,0.035162
