display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256
Captain of the Kingsguard,mounted_kingsguard,mounted_kingsguard,confirmed_id,Cavalry,melee_cavalry,31.0,1,mounted_kingsguard,exact display-name match,,6,6,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Casterly Rock Master Crossbowman,,casterly_master_crossbowman,confirmed_id,Ranged,ranged,26.0,1,casterly_master_crossbowman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cerwyn Marauder,,cerwyn_marauder,confirmed_id,Infantry,frontline_infantry,31.0,1,cerwyn_marauder,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cerwyn Veteran Axeman,,cerwyn_master_axeman,confirmed_id,Infantry,frontline_infantry,26.0,1,cerwyn_master_axeman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Clegane Levy,,clegane_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,clegane_levy,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Elite Hired Crossbow,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,9,9,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Forest Bandit,,,unresolved,,,,0,,unresolved conservative exact-match audit,no exact display-name match in committed ROT audit,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Frey Assassin,,frey_assassin,confirmed_id,Ranged,ranged,31.0,1,frey_assassin,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Kingsguard,kingsguard_captain,kingsguard_captain,confirmed_id,Infantry,frontline_infantry,26.0,1,kingsguard_captain,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Knight of the Vale,,vale_knight_of,confirmed_id,Cavalry,melee_cavalry,31.0,1,vale_knight_of,exact display-name match,,4,4,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lannister Longbowman,,lannister_longbowman,confirmed_id,Ranged,ranged,26.0,1,lannister_longbowman,exact display-name match,,5,5,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Lannister Officer,,lannister_officer,confirmed_id,Infantry,frontline_infantry,26.0,1,lannister_officer,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mallister Footman,,mallister_footman,confirmed_id,Infantry,frontline_infantry,16.0,1,mallister_footman,exact display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Mountain's Man,mountains_man,mountains_man,confirmed_id,Infantry,frontline_infantry,31.0,1,mountains_man,exact display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
