observation_id,battle_id,source_image_file,source_image_sha256,field,original_value,reviewed_value,decision_status,reason,reviewer,evidence_reference
obs_26503861d6563ffe3ed0,battle_jf01,Mount and Blade II Bannerlord - Singleplayer PID_ 20840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 19_55_03.png,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0,upgrade_ready,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row clipped by viewport edge; survivors, kills, and wounded are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_26503861d6563ffe3ed0; review_queue.csv; source SHA-256 4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0
obs_26503861d6563ffe3ed0,battle_jf01,Mount and Blade II Bannerlord - Singleplayer PID_ 20840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 19_55_03.png,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0,deaths,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row clipped by viewport edge; survivors, kills, and wounded are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_26503861d6563ffe3ed0; review_queue.csv; source SHA-256 4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0
obs_26503861d6563ffe3ed0,battle_jf01,Mount and Blade II Bannerlord - Singleplayer PID_ 20840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 19_55_03.png,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0,routed,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row clipped by viewport edge; survivors, kills, and wounded are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_26503861d6563ffe3ed0; review_queue.csv; source SHA-256 4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0
obs_f62f9ce4656236c7d2a1,battle_jf02,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 20_21_21.png,1943bdff65e0d945d374cf4f65f33d421feb92fa337b54a7bab29d016a05624e,wounded,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Wounded cell is obscured by the debug overlay; all other displayed fields are legible.,distinct Phase 2 analysis agent,normalized occurrence obs_f62f9ce4656236c7d2a1; review_queue.csv; source SHA-256 1943bdff65e0d945d374cf4f65f33d421feb92fa337b54a7bab29d016a05624e
obs_88c4feec42c5cea148e7,battle_wf09,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_43_15.png,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4,kills,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_88c4feec42c5cea148e7; review_queue.csv; source SHA-256 fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
obs_88c4feec42c5cea148e7,battle_wf09,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_43_15.png,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4,upgrade_ready,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_88c4feec42c5cea148e7; review_queue.csv; source SHA-256 fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
obs_88c4feec42c5cea148e7,battle_wf09,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_43_15.png,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4,deaths,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_88c4feec42c5cea148e7; review_queue.csv; source SHA-256 fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
obs_88c4feec42c5cea148e7,battle_wf09,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_43_15.png,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4,wounded,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_88c4feec42c5cea148e7; review_queue.csv; source SHA-256 fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
obs_88c4feec42c5cea148e7,battle_wf09,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_43_15.png,fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4,routed,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_88c4feec42c5cea148e7; review_queue.csv; source SHA-256 fbc14242a495d6c68f300f8e945cc27ff04cb0abe4e2c1798b5a41c17c8f27d4
obs_6736beff5f005d9a2b41,battle_wf10,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_48_17.png,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950,kills,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the message overlay; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_6736beff5f005d9a2b41; review_queue.csv; source SHA-256 2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
obs_6736beff5f005d9a2b41,battle_wf10,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_48_17.png,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950,upgrade_ready,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the message overlay; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_6736beff5f005d9a2b41; review_queue.csv; source SHA-256 2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
obs_6736beff5f005d9a2b41,battle_wf10,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_48_17.png,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950,deaths,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the message overlay; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_6736beff5f005d9a2b41; review_queue.csv; source SHA-256 2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
obs_6736beff5f005d9a2b41,battle_wf10,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_48_17.png,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950,wounded,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the message overlay; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_6736beff5f005d9a2b41; review_queue.csv; source SHA-256 2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
obs_6736beff5f005d9a2b41,battle_wf10,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_48_17.png,2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950,routed,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the message overlay; identity and survivor count are legible, remaining numeric fields are not reliable.",distinct Phase 2 analysis agent,normalized occurrence obs_6736beff5f005d9a2b41; review_queue.csv; source SHA-256 2114c09daf444fcbe5ddb6adefdd19f284ddae14c60b3a74b60c462bc7442950
obs_7fbb8b08d7e81f45f049,battle_wf13,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_20_57.png,89310eda3663536521ba014cbf6ce1f774651bce99a62c4e126e9fdc3445450a,kills,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; kills versus upgrade-ready columns are not reliably distinguishable. Survivors, deaths, wounded, and routed are legible.",distinct Phase 2 analysis agent,normalized occurrence obs_7fbb8b08d7e81f45f049; review_queue.csv; source SHA-256 89310eda3663536521ba014cbf6ce1f774651bce99a62c4e126e9fdc3445450a
obs_7fbb8b08d7e81f45f049,battle_wf13,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_20_57.png,89310eda3663536521ba014cbf6ce1f774651bce99a62c4e126e9fdc3445450a,upgrade_ready,,,unresolved_no_raw_image_review,"Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is clipped; kills versus upgrade-ready columns are not reliably distinguishable. Survivors, deaths, wounded, and routed are legible.",distinct Phase 2 analysis agent,normalized occurrence obs_7fbb8b08d7e81f45f049; review_queue.csv; source SHA-256 89310eda3663536521ba014cbf6ce1f774651bce99a62c4e126e9fdc3445450a
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,survivors,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,kills,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,upgrade_ready,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,deaths,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,wounded,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
obs_76d819668a340b347fd4,battle_wf15,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 23_39_02.png,d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9,routed,,,unresolved_no_raw_image_review,Raw source ZIP unavailable to this Phase 2 run; no value inferred. Queue note: Bottom row is partly covered by the chat overlay; identity is legible but numeric values are not reliable.,distinct Phase 2 analysis agent,normalized occurrence obs_76d819668a340b347fd4; review_queue.csv; source SHA-256 d812316722e277dcb175a180de9bb1176bb86a6e45c8a50c93f53be1361e4ce9
