battle_context,battle_id,battle_state,classification,duplicate_of,retained_source_file,source_file,source_sha256,visibility_scope_complete
field,battle_jf01,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 20840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 19_55_03.png,Mount and Blade II Bannerlord - Singleplayer PID_ 20840 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 19_55_03.png,4919c360c58fc674aff5cee7c4a40973c45a5e9e43c0b8c811285e5f5cd0dbe0,False
field,battle_jf02,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 20_21_21.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 05_09_2026 20_21_21.png,1943bdff65e0d945d374cf4f65f33d421feb92fa337b54a7bab29d016a05624e,False
field,battle_jf04,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 00_51_10.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 00_51_10.png,0046671a08e055d474223e5b0679cd6b69eb1b1df0451ce58bf89fe217f9c6d4,False
field,battle_wf01,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 01_43_13.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 01_43_13.png,3aac5b7d5d8cbd1945fd37ccb9d23afbd6f66d88ded39f2c50ba61479d3fed3a,False
field,battle_wf02,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 01_57_22.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 01_57_22.png,a4e475da41147d136df49d75db1342e7e35fb8066082fd668397395276689d71,False
field,battle_wf03,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 02_02_25.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 02_02_25.png,f4553c6eba26dae52b8476fc5f45848be562aa2d444ad62babc5774cdbe0ef05,False
field,battle_wf04,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 02_11_38.png,Mount and Blade II Bannerlord - Singleplayer PID_ 25408 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 02_11_38.png,f2dc35fe87fca09140bfc3f38b4767ecf3fc1664925e80a37fd669b3b6275f3e,False
field,battle_wf05,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_23_08.png,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_23_08.png,403174313967f5aaf15b6d22c70c8190cfc5992fe8365383025ab5a850d4aba9,False
field,battle_wf06,final,visual_duplicate,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_29_11.png,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_29_11.png,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_29_11 (1).png,6d29ffda54b71dfe80bca7fe6c6aca5d5c8241470d7c37ed039a4626e2a2ea82,
field,battle_wf06,final,new_representative,,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_29_11.png,Mount and Blade II Bannerlord - Singleplayer PID_ 29684 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 06_09_2026 22_29_11.png,108d2643499bab825dd78b99fe0aa92a60b9ded86d24970dd8c3170f3b5bff91,False
