track,game_version,cohort,context,participant_scope,parent_group,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,reliable_role_population,role_adjusted_rank_status,independent_battles,deployed,survivors,kills,deaths,wounded,routed,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,defeat_battles,retreated_to_keep_battles,active_battles,reliability_status,more_battles_needed,more_deployed_needed
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,1,1,Cerwyn Marauder,cerwyn_marauder,confirmed_id,,,0,not_published_unverified_role_registry,11,494,410,744,14,70,0,1.506073,0.814141,2.474836,1701,11,True,0.437390,0.658741,1648,11,True,0.299757,1.459146,0.137632,0.829960,0.028340,0.170040,11,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,2,4,Mountain's Man,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,8,67,43,93,3,21,0,1.388060,0.433962,2.436620,1408,8,True,0.066051,0.091683,1212,8,True,0.055281,1.194835,0.010771,0.641791,0.044776,0.358209,8,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,3,5,Cerwyn Veteran Axeman,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,7,57,49,69,0,8,0,1.210526,0.730769,1.612903,992,7,True,0.069556,0.084200,1062,7,True,0.053672,1.295947,0.015884,0.859649,0.000000,0.140351,7,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,4,3,Cerwyn Axeman,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,55,50,63,4,1,0,1.145455,0.868421,1.450980,567,5,True,0.111111,0.127273,724,5,True,0.075967,1.462626,0.035144,0.909091,0.072727,0.090909,5,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,5,2,Cerwyn Veteran Archer,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,11,353,339,294,4,10,0,0.832861,0.653374,1.044393,1701,11,True,0.172840,0.143951,1648,11,True,0.214199,0.806911,-0.041360,0.960340,0.011331,0.039660,11,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,6,8,Northern Mounted Warlord,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,8,28,23,23,1,4,0,0.821429,0.533333,1.166667,1327,8,True,0.017332,0.014237,1229,8,True,0.022783,0.760765,-0.005450,0.821429,0.035714,0.178571,8,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,7,7,Riverlands Ranger,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,54,53,40,0,1,0,0.740741,0.358491,1.109091,1017,5,True,0.039331,0.029134,759,5,True,0.071146,0.552824,-0.031815,0.981481,0.000000,0.018519,5,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,cerwyn,field,player_party,Medger Cerwyn's Party,8,6,Cerwyn Soldier,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,62,53,44,3,6,0,0.709677,0.470588,0.816327,627,5,True,0.070175,0.049802,739,5,True,0.083897,0.836446,-0.013722,0.854839,0.048387,0.145161,5,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,frey,field,player_party,Walder Frey's Party,1,1,Frey Assassin,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,6,292,289,444,1,2,0,1.520548,0.871233,2.694444,1331,6,True,0.333584,0.507230,1257,6,True,0.232299,1.436010,0.101285,0.989726,0.003425,0.010274,6,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,frey,field,player_party,Walder Frey's Party,2,3,Frey Sharpshooter,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,6,103,98,143,2,3,0,1.388350,0.991228,1.870000,1331,6,True,0.107438,0.149162,1257,6,True,0.081941,1.311161,0.025497,0.951456,0.019417,0.048544,6,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,frey,field,player_party,Walder Frey's Party,3,2,Frey Veteran Crossbowman,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,6,123,114,166,2,7,0,1.349593,0.863248,1.788889,1331,6,True,0.124718,0.168319,1257,6,True,0.097852,1.274560,0.026866,0.926829,0.016260,0.073171,6,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,frey,field,player_party,Walder Frey's Party,4,4,Frey Crossbowman,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,128,120,86,2,6,0,0.671875,0.476190,0.858974,1169,5,True,0.073567,0.049428,1081,5,True,0.118409,0.621298,-0.044842,0.937500,0.015625,0.062500,5,0,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,1,3,Cerwyn Marauder,cerwyn_marauder,confirmed_id,,,0,not_published_unverified_role_registry,5,22,12,57,0,10,0,2.590909,1.363636,3.833333,1108,5,True,0.051444,0.133287,799,5,True,0.027534,1.868354,0.023910,0.545455,0.000000,0.454545,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,2,4,Northern Mounted Warlord,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,20,13,32,2,5,0,1.600000,0.550000,2.750000,1108,5,True,0.028881,0.046209,799,5,True,0.025031,1.153791,0.003850,0.650000,0.100000,0.350000,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,3,1,Westerling Hedgeknight,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,133,68,184,10,55,0,1.383459,0.869919,1.806897,1108,5,True,0.166065,0.229744,799,5,True,0.166458,0.997639,-0.000393,0.511278,0.075188,0.488722,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,4,2,Westerlands Banner Knight,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,204,130,220,13,61,0,1.078431,0.538095,1.888889,1108,5,True,0.198556,0.214129,799,5,True,0.255319,0.777677,-0.056763,0.637255,0.063725,0.362745,4,1,0,0,reliable,0,0
realm_of_thrones,1.4.x,westerling,field,player_party,Gawen Westerling's Party,5,5,Mountain's Man,,exact_display_label_unverified_registry,,,0,not_published_unverified_role_registry,5,53,31,52,7,15,0,0.981132,0.594203,1.675676,1108,5,True,0.046931,0.046046,799,5,True,0.066333,0.707513,-0.019402,0.584906,0.132075,0.415094,4,1,0,0,reliable,0,0
