display_name,observed_canonical_troop_ids,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,ordinary_occurrences,source_image_count,audit_path,audit_sha256
Baratheon Hammerknight [T6],,baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,31.0,1,baratheon_pikeknight,exact tier-stripped display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Archer [T4],,blackwood_archer,confirmed_id,Ranged,ranged,21.0,1,blackwood_archer,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Longbowman [T5],,blackwood_longbowman,confirmed_id,Ranged,ranged,26.0,1,blackwood_longbowman,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bracken House Guard [T5],,bracken_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,bracken_houseguard,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Celtigar Banneret [T6],,celtigar_banneret,confirmed_id,Infantry,frontline_infantry,31.0,1,celtigar_banneret,exact tier-stripped display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Celtigar Halberdier [T5],,celtigar_halberdier,confirmed_id,Infantry,frontline_infantry,26.0,1,celtigar_halberdier,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Celtigar Man at Arms [T4],,celtigar_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,celtigar_man_at_arms,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Clegane Levy [T2],,clegane_levy,confirmed_id,Infantry,frontline_infantry,11.0,1,clegane_levy,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Clegane Man at Arms [T4],,clegane_man_at_arms,confirmed_id,Infantry,frontline_infantry,21.0,1,clegane_man_at_arms,exact tier-stripped display-name match,,2,2,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dragonstone Knight [T4],,dragonstone_knight,confirmed_id,Cavalry,melee_cavalry,21.0,1,dragonstone_knight,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dragonstone Shock Knight [T5],,dragonstone_shock_knight,confirmed_id,Cavalry,melee_cavalry,26.0,1,dragonstone_shock_knight,exact tier-stripped display-name match,,1,1,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Frey Assassin [T6],,frey_assassin,confirmed_id,Ranged,ranged,31.0,1,frey_assassin,exact tier-stripped display-name match,,7,7,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
