cohort,context,participant_scope,parent_group,display_name,canonical_troop_id,result,censoring_status,independent_battles,deployed,survivors,kills,deaths,wounded,kills_per_deployed,retention_rate,verified_player_side_total_kills,player_side_kill_share,verified_player_side_total_deployed,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap
frey_dedicated,field,player_party,Walder Frey's Party,Baratheon Hammerknight [T6],baratheon_pikeknight,victory,final,3,18,13,25,0,5,1.388889,0.722222,1447,0.017277,601,0.029950,0.576864,-0.012673
frey_dedicated,field,player_party,Walder Frey's Party,Baratheon Hammerknight [T6],baratheon_pikeknight,defeat,final,2,9,0,11,0,9,1.222222,0.000000,668,0.016467,398,0.022613,0.728210,-0.006146
frey_dedicated,field,player_party,Walder Frey's Party,Baratheon Hammerknight [T6],baratheon_pikeknight,active,censored_diagnostic,1,6,0,4,1,5,0.666667,0.000000,506,0.007905,193,0.031088,0.254282,-0.023183
frey_dedicated,field,player_party,Walder Frey's Party,Blackwood Archer [T4],blackwood_archer,active,censored_diagnostic,1,2,1,5,0,1,2.500000,0.500000,506,0.009881,193,0.010363,0.953557,-0.000481
frey_dedicated,field,player_party,Walder Frey's Party,Blackwood Longbowman [T5],blackwood_longbowman,active,censored_diagnostic,1,4,2,8,0,2,2.000000,0.500000,506,0.015810,193,0.020725,0.762846,-0.004915
frey_dedicated,field,player_party,Walder Frey's Party,Bracken House Guard [T5],bracken_houseguard,active,censored_diagnostic,1,2,0,0,1,1,0.000000,0.000000,506,0.000000,193,0.010363,0.000000,-0.010363
frey_dedicated,field,player_party,Walder Frey's Party,Celtigar Banneret [T6],celtigar_banneret,victory,final,3,115,90,228,5,20,1.982609,0.782609,1447,0.157567,601,0.191348,0.823461,-0.033780
frey_dedicated,field,player_party,Walder Frey's Party,Celtigar Banneret [T6],celtigar_banneret,defeat,final,2,76,0,100,10,66,1.315789,0.000000,668,0.149701,398,0.190955,0.783958,-0.041254
frey_dedicated,field,player_party,Walder Frey's Party,Celtigar Banneret [T6],celtigar_banneret,active,censored_diagnostic,1,34,11,69,4,19,2.029412,0.323529,506,0.136364,193,0.176166,0.774064,-0.039802
frey_dedicated,field,player_party,Walder Frey's Party,Clegane Levy [T2],clegane_levy,victory,final,1,1,0,0,0,1,0.000000,0.000000,599,0.000000,202,0.004950,0.000000,-0.004950
frey_dedicated,field,player_party,Walder Frey's Party,Clegane Man at Arms [T4],clegane_man_at_arms,victory,final,2,2,1,1,0,1,0.500000,0.500000,988,0.001012,406,0.004926,0.205466,-0.003914
frey_dedicated,field,player_party,Walder Frey's Party,Frey Assassin [T6],frey_assassin,victory,final,3,268,254,815,2,12,3.041045,0.947761,1447,0.563234,601,0.445923,1.263074,0.117311
frey_dedicated,field,player_party,Walder Frey's Party,Frey Assassin [T6],frey_assassin,defeat,final,2,178,0,388,40,138,2.179775,0.000000,668,0.580838,398,0.447236,1.298728,0.133602
frey_dedicated,field,player_party,Walder Frey's Party,Frey Assassin [T6],frey_assassin,active,censored_diagnostic,1,88,37,346,7,44,3.931818,0.420455,506,0.683794,193,0.455959,1.499686,0.227836
frey_dedicated,field,player_party,Walder Frey's Party,Gold Cloak Halberdier [T5],kingsguard,victory,final,1,2,2,4,0,0,2.000000,1.000000,459,0.008715,195,0.010256,0.849673,-0.001542
frey_dedicated,field,player_party,Walder Frey's Party,Gold Cloak Petty Officer [T4],goldcloak_officer,victory,final,1,1,0,0,0,1,0.000000,0.000000,459,0.000000,195,0.005128,0.000000,-0.005128
frey_dedicated,field,player_party,Walder Frey's Party,Mountain's Man [T6],mountains_man,victory,final,2,10,7,19,1,2,1.900000,0.700000,988,0.019231,406,0.024631,0.780769,-0.005400
frey_dedicated,field,player_party,Walder Frey's Party,Mountain's Man [T6],mountains_man,defeat,final,2,9,0,13,2,7,1.444444,0.000000,668,0.019461,398,0.022613,0.860612,-0.003152
frey_dedicated,field,player_party,Walder Frey's Party,Mountain's Man [T6],mountains_man,active,censored_diagnostic,1,5,0,3,0,5,0.600000,0.000000,506,0.005929,193,0.025907,0.228854,-0.019978
frey_dedicated,field,player_party,Walder Frey's Party,Queen's Man [T6],dragonstone_steel_curtain,victory,final,3,59,46,100,1,12,1.694915,0.779661,1447,0.069109,601,0.098170,0.703970,-0.029061
frey_dedicated,field,player_party,Walder Frey's Party,Queen's Man [T6],dragonstone_steel_curtain,defeat,final,2,39,0,36,7,32,0.923077,0.000000,668,0.053892,398,0.097990,0.549977,-0.044098
frey_dedicated,field,player_party,Walder Frey's Party,Queen's Man [T6],dragonstone_steel_curtain,active,censored_diagnostic,1,18,1,15,1,16,0.833333,0.055556,506,0.029644,193,0.093264,0.317852,-0.063620
frey_dedicated,field,player_party,Walder Frey's Party,Riverlands Admiral [T6],river_admiral,victory,final,2,14,8,24,1,5,1.714286,0.571429,988,0.024291,406,0.034483,0.704453,-0.010191
frey_dedicated,field,player_party,Walder Frey's Party,Riverlands Admiral [T6],river_admiral,defeat,final,2,13,0,10,3,10,0.769231,0.000000,668,0.014970,398,0.032663,0.458314,-0.017693
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Marine [T4],velaryon_warrior,victory,final,1,2,2,2,0,0,1.000000,1.000000,459,0.004357,195,0.010256,0.424837,-0.005899
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Renegade [T5],velaryon_renegade,victory,final,1,1,1,0,0,0,0.000000,1.000000,459,0.000000,195,0.005128,0.000000,-0.005128
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Renegade [T5],velaryon_renegade,active,censored_diagnostic,1,1,0,0,1,0,0.000000,0.000000,506,0.000000,193,0.005181,0.000000,-0.005181
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Sea Guard [T6],velaryon_sea_guard,victory,final,3,93,57,179,4,32,1.924731,0.612903,1447,0.123704,601,0.154742,0.799422,-0.031038
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Sea Guard [T6],velaryon_sea_guard,defeat,final,2,65,0,90,10,55,1.384615,0.000000,668,0.134731,398,0.163317,0.824965,-0.028586
frey_dedicated,field,player_party,Walder Frey's Party,Velaryon Sea Guard [T6],velaryon_sea_guard,active,censored_diagnostic,1,28,5,31,4,19,1.107143,0.178571,506,0.061265,193,0.145078,0.422290,-0.083813
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Baratheon Hammerknight [T6],baratheon_pikeknight,victory,final,1,5,2,4,0,3,0.800000,0.400000,574,0.006969,199,0.025126,0.277352,-0.018157
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Celtigar Banneret [T6],celtigar_banneret,victory,final,1,29,18,76,2,9,2.620690,0.620690,574,0.132404,199,0.145729,0.908567,-0.013324
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Celtigar Halberdier [T5],celtigar_halberdier,victory,final,1,7,4,9,1,2,1.285714,0.571429,574,0.015679,199,0.035176,0.445744,-0.019496
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Celtigar Man at Arms [T4],celtigar_man_at_arms,victory,final,1,5,4,9,0,1,1.800000,0.800000,574,0.015679,199,0.025126,0.624042,-0.009446
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Dragonstone Knight [T4],dragonstone_knight,victory,final,1,7,5,14,0,2,2.000000,0.714286,574,0.024390,199,0.035176,0.693380,-0.010786
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Dragonstone Shock Knight [T5],dragonstone_shock_knight,victory,final,1,6,3,5,0,3,0.833333,0.500000,574,0.008711,199,0.030151,0.288908,-0.021440
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Frey Assassin [T6],frey_assassin,victory,final,1,96,75,370,5,16,3.854167,0.781250,574,0.644599,199,0.482412,1.336201,0.162187
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Squire [T3],dragonstone_squire,victory,final,1,5,1,5,1,3,1.000000,0.200000,574,0.008711,199,0.025126,0.346690,-0.016415
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Velaryon Marine [T4],velaryon_warrior,victory,final,1,7,5,9,0,2,1.285714,0.714286,574,0.015679,199,0.035176,0.445744,-0.019496
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Velaryon Renegade [T5],velaryon_renegade,victory,final,1,4,2,8,0,2,2.000000,0.500000,574,0.013937,199,0.020101,0.693380,-0.006163
frey_dedicated,siege_attack,player_party,Walder Frey's Party,Velaryon Sea Guard [T6],velaryon_sea_guard,victory,final,1,5,5,30,0,0,6.000000,1.000000,574,0.052265,199,0.025126,2.080139,0.027139
