battle_id,captured_at,context,result,player_side_total_kills,player_side_total_deployed,kill_total_direct_positive,deployment_total_direct_positive,provenance,source_image_sha256
rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,field,in_progress,190,193,true,true,normalized_visible_player_side_total,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d
rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,field,victory,406,187,true,true,normalized_visible_player_side_total,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5
rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,siege_attack,in_progress,632,563,true,true,normalized_visible_player_side_total,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda
rot_2026_09_13_220607_egon_yunkai_retreat_keep,2026-09-13T22:06:07-03:00,siege_attack,retreated_to_keep,648,583,true,true,normalized_visible_player_side_total,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0
rot_2026_09_13_224912_egon_black_rat_victory_field,2026-09-13T22:49:12-03:00,field,victory,617,578,true,true,normalized_visible_player_side_total,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194
rot_2026_09_13_230153_egon_defense_active_field,2026-09-13T23:01:53-03:00,field,in_progress,523,250,true,true,normalized_visible_player_side_total,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0
rot_2026_09_13_231141_egon_defense_victory_field,2026-09-13T23:11:41-03:00,field,victory,773,250,true,true,normalized_visible_player_side_total,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9
rot_2026_09_13_232041_egon_hesh_victory_siege,2026-09-13T23:20:41-03:00,siege_attack,victory,214,395,true,true,normalized_visible_player_side_total,16949da855a6f8e67c514a7b37c3ad501ca0d3e777270e6b6b1aff0b8c80c961
rot_2026_09_13_233111_egon_qarth_retreat_keep,2026-09-13T23:31:11-03:00,siege_attack,retreated_to_keep,389,307,true,true,normalized_visible_player_side_total,11b72abf02d749b43933142aa92c009d028a5b7da416b749acc4c60df3972d2f
rot_2026_09_13_234219_egon_black_rat_victory_field,2026-09-13T23:42:19-03:00,field,victory,524,309,true,true,normalized_visible_player_side_total,c28472ee69451208c9e83ce49ba73eb8282d5646b1a2adddb7c64879c9d9b587
rot_2026_09_13_234719_egon_grey_worm_victory_field,2026-09-13T23:47:19-03:00,field,victory,215,275,true,true,normalized_visible_player_side_total,ac5c8411208dd78c4d40e42c11070197f331a810b38870d7ce0a9d9d586b0614
rot_2026_09_14_164207_egon_meereen_victory_siege,2026-09-14T16:42:07-03:00,siege_attack,victory,280,750,true,true,normalized_visible_player_side_total,333cf2a7056944524a8656a3a384afe0985a66a5f40918078b905a8c09892980
rot_2026_09_14_165135_egon_astapor_victory_siege,2026-09-14T16:51:35-03:00,siege_attack,victory,359,343,true,true,normalized_visible_player_side_total,00d352cf14c9fbd11bae69118cbb303f8d7630cb559e963e8d9797c43692bb14
rot_2026_09_14_205747_egon_bortu_victory_field,2026-09-14T20:57:47-03:00,field,victory,919,548,true,true,normalized_visible_player_side_total,019c57686a412e9260cd907130e5448f5962af6e60c586c4ceb5e7113ad871f3|a2d34662d79de241e4af9124dd70e0b10b3fd9ca77e9345fc8771480d50f36d6
rot_2026_09_14_211115_egon_lhazosh_retreat_keep,2026-09-14T21:11:15-03:00,siege_attack,retreated_to_keep,376,341,true,true,normalized_visible_player_side_total,4a105ab0507526f9908af9131062b776ed2164cab1f623a2d7b214e62277bbab
