observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed,exclusion_reason
rot_2026_09_12_190445_frey_active_field__party_01__row_005,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,active_censored,Walder Frey's Party,player_party,Walder Frey,,Walder Frey,,excluded_character_unresolved_identity,,,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,6,,0,0,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_12_190445_frey_active_field__party_01__row_007,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,active_censored,Walder Frey's Party,player_party,Bronn of the Blackwater,,Bronn of the Blackwater,ROTwanderer4,excluded_character_confirmed,Cavalry,melee_cavalry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,1,,0,0,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_12_190445_frey_active_field__party_01__row_008,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,active_censored,Walder Frey's Party,player_party,Walder Rivers,,Walder Rivers,,excluded_character_unresolved_identity,,,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,1,,0,0,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_12_190445_frey_active_field__party_01__row_012,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,active_censored,Walder Frey's Party,player_party,Eleanor Mooton,,Eleanor Mooton,,excluded_character_unresolved_identity,,,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,0,,0,0,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_12_190445_frey_active_field__party_01__row_013,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,active_censored,Walder Frey's Party,player_party,Samwell Tarly,,Samwell Tarly,ROTwanderer5,excluded_character_confirmed,Ranged,ranged,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,0,0,,0,1,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_13_050754_frey_victory_field__party_01__row_005,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,completed,Walder Frey's Party,player_party,Walder Frey,,Walder Frey,,excluded_character_unresolved_identity,,,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,18,,0,1,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_13_050754_frey_victory_field__party_01__row_008,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,completed,Walder Frey's Party,player_party,Bronn of the Blackwater,,Bronn of the Blackwater,ROTwanderer4,excluded_character_confirmed,Cavalry,melee_cavalry,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,1,,0,1,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_13_050754_frey_victory_field__party_01__row_011,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,completed,Walder Frey's Party,player_party,Eleanor Mooton,,Eleanor Mooton,,excluded_character_unresolved_identity,,,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,0,,0,1,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_13_050754_frey_victory_field__party_01__row_012,rot_2026_09_13_050754_frey_victory_field,2026-09-13T05:07:54-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,field,completed,Walder Frey's Party,player_party,Walder Rivers,,Walder Rivers,,excluded_character_unresolved_identity,,,full,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,,0,0,,1,0,0,1,character_or_hero_row_without_troop_tier
rot_2026_09_13_215051_egon_astapor_active_siege__party_01__row_004,rot_2026_09_13_215051_egon_astapor_active_siege,2026-09-13T21:50:51-03:00,realm_of_thrones,unknown_not_recorded_in_phase1,siege_attack,active_censored,Egon Emeros' Party,player_party,Uthero the Restless,,Uthero the Restless,,excluded_character_unresolved_identity,,,full,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,,1,8,,0,0,0,1,character_or_hero_row_without_troop_tier
