observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,troop_name,tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_12_190445_frey_active_field__party_01__row_001,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Frey Assassin,6,Frey Assassin [T6],frey_assassin,confirmed_id,Ranged,ranged,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,88,111,0,0,0,0,88
rot_2026_09_12_190445_frey_active_field__party_01__row_002,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Celtigar Banneret,6,Celtigar Banneret [T6],celtigar_banneret,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,33,27,0,0,1,0,34
rot_2026_09_12_190445_frey_active_field__party_01__row_003,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Velaryon Sea Guard,6,Velaryon Sea Guard [T6],velaryon_sea_guard,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,25,25,0,1,2,0,28
rot_2026_09_12_190445_frey_active_field__party_01__row_004,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Queen's Man,6,Queen's Man [T6],dragonstone_steel_curtain,confirmed_id,Cavalry,melee_cavalry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,18,12,0,0,0,0,18
rot_2026_09_12_190445_frey_active_field__party_01__row_006,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Baratheon Hammerknight,6,Baratheon Hammerknight [T6],baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,6,4,0,0,0,0,6
rot_2026_09_12_190445_frey_active_field__party_01__row_009,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Blackwood Archer,4,Blackwood Archer [T4],blackwood_archer,confirmed_id,Ranged,ranged,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,2,1,0,0,0,0,2
rot_2026_09_12_190445_frey_active_field__party_01__row_010,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Blackwood Longbowman,5,Blackwood Longbowman [T5],blackwood_longbowman,confirmed_id,Ranged,ranged,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,4,1,1,0,0,0,4
rot_2026_09_12_190445_frey_active_field__party_01__row_011,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Mountain's Man,6,Mountain's Man [T6],mountains_man,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,5,1,0,0,0,0,5
rot_2026_09_12_190445_frey_active_field__party_01__row_014,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Bracken House Guard,5,Bracken House Guard [T5],bracken_houseguard,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,0,1,0,1,0,2
rot_2026_09_12_190445_frey_active_field__party_01__row_015,rot_2026_09_12_190445_frey_active_field,2026-09-12T19:04:45-03:00,realm_of_thrones,unknown,field,active_censored,Walder Frey's Party,player_party,Velaryon Renegade,5,Velaryon Renegade [T5],velaryon_renegade,confirmed_id,Infantry,frontline_infantry,full,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,,1,0,0,0,0,0,1
