track,game_version,cohort,context,participant_scope,result_scope,efficiency_rank,impact_rank,display_name,troop_name,tier,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,reliable_role_population,role_adjusted_rank_status,independent_battles,complete_numeric_battles,ordinary_occurrences,complete_numeric_occurrences,deployed,survivors,kills,deaths,wounded,routed,known_deployed_from_complete_occurrences,known_kills,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,final_victory_battles,outside_stage_success_battles,active_censored_battles,numeric_display_gate_passed,identity_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,missing_numeric_fields
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Dothraki Barbarian [T5],Dothraki Barbarian,5,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,7,3,11,1,3,0,7,11,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,false,insufficient_battles,4,13,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Dothraki Khal's Guard [T6],Dothraki Khal's Guard,6,,unresolved_provisional_label,,,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,18,13,14,2,3,0,18,14,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,false,insufficient_battles,4,2,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Ghiscari Lockstep Legionnaire [T6],Ghiscari Lockstep Legionnaire,6,ghiscari_unsullied_unbroken,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,2,2,5,0,0,0,2,5,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,18,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Qartheen Enthroned Guardian [T6],Qartheen Enthroned Guardian,6,enthroned_guardian,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,32,5,97,7,20,0,32,97,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Qartheen Longbowman [T5],Qartheen Longbowman,5,qartheen_longbowman,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,66,53,213,4,9,0,66,213,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Qartheen Pureborn Warrior [T4],Qartheen Pureborn Warrior,4,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,5,3,1,0,2,0,5,1,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,15,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Qarthene Veteran Archer [T4],Qarthene Veteran Archer,4,qartheen_elite_archer,confirmed_id,Ranged,ranged,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,15,11,15,1,3,0,15,15,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,5,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,active_censored,,,Unsullied [T6],Unsullied,6,unsullied,confirmed_id,Infantry,frontline_infantry,exploratory,0,not_published_current_methodology_keeps_offense_and_defense_independent,1,1,1,1,97,79,155,5,13,0,97,155,,,,523,1,true,,,250,1,true,,,,,,,0,0,1,false,true,insufficient_battles,4,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,1,1,Qartheen Enthroned Guardian [T6],Qartheen Enthroned Guardian,6,enthroned_guardian,confirmed_id,Ranged,ranged,high,2,not_published_current_methodology_keeps_offense_and_defense_independent,5,5,5,5,195,164,698,7,24,0,195,698,3.579487,1.738372,5.078358,3048,5,true,0.229003,0.819712,1960,5,true,0.099490,2.301770,0.129513,0.841026,0.035897,0.158974,5,0,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,2,2,Qartheen Longbowman [T5],Qartheen Longbowman,5,qartheen_longbowman,confirmed_id,Ranged,ranged,high,2,not_published_current_methodology_keeps_offense_and_defense_independent,5,5,5,5,301,277,654,6,18,0,301,654,2.172757,0.796875,3.806569,3048,5,true,0.214567,0.466202,1960,5,true,0.153571,1.397180,0.060996,0.920266,0.019934,0.079734,5,0,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,3,3,Unsullied [T6],Unsullied,6,unsullied,confirmed_id,Infantry,frontline_infantry,high,1,not_published_current_methodology_keeps_offense_and_defense_independent,5,5,5,5,440,296,683,28,116,0,440,683,1.552273,1.002387,2.164444,3048,5,true,0.224081,0.347835,1960,5,true,0.224490,0.998181,-0.000408,0.672727,0.063636,0.327273,5,0,0,true,true,reliable,0,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Dothraki Barbarian [T5],Dothraki Barbarian,5,,unresolved_provisional_label,,,medium,0,not_published_current_methodology_keeps_offense_and_defense_independent,3,3,3,3,43,31,84,1,11,0,43,84,,,,1512,3,true,,,834,3,true,,,,,,,3,0,0,false,false,insufficient_battles,2,0,
realm_of_thrones,unknown,Egon Emeros' Party,field,player_party,completed,,,Dothraki Khal's Guard [T6],Dothraki Khal's Guard,6,,unresolved_provisional_label,,,medium,0,not_published_current_methodology_keeps_offense_and_defense_independent,4,4,4,4,119,83,146,6,30,0,119,146,,,,2431,4,true,,,1382,4,true,,,,,,,4,0,0,false,false,insufficient_battles,1,0,
