source_key,filename,sha256,event_id,representative_source_key,decision,same_battle_status,historical_exact_hash_matches,visual_reason_provenance
src_20260912_190445,Mount and Blade II Bannerlord - Singleplayer PID_ 26396 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 12_09_2026 19_04_45.png,da663db5a772276de0eacaefb7064345ca7dd3e0828210de7d16f2ad5a4a129d,rot_2026_09_12_190445_frey_active_field,src_20260912_190445,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_050754,Screenshot 13_09_2026 05_07_54.png,779f2b2b3f94f56ce6cd8c3577da45e03dda14ce353fd8c28278487dec4fe4f5,rot_2026_09_13_050754_frey_victory_field,src_20260913_050754,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_215051,Vortex 13_09_2026 21_50_51.png,083baf53ffa11d69c79b5535547ebef476bffcf5ae89ac5700b29ed25d70eeda,rot_2026_09_13_215051_egon_astapor_active_siege,src_20260913_215051,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_220607,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 22_06_07.png,e06d0a6d619fe8cf0277c89e76b8a154b90ffadd07aecc45927ef36fa39401b0,rot_2026_09_13_220607_egon_yunkai_retreat_keep,src_20260913_220607,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_224912,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 22_49_12.png,f49035352a387ebf69c1b9f291ada540c8361ace20777b6ac341d80beac21194,rot_2026_09_13_224912_egon_black_rat_victory_field,src_20260913_224912,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_230153,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 23_01_53.png,cf5da967cb7d025b0b39ebaff748c1924801c4eee65fc83c923b84150f8f73b0,rot_2026_09_13_230153_egon_defense_active_field,src_20260913_230153,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_231141,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 23_11_41.png,ffabd4b9a41a007704a421babeff9c062524380b96521001999f864d0b0783d9,rot_2026_09_13_231141_egon_defense_victory_field,src_20260913_231141,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_232041,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 23_20_41.png,16949da855a6f8e67c514a7b37c3ad501ca0d3e777270e6b6b1aff0b8c80c961,rot_2026_09_13_232041_egon_hesh_victory_siege,src_20260913_232041,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_233111,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 23_31_11.png,11b72abf02d749b43933142aa92c009d028a5b7da416b749acc4c60df3972d2f,rot_2026_09_13_233111_egon_qarth_retreat_keep,src_20260913_233111,accepted_primary,independent_event,,Phase 1 normalized as an independent event
src_20260913_234219,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 13_09_2026 23_42_19.png,c28472ee69451208c9e83ce49ba73eb8282d5646b1a2adddb7c64879c9d9b587,rot_2026_09_13_234219_egon_black_rat_victory_field,src_20260913_234219,accepted_primary,independent_event,,Phase 1 normalized as an independent event
