display_name,observed_tiers,row_class,ordinary_occurrences,excluded_character_occurrences,canonical_troop_id,resolution_status,default_group,canonical_role,level,candidate_count,candidate_troop_ids,non_soldier_exact_match_ids,resolution_method,blocking_reason,audit_path,audit_sha256
Allia Emeros,,character,0,5,ROTlord_620,excluded_character_confirmed,Cavalry,melee_cavalry,,1,ROTlord_620,ROTlord_620,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Baratheon Hammerknight,6,ordinary_troop,2,0,baratheon_pikeknight,confirmed_id,Infantry,frontline_infantry,31.0,1,baratheon_pikeknight,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Archer,4,ordinary_troop,2,0,blackwood_archer,confirmed_id,Ranged,ranged,21.0,1,blackwood_archer,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Blackwood Longbowman,5,ordinary_troop,2,0,blackwood_longbowman,confirmed_id,Ranged,ranged,26.0,1,blackwood_longbowman,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bracken House Guard,5,ordinary_troop,2,0,bracken_houseguard,confirmed_id,Infantry,frontline_infantry,26.0,1,bracken_houseguard,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Bronn of the Blackwater,,character,0,11,ROTwanderer4,excluded_character_confirmed,Cavalry,melee_cavalry,,1,ROTwanderer4,ROTwanderer4,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Cedrik Storm,,character,0,3,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Celtigar Banneret,6,ordinary_troop,2,0,celtigar_banneret,confirmed_id,Infantry,frontline_infantry,31.0,1,celtigar_banneret,,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Archer,4,ordinary_troop,2,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Barbarian,5,ordinary_troop,7,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Bowlord,5,ordinary_troop,3,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Horse Archer,4,ordinary_troop,1,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Khal's Guard,6,ordinary_troop,10,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Nomad,1,ordinary_troop,1,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Savage,4,ordinary_troop,4,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Warrior,3,ordinary_troop,1,0,,unresolved_provisional_label,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Egon Emeros,,character,0,12,ROTlord_619,excluded_character_confirmed,Cavalry,melee_cavalry,,1,ROTlord_619,ROTlord_619,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Eleanor Mooton,,character,0,2,,excluded_character_unresolved_identity,,,,0,,,no inferred alias,no exact display-name match in the versioned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
