display_name,ordinary_occurrences,canonical_troop_id,resolution_status,default_group,canonical_role,candidate_count,candidate_troop_ids,resolution_method,blocking_reason,audit_path,audit_sha256
Braavosi Captain,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Braavosi Footman,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Braavosi Man at Arms,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Braavosi Soldier,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Broken Archer,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Broken Guard,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Broken Man,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dornish Bowman,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dornish Elite Archer,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dornish Horseman,4,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dornish Master Archer,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dornish Viper,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Archer,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Footman,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Hunter,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Khal's Guard,7,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Nomad,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Pillager,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Dothraki Warrior,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Elite Archer,2,ghiscari_elite_archer,confirmed_id,Ranged,ranged,1,ghiscari_elite_archer,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Footman,1,ghiscari_footman,confirmed_id,Infantry,frontline_infantry,1,ghiscari_footman,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Ghiscari Soldier,2,ghiscari_soldier,confirmed_id,Infantry,frontline_infantry,1,ghiscari_soldier,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Harami,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Marauder,2,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Nomad Bandit,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Elite Hoplite,1,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,1,qartheen_elite_hoplite,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Enthroned Guardian,10,enthroned_guardian,confirmed_id,Ranged,ranged,1,enthroned_guardian,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Champion,5,qartheen_champion,confirmed_id,Ranged,ranged,1,qartheen_champion,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Fighter,8,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry,1,qartheen_pureborn,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Warrior,6,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry,1,qartheen_pureborn_warrior,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Pureborn Youth,2,qartheen_noble_recruit,confirmed_id,Infantry,frontline_infantry,1,qartheen_noble_recruit,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Qartheen Soldier,1,qartheen_warrior,confirmed_id,Infantry,frontline_infantry,1,qartheen_warrior,exact display-name match in pinned track audit,,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Rhoynar Peasant,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
Westerlands Infantry,1,,unresolved_provisional_label,,,0,,no inferred alias,no unique exact soldier display-name match in pinned track audit,data/realm_of_thrones/audit/realm_of_thrones_troops.csv,63ea983998e25aa0e6f8c0747bf42e44440f695bbe1fec717074e7ba64e42810
