occurrence_id,battle_id,captured_at,cohort,context,participant_scope,display_name,row_type,visibility_status,review_status,review_note,source_key,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed,exclusion_reason
rot_2026_09_15_163446_egon_achaku_victory_field__character__05__theon_greyjoy,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260915_163446,1,4,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__06__allia_emeros,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260915_163446,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__07__bronn_of_the_blackwater,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260915_163446,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__08__egon_emeros,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__09__cedrik_storm,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Cedrik Storm,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__10__samwell_tarly,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__11__senelle_of_duskendale,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Senelle of Duskendale,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__12__uthero_the_restless,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Uthero the Restless,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__13__xando_emeros,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Xando Emeros,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163446_egon_achaku_victory_field__character__14__xhoana_emeros,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Xhoana Emeros,character,complete,excluded_character,,src_20260915_163446,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__06__egon_emeros,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Egon Emeros,character,complete,excluded_character,,src_20260915_163702,1,3,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__07__allia_emeros,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Allia Emeros,character,complete,excluded_character,,src_20260915_163702,1,2,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__08__samwell_tarly,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Samwell Tarly,character,complete,excluded_character,,src_20260915_163702,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__09__theon_greyjoy,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Theon Greyjoy,character,complete,excluded_character,,src_20260915_163702,1,1,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
rot_2026_09_15_163702_egon_ko_jhago_victory_field__character__10__bronn_of_the_blackwater,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Bronn of the Blackwater,character,complete,excluded_character,,src_20260915_163702,1,0,,0,0,0,1,character_or_hero_excluded_from_ordinary_rankings
