occurrence_id,battle_id,captured_at,cohort,context,participant_scope,display_name,row_type,visibility_status,review_status,review_note,source_key,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed,canonical_troop_id,identity_status,canonical_default_group,canonical_role
rot_2026_09_15_163446_egon_achaku_victory_field__ordinary__01__qartheen_enthroned_guardian,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Qartheen Enthroned Guardian,ordinary_troop,complete,raw_readable,,src_20260915_163446,77,73,0,0,0,0,77,enthroned_guardian,confirmed_id,Ranged,ranged
rot_2026_09_15_163446_egon_achaku_victory_field__ordinary__02__qartheen_pureborn_champion,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Champion,ordinary_troop,complete,raw_readable,,src_20260915_163446,2,0,0,0,0,0,2,qartheen_champion,confirmed_id,Ranged,ranged
rot_2026_09_15_163446_egon_achaku_victory_field__ordinary__03__qartheen_pureborn_fighter,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Fighter,ordinary_troop,complete,raw_readable,,src_20260915_163446,2,0,0,0,0,0,2,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_163446_egon_achaku_victory_field__ordinary__04__qartheen_pureborn_warrior,rot_2026_09_15_163446_egon_achaku_victory_field,2026-09-15T16:34:46-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Warrior,ordinary_troop,complete,raw_readable,,src_20260915_163446,2,0,0,0,0,0,2,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_163702_egon_ko_jhago_victory_field__ordinary__01__qartheen_enthroned_guardian,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Qartheen Enthroned Guardian,ordinary_troop,complete,raw_readable,,src_20260915_163702,77,136,0,0,0,0,77,enthroned_guardian,confirmed_id,Ranged,ranged
rot_2026_09_15_163702_egon_ko_jhago_victory_field__ordinary__02__dothraki_khal_s_guard,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Dothraki Khal's Guard,ordinary_troop,complete,raw_readable,,src_20260915_163702,3,0,0,0,0,0,3,,unresolved_provisional_label,,
rot_2026_09_15_163702_egon_ko_jhago_victory_field__ordinary__03__qartheen_pureborn_champion,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Champion,ordinary_troop,complete,raw_readable,,src_20260915_163702,2,0,0,0,0,0,2,qartheen_champion,confirmed_id,Ranged,ranged
rot_2026_09_15_163702_egon_ko_jhago_victory_field__ordinary__04__qartheen_pureborn_fighter,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Fighter,ordinary_troop,complete,raw_readable,,src_20260915_163702,2,0,0,0,0,0,2,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_163702_egon_ko_jhago_victory_field__ordinary__05__qartheen_pureborn_warrior,rot_2026_09_15_163702_egon_ko_jhago_victory_field,2026-09-15T16:37:02-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Warrior,ordinary_troop,partial,unresolved_visibility,bottom-clipped row; only survivors are readable,src_20260915_163702,2,,,,,,,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_163950_egon_yana_victory_field__ordinary__01__qartheen_enthroned_guardian,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Qartheen Enthroned Guardian,ordinary_troop,complete,raw_readable,,src_20260915_163950,77,61,0,0,0,0,77,enthroned_guardian,confirmed_id,Ranged,ranged
rot_2026_09_15_163950_egon_yana_victory_field__ordinary__02__qartheen_pureborn_champion,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Champion,ordinary_troop,complete,raw_readable,,src_20260915_163950,2,2,1,0,0,0,2,qartheen_champion,confirmed_id,Ranged,ranged
rot_2026_09_15_163950_egon_yana_victory_field__ordinary__03__qartheen_pureborn_fighter,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Fighter,ordinary_troop,complete,raw_readable,,src_20260915_163950,2,1,1,0,0,0,2,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_163950_egon_yana_victory_field__ordinary__04__qartheen_pureborn_youth,rot_2026_09_15_163950_egon_yana_victory_field,2026-09-15T16:39:50-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Youth,ordinary_troop,complete,raw_readable,,src_20260915_163950,9,1,1,0,0,0,9,qartheen_noble_recruit,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__ordinary__01__qartheen_enthroned_guardian,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Qartheen Enthroned Guardian,ordinary_troop,complete,raw_readable,,src_20260915_164327,79,76,0,0,0,0,79,enthroned_guardian,confirmed_id,Ranged,ranged
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__ordinary__02__dothraki_khal_s_guard,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Dothraki Khal's Guard,ordinary_troop,complete,raw_readable,,src_20260915_164327,3,1,0,0,0,0,3,,unresolved_provisional_label,,
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__ordinary__03__qartheen_pureborn_fighter,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Fighter,ordinary_troop,complete,raw_readable,,src_20260915_164327,9,1,1,0,0,0,9,qartheen_pureborn,confirmed_id,Infantry,frontline_infantry
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__ordinary__04__qartheen_pureborn_champion,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Champion,ordinary_troop,complete,raw_readable,,src_20260915_164327,1,0,1,0,0,0,1,qartheen_champion,confirmed_id,Ranged,ranged
rot_2026_09_15_164327_egon_jorah_mormont_victory_field__ordinary__05__qartheen_pureborn_warrior,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,2026-09-15T16:43:27-03:00,Egon Emeros' Party,field,player_party,Qartheen Pureborn Warrior,ordinary_troop,partial,unresolved_visibility,bottom-clipped row; only survivors are readable,src_20260915_164327,3,,,,,,,qartheen_pureborn_warrior,confirmed_id,Infantry,frontline_infantry
