track,game_version,cohort,context,participant_scope,efficiency_rank,impact_rank,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,evidence_grade,independent_battles,ordinary_occurrences,complete_numeric_occurrences,excluded_partial_occurrences,deployed,survivors,kills,deaths,wounded,routed,known_deployed,known_kills,kills_per_deployed,ci95_low,ci95_high,verified_player_side_total_kills,kill_total_coverage_battles,kill_total_coverage_complete,player_side_kill_share,share_adjusted_impact,verified_player_side_total_deployed,deployment_total_coverage_battles,deployment_total_coverage_complete,player_side_deployment_share,offensive_contribution_ratio,offensive_share_gap,retention_rate,death_rate,casualty_rate,victory_battles,numeric_display_gate_passed,reliability_status,more_battles_needed,more_deployed_needed,missing_numeric_fields,role_adjusted_rank_status
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,1,3,Braavosi Man at Arms,,unresolved_provisional_label,,,exploratory,1,1,1,0,3,3,6,0,0,0,3,6,2.000000,,,277,1,true,0.021661,0.043321,173,1,true,0.017341,1.249097,0.004320,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,17,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,2,2,Braavosi Soldier,,unresolved_provisional_label,,,exploratory,1,1,1,0,3,2,6,0,1,0,3,6,2.000000,,,195,1,true,0.030769,0.061538,173,1,true,0.017341,1.774359,0.013428,0.666667,0.000000,0.333333,1,false,insufficient_battles,4,17,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,3,5,Marauder,,unresolved_provisional_label,,,exploratory,2,2,2,0,2,1,4,0,1,0,2,4,2.000000,,,368,2,true,0.010870,0.021739,431,2,true,0.004640,2.342391,0.006229,0.500000,0.000000,0.500000,2,false,insufficient_battles,3,18,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,4,4,Dothraki Archer,,unresolved_provisional_label,,,exploratory,1,1,1,0,1,1,2,0,0,0,1,2,2.000000,,,173,1,true,0.011561,0.023121,258,1,true,0.003876,2.982659,0.007685,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,5,6,Harami,,unresolved_provisional_label,,,exploratory,1,1,1,0,1,1,2,0,0,0,1,2,2.000000,,,195,1,true,0.010256,0.020513,173,1,true,0.005780,1.774359,0.004476,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,6,7,Qartheen Elite Hoplite,qartheen_elite_hoplite,confirmed_id,Infantry,frontline_infantry,exploratory,1,1,1,0,1,1,2,0,0,0,1,2,2.000000,,,195,1,true,0.010256,0.020513,173,1,true,0.005780,1.774359,0.004476,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,7,1,Qartheen Enthroned Guardian,enthroned_guardian,confirmed_id,Ranged,ranged,high,9,9,9,0,725,725,1037,0,0,0,725,1037,1.430345,1.084406,1.823129,1220,9,true,0.850000,1.215793,1297,9,true,0.558982,1.520621,0.291018,1.000000,0.000000,0.000000,9,true,reliable,0,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,8,9,Ghiscari Elite Archer,ghiscari_elite_archer,confirmed_id,Ranged,ranged,exploratory,2,2,2,0,3,3,4,0,0,0,3,4,1.333333,,,450,2,true,0.008889,0.011852,431,2,true,0.006961,1.277037,0.001928,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,17,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,9,14,Dornish Viper,,unresolved_provisional_label,,,exploratory,1,1,1,0,1,1,1,0,0,0,1,1,1.000000,,,195,1,true,0.005128,0.005128,173,1,true,0.005780,0.887179,-0.000652,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,10,15,Dothraki Hunter,,unresolved_provisional_label,,,exploratory,1,1,1,0,1,1,1,0,0,0,1,1,1.000000,,,195,1,true,0.005128,0.005128,173,1,true,0.005780,0.887179,-0.000652,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,19,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,11,16,Ghiscari Soldier,ghiscari_soldier,confirmed_id,Infantry,frontline_infantry,exploratory,2,2,2,0,4,4,3,0,0,0,4,3,0.750000,,,472,2,true,0.006356,0.004767,346,2,true,0.011561,0.549788,-0.005205,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,16,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,12,10,Dornish Elite Archer,,unresolved_provisional_label,,,exploratory,2,2,2,0,7,7,5,0,0,0,7,5,0.714286,,,472,2,true,0.010593,0.007567,346,2,true,0.020231,0.523608,-0.009638,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,13,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,13,11,Dothraki Warrior,,unresolved_provisional_label,,,exploratory,2,2,2,0,8,7,5,0,1,0,8,5,0.625000,,,450,2,true,0.011111,0.006944,431,2,true,0.018561,0.598611,-0.007450,0.875000,0.000000,0.125000,2,false,insufficient_battles,3,12,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,14,17,Dothraki Khal's Guard,,unresolved_provisional_label,,,low,6,6,6,0,22,22,10,0,0,0,22,10,0.454545,0.190476,0.739130,993,6,true,0.010070,0.004577,987,6,true,0.022290,0.451799,-0.012219,1.000000,0.000000,0.000000,6,true,reliable_provisional_identity,0,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,15,12,Dornish Master Archer,,unresolved_provisional_label,,,exploratory,2,2,2,0,9,9,4,0,0,0,9,4,0.444444,,,297,2,true,0.013468,0.005986,430,2,true,0.020930,0.643472,-0.007462,1.000000,0.000000,0.000000,2,false,insufficient_battles,3,11,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,16,13,Dornish Horseman,,unresolved_provisional_label,,,low,4,4,4,0,23,23,10,0,0,0,23,10,0.434783,,,769,4,true,0.013004,0.005654,776,4,true,0.029639,0.438740,-0.016635,1.000000,0.000000,0.000000,4,false,insufficient_battles,1,0,,not_published_fewer_than_five_reliable_same_role_rows
realm_of_thrones,1.4.x,Egon Emeros' Party,field,player_party,17,8,Dothraki Pillager,,unresolved_provisional_label,,,exploratory,1,1,1,0,12,12,5,0,0,0,12,5,0.416667,,,173,1,true,0.028902,0.012042,258,1,true,0.046512,0.621387,-0.017610,1.000000,0.000000,0.000000,1,false,insufficient_battles,4,8,,not_published_fewer_than_five_reliable_same_role_rows
