source_key,candidate_filename,candidate_sha256,representative_source_key,battle_id,decision,same_battle_status,visual_reason,historical_exact_hash_status
src_20260915_163446,ChatGPT 15_09_2026 16_34_46.png,95efffabe6383d536e0b344010a77277b9bd10c98bff90bb1ebd7c00404c2404,src_20260915_163446,rot_2026_09_15_163446_egon_achaku_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260915_163702,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_09_2026 16_37_02.png,aa2e27bcb60a4e3a2131c2b7f90a5281940ac0f9426857afbac8306719366853,src_20260915_163702,rot_2026_09_15_163702_egon_ko_jhago_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260915_163950,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_09_2026 16_39_50.png,1f36bf7ab9299961de7824ab372733bacd160b1dc39cbe310599f014146aa14e,src_20260915_163950,rot_2026_09_15_163950_egon_yana_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260915_164327,Mount and Blade II Bannerlord - Singleplayer PID_ 24144 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 15_09_2026 16_43_27.png,d0f5222d1e1d52144aded15f32bfeebac4118cdda0bf4c6d2ac191535349940f,src_20260915_164327,rot_2026_09_15_164327_egon_jorah_mormont_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_160422,Screenshot 16_09_2026 16_04_22.png,d422642f40d465a09c06379febfebff2ae1f439ed2928730e2d56ad2b0478e39,src_20260916_160422,rot_2026_09_16_160422_egon_qarth_victory_siege_attack,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_162456,Mount and Blade II Bannerlord - Singleplayer PID_ 13216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_09_2026 16_24_56.png,d4530c1c1384f0ee05623e97265858fa0007e3eb0ef7ef0af6724ea7d4746fa9,src_20260916_162456,rot_2026_09_16_162456_egon_ko_mhago_alijin_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_162711,Mount and Blade II Bannerlord - Singleplayer PID_ 13216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_09_2026 16_27_11.png,c220ed7557ed19bd14899cf8e902068043fea5c7686b6a447a81c58f75e343fb,src_20260916_162711,rot_2026_09_16_162711_egon_ko_heggo_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_163218,Mount and Blade II Bannerlord - Singleplayer PID_ 13216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_09_2026 16_32_18.png,4fa9797ff6ea4d8fdcff7643afeddcd6dc73297ceb26e02202e921d761918f89,src_20260916_163218,rot_2026_09_16_163218_egon_anat_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_163841,Mount and Blade II Bannerlord - Singleplayer PID_ 13216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_09_2026 16_38_41.png,47a608df0c009ad3c707761332bd8ee0302599c8f5cb60ecd8eea68107012ac9,src_20260916_163841,rot_2026_09_16_163841_egon_chambui_ko_forzho_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
src_20260916_184527,Mount and Blade II Bannerlord - Singleplayer PID_ 13216 -  Win64_Shipping_Client Msvc14 Managed C__Program Files (x86)_Steam_steamapps_common_Mount & Blade II Bannerlord_bin_Modules_ 16_09_2026 18_45_27.png,e6db64e597b9098e2006451a5369ba1acc147e6ff3215d50bce16042623a319a,src_20260916_184527,rot_2026_09_16_184527_egon_black_rat_victory_field,new_representative,unique_battle,"Distinct final victory duration, side totals, opponent composition, and capture timestamp; no same-battle companion screen in this upload.",not_found_after_date_window_audit
