observation_id,battle_id,captured_at,track,game_version,context,result_scope,cohort,participant_scope,row_index,raw_name,raw_tier,display_name,canonical_troop_id,identity_status,canonical_default_group,canonical_role,visibility,transcription_status,source_key,source_image_sha256,note,survivors,kills,upgrade_ready,deaths,wounded,routed,deployed
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_003,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,3,Egon Emeros,,Egon Emeros,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,1,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_005,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,5,Allia Emeros,,Allia Emeros,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_006,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,6,Bronn of the Blackwater,,Bronn of the Blackwater,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_007,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,7,Maelor of Elyria,,Maelor of Elyria,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,White character progression marker visible; not converted to numeric troop upgrade-ready.,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_008,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,8,Samwell Tarly,,Samwell Tarly,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_009,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,9,Senelle of Duskendale,,Senelle of Duskendale,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_010,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,10,Theon Greyjoy,,Theon Greyjoy,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_011,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,11,Uthero the Restless,,Uthero the Restless,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_012,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,12,Xando Emeros,,Xando Emeros,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
rot_2026_09_16_184955_egon_forim_victory_field__party_01__row_013,rot_2026_09_16_184955_egon_forim_victory_field,2026-09-16T18:49:55-03:00,realm_of_thrones,unknown,field,completed,Egon Emeros' Party,player_party,13,Xhoana Emeros,,Xhoana Emeros,,excluded_character,,,full,exact_visible,src_20260916_184955,da236eaec047d226bcdf8f55b1f902ba5c2cf53fd174ed3d378cf12953fd45ea,,1,0,0,0,0,0,1
